311 Toronto,311 Performance Reporting,311 Performance Reporting,Materials & Supplies,200A,Expenses,20
311 Toronto,311 Performance Reporting,311 Performance Reporting,Salaries And Benefits,100A,Expenses,"248,823"
311 Toronto,311 Performance Reporting,311 Performance Reporting,Service And Rent,400A,Expenses,37
311 Toronto,311 Service Delivery,311 Service Delivery,Equipment,300A,Expenses,"25,357"
311 Toronto,311 Service Delivery,311 Service Delivery,Inter-Divisional Charges,700A,Expenses,"192,020"
311 Toronto,311 Service Delivery,311 Service Delivery,Inter-Divisional Recoveries,750A,Revenues,"(5,293,589)"
311 Toronto,311 Service Delivery,311 Service Delivery,Materials & Supplies,200A,Expenses,"14,744"
311 Toronto,311 Service Delivery,311 Service Delivery,Salaries And Benefits,100A,Expenses,"10,756,523"
311 Toronto,311 Service Delivery,311 Service Delivery,Service And Rent,400A,Expenses,"1,450,053"
311 Toronto,TO-311 Development,311 PMO,Contribution To Reserves/Reserve Funds,510A,Expenses,"25,905"
311 Toronto,TO-311 Development,311 PMO,Materials & Supplies,200A,Expenses,"1,393"
311 Toronto,TO-311 Development,311 PMO,Salaries And Benefits,100A,Expenses,"2,951,411"
311 Toronto,TO-311 Development,311 PMO,Service And Rent,400A,Expenses,"10,455"
311 Toronto,TO-311 Development,311 PMO,Transfers From Capital,920A,Revenues,"(2,550,477)"
311 Toronto,TO-311 Information & Business Processing,311 Business Processing,Salaries And Benefits,100A,Expenses,"465,365"
311 Toronto,TO-311 Information & Business Processing,311 Information/ Content Management,Materials & Supplies,200A,Expenses,100
311 Toronto,TO-311 Information & Business Processing,311 Information/ Content Management,Salaries And Benefits,100A,Expenses,"949,674"
311 Toronto,TO-311 Information & Business Processing,311 Information/ Content Management,Service And Rent,400A,Expenses,794
Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,Contribution From Reserves/Reserve Funds,930A,Revenues,"(133,000)"
Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,Contribution To Reserves/Reserve Funds,510A,Expenses,"1,881"
Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,Equipment,300A,Expenses,681
Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,Inter-Divisional Charges,700A,Expenses,"109,740"
Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,Materials & Supplies,200A,Expenses,"4,306"
Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,Provincial Subsidies,805A,Revenues,"(348,131)"
Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,Salaries And Benefits,100A,Expenses,"706,347"
Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,Service And Rent,400A,Expenses,"56,713"
Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,Contribution From Reserves/Reserve Funds,930A,Revenues,"(133,000)"
Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,Contribution To Reserves/Reserve Funds,510A,Expenses,"1,881"
Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,Equipment,300A,Expenses,681
Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,Inter-Divisional Charges,700A,Expenses,"109,740"
