311SERVICE,311 Toronto,750A,Inter-Divisional Recoveries,Revenues,-5293589
311SERVICE,311 Toronto,920A,Transfers From Capital,Revenues,-2550477
AFFHOUSING,Affordable Housing Office,750A,Inter-Divisional Recoveries,Revenues,-125076
AFFHOUSING,Affordable Housing Office,805A,Provincial Subsidies,Revenues,-1045419
AFFHOUSING,Affordable Housing Office,930A,Contribution From Reserves/Reserve Funds,Revenues,-399000
ARENAS,Arena Boards of Management,850A,User Fees & Donations,Revenues,-7382943
ARENAS,Arena Boards of Management,940A,Sundry and Other Revenues,Revenues,-1024225
COMMCENTRES,Association of Community Centres,850A,User Fees & Donations,Revenues,-252713
COMMCENTRES,Association of Community Centres,930A,Contribution From Reserves/Reserve Funds,Revenues,-169000
COMMCENTRES,Association of Community Centres,940A,Sundry and Other Revenues,Revenues,-1500
CORPFINANCING,Capital & Corporate Financing,750A,Inter-Divisional Recoveries,Revenues,-2777457
CORPFINANCING,Capital & Corporate Financing,805A,Provincial Subsidies,Revenues,-1431000
CORPFINANCING,Capital & Corporate Financing,930A,Contribution From Reserves/Reserve Funds,Revenues,-51873000
CORPFINANCING,Capital & Corporate Financing,940A,Sundry and Other Revenues,Revenues,-2324441
CHILDSERV,Children's Services,750A,Inter-Divisional Recoveries,Revenues,-9475000
CHILDSERV,Children's Services,805A,Provincial Subsidies,Revenues,-329669770
CHILDSERV,Children's Services,850A,User Fees & Donations,Revenues,-19169600
CHILDSERV,Children's Services,920A,Transfers From Capital,Revenues,-1764361
CHILDSERV,Children's Services,930A,Contribution From Reserves/Reserve Funds,Revenues,-15639446
CLERK,City Clerk's Office,750A,Inter-Divisional Recoveries,Revenues,-8766500
CLERK,City Clerk's Office,850A,User Fees & Donations,Revenues,-580287
CLERK,City Clerk's Office,920A,Transfers From Capital,Revenues,-1351000
CLERK,City Clerk's Office,930A,Contribution From Reserves/Reserve Funds,Revenues,-5779510
CLERK,City Clerk's Office,940A,Sundry and Other Revenues,Revenues,-937920
COUNCIL,City Council,930A,Contribution From Reserves/Reserve Funds,Revenues,-130000
CITYMANAGER,City Manager's Office,750A,Inter-Divisional Recoveries,Revenues,-4862408
CITYMANAGER,City Manager's Office,920A,Transfers From Capital,Revenues,-2323394
CITYMANAGER,City Manager's Office,930A,Contribution From Reserves/Reserve Funds,Revenues,-1001133
CITYMANAGER,City Manager's Office,940A,Sundry and Other Revenues,Revenues,-188746
PLANNING,City Planning,850A,User Fees & Donations,Revenues,-24205978
PLANNING,City Planning,920A,Transfers From Capital,Revenues,-2372893
PLANNING,City Planning,940A,Sundry and Other Revenues,Revenues,-898350
COURTSERV,Court Services,750A,Inter-Divisional Recoveries,Revenues,-6918834
COURTSERV,Court Services,850A,User Fees & Donations,Revenues,-281999
COURTSERV,Court Services,940A,Sundry and Other Revenues,Revenues,-47382900
ECONDEV,Economic Development & Culture,805A,Provincial Subsidies,Revenues,-2775200
ECONDEV,Economic Development & Culture,810A,Federal Subsidies,Revenues,-1686672
ECONDEV,Economic Development & Culture,820A,Other Subsidies,Revenues,-37000
ECONDEV,Economic Development & Culture,850A,User Fees & Donations,Revenues,-2406616
ECONDEV,Economic Development & Culture,860A,Licences & Permits Revenue,Revenues,-735406
ECONDEV,Economic Development & Culture,920A,Transfers From Capital,Revenues,-1036000
ECONDEV,Economic Development & Culture,930A,Contribution From Reserves/Reserve Funds,Revenues,-8909517
ECONDEV,Economic Development & Culture,940A,Sundry and Other Revenues,Revenues,-6157855
ENGINEERING,Engineering & Construction Services,750A,Inter-Divisional Recoveries,Revenues,-175570
