311SERVICE,311 Toronto,137,20,157
AFFHOUSING,Affordable Housing Office,15,4,19
ARENAS,Arena Boards of Management,43.2,23.4,66.6
COMMCENTRES,Association of Community Centres,77.9,0,77.9
AUDITGEN,Auditor General's Office,29.5,0,29.5
CORPFINANCING,,,,
CHILDSERV,Children's Services,729.9,237.7,967.6
CLERK,City Clerk's Office,396.3,7.6,403.9
COUNCIL,City Council,44,132,176
CITYMANAGER,City Manager,415.5,9,424.5
PLANNING,City Planning,347,13,360
COURTSERV,Court Services,282,0,282
ECONDEV,Economic Development & Culture,231,69.6,300.6
ENGINEERING,Engineering & Construction Services,127.5,5.5,133
EXHIBPLACE,Exhibition Place,379,11,390
FACILITIES,"Facilities, Real Estate, Environment & Energy",891.2,34.3,925.5
FIRE,Fire Services,3149.5,5.3,3154.8
FLEET,Fleet Services,175,1,176
HERITAGE,Heritage Toronto,7,0,7
IT,Information & Technology,584,3,587
INTEGRITYCOMM,Integrity Commissioner's Office,4,0,4
LEGAL,Legal Services,268.4,33,301.4
LOBBYREG,Lobbyist Registrar,8,0.3,8.3
LONGTERMHOME,Long Term Care Homes & Services,2225.9,0,2225.9
MAYOR,Mayor's Office,1,19,20
LICENCING,Municipal Licensing and Standards,459,1,460
CORPEXPENDITURES,Parking Tag Enforcement & Operations,394,0,394
CORPREVENUES,,,,
CFO,Office of the Chief Financial Officer,101,1,102
LOCALAPPEAL,Local Appeal Body,,,
OMBUDSMAN,Office of the Ombudsman,17,0,17
TREASURER,Office of the Treasurer,662,31,693
PARKS,"Parks, Forestry & Recreation",1876.2,2559.6,4435.8
POLICYADMIN,"Policy, Planning, Finance and Administration",192,7.4,199.4
PROPERTYTAX,,,,
SHELTERADMIN,"Shelter, Support & Housing Administration",568,139.2,707.2
SOCIALDEV,"Social Development, Finance & Administratio",120.5,7,127.5
SOLIDWASTE,Solid Waste Management Services,964,117.7,1081.7
THEATRES,Theatres,85.9,77.2,163.1
REGIONCONSERV,,,,
ATMOSPHERE,Toronto Atmospheric Fund,8,0,8
BUILDINGS,Toronto Building,433,7,440
SOCIALSERV,Toronto Employment & Social Services,2024,58,2082
PARAMEDIC,Toronto Paramedic Services,1376.5,14.8,1391.3
PARKING,Toronto Parking Authority,246.1,53.3,299.4
POLICE,Toronto Police Service,7672,211,7883
POLICEBOARD,Toronto Police Services Board,7,0,7
PUBLICHEALTH,Toronto Public Health,1794,44.6,1838.6
LIBRARY,Toronto Public Library,1736.3,0,1736.3
TTCCONV,Toronto Transit Commission - Conventional,11747,9,11756
TTCWHEEL,Toronto Transit Commission - Wheel-Trans,562,0,562
WATER,Toronto Water,1640,70.3,1710.3
ZOO,Toronto Zoo,278,124.5,402.5
TRANSPORTATION,Transportation Services,1001.1,32.7,1033.8
YONGEDUNDAS,Yonge-Dundas Square,6,0.5,6.5
