Program,Permanent,Temporary,Total
Affordable Housing Office,15,4,19
Children's Services,729.9,237.7,967.6
Court Services,282,0,282
Economic Development & Culture,231,69.6,300.6
Toronto Paramedic Services,1376.5,14.8,1391.3
Long Term Care Homes & Services,2225.9,0,2225.9
"Parks, Forestry & Recreation",1876.2,2559.6,4435.8
"Shelter, Support & Housing Administration",568,139.2,707.2
"Social Development, Finance & Administratio",120.5,7,127.5
Toronto Employment & Social Services,2024,58,2082
City Planning,347,13,360
Fire Services,3149.5,5.3,3154.8
Municipal Licensing and Standards,459,1,460
"Policy, Planning, Finance and Administration",192,7.4,199.4
Engineering & Construction Services,127.5,5.5,133
Toronto Building,433,7,440
Transportation Services,1001.1,32.7,1033.8
Office of the Chief Financial Officer,101,1,102
Office of the Treasurer,662,31,693
"Facilities, Real Estate, Environment & Energy",891.2,34.3,925.5
Fleet Services,175,1,176
Information & Technology,584,3,587
311 Toronto,137,20,157
City Manager,415.5,9,424.5
City Clerk's Office,396.3,7.6,403.9
Legal Services,268.4,33,301.4
Mayor's Office,1,19,20
City Council,44,132,176
Auditor General's Office,29.5,0,29.5
Lobbyist Registrar,8,0.3,8.3
Integrity Commissioner's Office,4,0,4
Office of the Ombudsman,17,0,17
Toronto Public Health,1794,44.6,1838.6
Toronto Public Library,1736.3,0,1736.3
Association of Community Centres,77.9,0,77.9
Exhibition Place,379,11,390
Heritage Toronto,7,0,7
Theatres,85.9,77.2,163.1
Toronto Zoo,278,124.5,402.5
Arena Boards of Management,43.2,23.4,66.6
Yonge-Dundas Square,6,0.5,6.5
Parking Tag Enforcement & Operations,394,0,394
Toronto Atmospheric Fund,8,0,8
Toronto Transit Commission - Conventional,11747,9,11756
Toronto Transit Commission - Wheel-Trans,562,0,562
Toronto Police Service,7672,211,7883
Toronto Police Services Board,7,0,7
Solid Waste Management Services,964,117.7,1081.7
Toronto Water,1640,70.3,1710.3
Toronto Parking Authority,246.1,53.3,299.4
