Program,Category,Category Name,Expense/Revenue,Sum - 2015
311 Toronto,100A,Salaries And Benefits,Expenses,15371796
311 Toronto,200A,Materials & Supplies,Expenses,16258
311 Toronto,300A,Equipment,Expenses,25357
311 Toronto,400A,Service And Rent,Expenses,1461339
311 Toronto,510A,Contribution To Reserves/Reserve Funds,Expenses,25905
311 Toronto,700A,Inter-Divisional Charges,Expenses,192020
Affordable Housing Office,100A,Salaries And Benefits,Expenses,2244944
Affordable Housing Office,200A,Materials & Supplies,Expenses,12923
Affordable Housing Office,300A,Equipment,Expenses,2044
Affordable Housing Office,400A,Service And Rent,Expenses,168672
Affordable Housing Office,510A,Contribution To Reserves/Reserve Funds,Expenses,5647
Affordable Housing Office,700A,Inter-Divisional Charges,Expenses,329221
Arena Boards of Management,100A,Salaries And Benefits,Expenses,4348489
Arena Boards of Management,200A,Materials & Supplies,Expenses,2147208
Arena Boards of Management,300A,Equipment,Expenses,43508
Arena Boards of Management,400A,Service And Rent,Expenses,1031504
Arena Boards of Management,505A,Contribution To Capital,Expenses,559519
Arena Boards of Management,510A,Contribution To Reserves/Reserve Funds,Expenses,270175
Association of Community Centres,100A,Salaries And Benefits,Expenses,6620822
Association of Community Centres,200A,Materials & Supplies,Expenses,449823
Association of Community Centres,300A,Equipment,Expenses,3337
Association of Community Centres,400A,Service And Rent,Expenses,789847
Association of Community Centres,510A,Contribution To Reserves/Reserve Funds,Expenses,29231
Association of Community Centres,650A,Other Expenditures,Expenses,7000
Auditor General's Office,100A,Salaries And Benefits,Expenses,4520927
Auditor General's Office,200A,Materials & Supplies,Expenses,15950
Auditor General's Office,300A,Equipment,Expenses,8121
Auditor General's Office,400A,Service And Rent,Expenses,142383
Auditor General's Office,510A,Contribution To Reserves/Reserve Funds,Expenses,7681
Auditor General's Office,700A,Inter-Divisional Charges,Expenses,22272
Capital & Corporate Financing,505A,Contribution To Capital,Expenses,227642150
Capital & Corporate Financing,510A,Contribution To Reserves/Reserve Funds,Expenses,18911638
Capital & Corporate Financing,650A,Other Expenditures,Expenses,454045125
Capital & Corporate Financing,700A,Inter-Divisional Charges,Expenses,933106
Children's Services,100A,Salaries And Benefits,Expenses,86275556
Children's Services,200A,Materials & Supplies,Expenses,2522376
Children's Services,300A,Equipment,Expenses,725526
Children's Services,400A,Service And Rent,Expenses,356236607
Children's Services,510A,Contribution To Reserves/Reserve Funds,Expenses,1280749
Children's Services,650A,Other Expenditures,Expenses,715176
Children's Services,700A,Inter-Divisional Charges,Expenses,4724215
City Clerk's Office,100A,Salaries And Benefits,Expenses,39264578
City Clerk's Office,200A,Materials & Supplies,Expenses,1343848
City Clerk's Office,300A,Equipment,Expenses,69057
City Clerk's Office,400A,Service And Rent,Expenses,7001637
City Clerk's Office,510A,Contribution To Reserves/Reserve Funds,Expenses,464633
City Clerk's Office,650A,Other Expenditures,Expenses,32517
City Clerk's Office,700A,Inter-Divisional Charges,Expenses,1082271
City Council,100A,Salaries And Benefits,Expenses,18672088
City Council,200A,Materials & Supplies,Expenses,1253604
City Council,300A,Equipment,Expenses,182000
City Council,400A,Service And Rent,Expenses,371500
City Council,510A,Contribution To Reserves/Reserve Funds,Expenses,99217
City Council,700A,Inter-Divisional Charges,Expenses,244219
City Manager's Office,100A,Salaries And Benefits,Expenses,50442411
City Manager's Office,200A,Materials & Supplies,Expenses,195103
City Manager's Office,300A,Equipment,Expenses,115286
City Manager's Office,400A,Service And Rent,Expenses,4640064
City Manager's Office,510A,Contribution To Reserves/Reserve Funds,Expenses,107750
City Manager's Office,700A,Inter-Divisional Charges,Expenses,256587
City Planning,100A,Salaries And Benefits,Expenses,39656303
City Planning,200A,Materials & Supplies,Expenses,187728
City Planning,300A,Equipment,Expenses,163544
City Planning,400A,Service And Rent,Expenses,1572966
City Planning,510A,Contribution To Reserves/Reserve Funds,Expenses,81224
City Planning,650A,Other Expenditures,Expenses,400700
City Planning,700A,Inter-Divisional Charges,Expenses,1013623
Court Services,100A,Salaries And Benefits,Expenses,19782539
Court Services,200A,Materials & Supplies,Expenses,157746
Court Services,300A,Equipment,Expenses,105375
Court Services,400A,Service And Rent,Expenses,8147390
Court Services,510A,Contribution To Reserves/Reserve Funds,Expenses,84376
Court Services,650A,Other Expenditures,Expenses,1820187
Court Services,700A,Inter-Divisional Charges,Expenses,19433482
Economic Development & Culture,100A,Salaries And Benefits,Expenses,28715391
Economic Development & Culture,200A,Materials & Supplies,Expenses,1443392
Economic Development & Culture,300A,Equipment,Expenses,127604
Economic Development & Culture,400A,Service And Rent,Expenses,14890084
Economic Development & Culture,510A,Contribution To Reserves/Reserve Funds,Expenses,964012
Economic Development & Culture,650A,Other Expenditures,Expenses,30911122
Economic Development & Culture,700A,Inter-Divisional Charges,Expenses,601526
Engineering & Construction Services,100A,Salaries And Benefits,Expenses,58244161
Engineering & Construction Services,200A,Materials & Supplies,Expenses,392605
Engineering & Construction Services,300A,Equipment,Expenses,255308
Engineering & Construction Services,400A,Service And Rent,Expenses,3342054
Engineering & Construction Services,510A,Contribution To Reserves/Reserve Funds,Expenses,797047
Engineering & Construction Services,700A,Inter-Divisional Charges,Expenses,3807792
Exhibition Place,100A,Salaries And Benefits,Expenses,33109005
Exhibition Place,200A,Materials & Supplies,Expenses,3658325
Exhibition Place,300A,Equipment,Expenses,176840
Exhibition Place,400A,Service And Rent,Expenses,13739282
Exhibition Place,510A,Contribution To Reserves/Reserve Funds,Expenses,2097145
Exhibition Place,650A,Other Expenditures,Expenses,-14601989
"Facilities, Real Estate, Environment & Energy",100A,Salaries And Benefits,Expenses,94290567
"Facilities, Real Estate, Environment & Energy",200A,Materials & Supplies,Expenses,30446859
"Facilities, Real Estate, Environment & Energy",300A,Equipment,Expenses,543894
"Facilities, Real Estate, Environment & Energy",400A,Service And Rent,Expenses,54589232
"Facilities, Real Estate, Environment & Energy",510A,Contribution To Reserves/Reserve Funds,Expenses,2096530
"Facilities, Real Estate, Environment & Energy",650A,Other Expenditures,Expenses,6460904
"Facilities, Real Estate, Environment & Energy",700A,Inter-Divisional Charges,Expenses,1448432
Fire Services,100A,Salaries And Benefits,Expenses,400338209
Fire Services,200A,Materials & Supplies,Expenses,7836460
Fire Services,300A,Equipment,Expenses,1028345
Fire Services,400A,Service And Rent,Expenses,6413115
Fire Services,510A,Contribution To Reserves/Reserve Funds,Expenses,9583968
Fire Services,700A,Inter-Divisional Charges,Expenses,7688615
Fleet Services,100A,Salaries And Benefits,Expenses,17472775
Fleet Services,200A,Materials & Supplies,Expenses,24234118
Fleet Services,300A,Equipment,Expenses,116437
Fleet Services,400A,Service And Rent,Expenses,7643296
