Program,Category,Category Name,Expense/Revenue,Sum - 2015
311 Toronto,750A,Inter-Divisional Recoveries,Revenues,-5293589
311 Toronto,920A,Transfers From Capital,Revenues,-2550477
Affordable Housing Office,750A,Inter-Divisional Recoveries,Revenues,-125076
Affordable Housing Office,805A,Provincial Subsidies,Revenues,-1045419
Affordable Housing Office,930A,Contribution From Reserves/Reserve Funds,Revenues,-399000
Arena Boards of Management,850A,User Fees & Donations,Revenues,-7382943
Arena Boards of Management,940A,Sundry and Other Revenues,Revenues,-1024225
Association of Community Centres,850A,User Fees & Donations,Revenues,-252713
Association of Community Centres,930A,Contribution From Reserves/Reserve Funds,Revenues,-169000
Association of Community Centres,940A,Sundry and Other Revenues,Revenues,-1500
Capital & Corporate Financing,750A,Inter-Divisional Recoveries,Revenues,-2777457
Capital & Corporate Financing,805A,Provincial Subsidies,Revenues,-1431000
Capital & Corporate Financing,930A,Contribution From Reserves/Reserve Funds,Revenues,-51873000
Capital & Corporate Financing,940A,Sundry and Other Revenues,Revenues,-2324441
Children's Services,750A,Inter-Divisional Recoveries,Revenues,-9475000
Children's Services,805A,Provincial Subsidies,Revenues,-329669770
Children's Services,850A,User Fees & Donations,Revenues,-19169600
Children's Services,920A,Transfers From Capital,Revenues,-1764361
Children's Services,930A,Contribution From Reserves/Reserve Funds,Revenues,-15639446
City Clerk's Office,750A,Inter-Divisional Recoveries,Revenues,-8766500
City Clerk's Office,850A,User Fees & Donations,Revenues,-580287
City Clerk's Office,920A,Transfers From Capital,Revenues,-1351000
City Clerk's Office,930A,Contribution From Reserves/Reserve Funds,Revenues,-5779510
City Clerk's Office,940A,Sundry and Other Revenues,Revenues,-937920
City Council,930A,Contribution From Reserves/Reserve Funds,Revenues,-130000
City Manager's Office,750A,Inter-Divisional Recoveries,Revenues,-4862408
City Manager's Office,920A,Transfers From Capital,Revenues,-2323394
City Manager's Office,930A,Contribution From Reserves/Reserve Funds,Revenues,-1001133
City Manager's Office,940A,Sundry and Other Revenues,Revenues,-188746
City Planning,850A,User Fees & Donations,Revenues,-24205978
City Planning,920A,Transfers From Capital,Revenues,-2372893
City Planning,940A,Sundry and Other Revenues,Revenues,-898350
Court Services,750A,Inter-Divisional Recoveries,Revenues,-6918834
Court Services,850A,User Fees & Donations,Revenues,-281999
Court Services,940A,Sundry and Other Revenues,Revenues,-47382900
Economic Development & Culture,805A,Provincial Subsidies,Revenues,-2775200
Economic Development & Culture,810A,Federal Subsidies,Revenues,-1686672
Economic Development & Culture,820A,Other Subsidies,Revenues,-37000
Economic Development & Culture,850A,User Fees & Donations,Revenues,-2406616
Economic Development & Culture,860A,Licences & Permits Revenue,Revenues,-735406
Economic Development & Culture,920A,Transfers From Capital,Revenues,-1036000
Economic Development & Culture,930A,Contribution From Reserves/Reserve Funds,Revenues,-8909517
Economic Development & Culture,940A,Sundry and Other Revenues,Revenues,-6157855
Engineering & Construction Services,750A,Inter-Divisional Recoveries,Revenues,-175570
Engineering & Construction Services,850A,User Fees & Donations,Revenues,-5292538
Engineering & Construction Services,860A,Licences & Permits Revenue,Revenues,-1620000
Engineering & Construction Services,920A,Transfers From Capital,Revenues,-49248456
Engineering & Construction Services,940A,Sundry and Other Revenues,Revenues,-2957407
Exhibition Place,850A,User Fees & Donations,Revenues,-35146509
Exhibition Place,930A,Contribution From Reserves/Reserve Funds,Revenues,-3284407
"Facilities, Real Estate, Environment & Energy",750A,Inter-Divisional Recoveries,Revenues,-50194952
"Facilities, Real Estate, Environment & Energy",805A,Provincial Subsidies,Revenues,-250000
"Facilities, Real Estate, Environment & Energy",810A,Federal Subsidies,Revenues,-220480
"Facilities, Real Estate, Environment & Energy",850A,User Fees & Donations,Revenues,-43046355
"Facilities, Real Estate, Environment & Energy",920A,Transfers From Capital,Revenues,-9849244
