311 Toronto,100A,15412799
311 Toronto,200A,9589
311 Toronto,300A,25357
311 Toronto,400A,1632711
311 Toronto,510A,25905
311 Toronto,700A,194277
Affordable Housing Office,100A,2283011
Affordable Housing Office,200A,11551
Affordable Housing Office,300A,2500
Affordable Housing Office,400A,165211
Affordable Housing Office,510A,5647
Affordable Housing Office,700A,488651
Arena Boards of Management,100A,4478873
Arena Boards of Management,200A,2224298
Arena Boards of Management,300A,44733
Arena Boards of Management,400A,1079405
Arena Boards of Management,505A,546370
Arena Boards of Management,510A,270175
Association of Community Centres,100A,6787008
Association of Community Centres,200A,464950
Association of Community Centres,300A,3406
Association of Community Centres,400A,628436
Association of Community Centres,510A,29231
Association of Community Centres,650A,7000
Auditor General's Office,100A,4572464
Auditor General's Office,200A,16189
Auditor General's Office,300A,47126
Auditor General's Office,400A,96833
Auditor General's Office,510A,7681
Auditor General's Office,700A,22272
Capital & Corporate Financing,505A,216379465
Capital & Corporate Financing,510A,18911638
Capital & Corporate Financing,650A,486164265
Capital & Corporate Financing,700A,978187
Children's Services,100A,84323714
Children's Services,200A,2639108
Children's Services,300A,741512
Children's Services,400A,356457032
Children's Services,510A,1280749
Children's Services,650A,726600
Children's Services,700A,4796392
City Clerk's Office,100A,39232601
City Clerk's Office,200A,1073584
City Clerk's Office,300A,86735
City Clerk's Office,400A,7697802
City Clerk's Office,510A,464633
City Clerk's Office,650A,32771
City Clerk's Office,700A,1124950
City Council,100A,18622473
City Council,200A,1281482
City Council,300A,102000
City Council,400A,595500
City Council,510A,99217
City Council,700A,253279
City Manager's Office,100A,49676242
City Manager's Office,200A,186538
City Manager's Office,300A,101779
City Manager's Office,400A,4446976
City Manager's Office,510A,91085
City Manager's Office,700A,257755
City Planning,100A,40045949
City Planning,200A,171728
City Planning,300A,163544
City Planning,400A,1552966
City Planning,510A,81224
City Planning,650A,420700
City Planning,700A,873655
Court Services,100A,19044827
Court Services,200A,127300
Court Services,300A,60250
Court Services,400A,9942866
Court Services,510A,84376
Court Services,650A,1813550
Court Services,700A,19005968
Economic Development & Culture,100A,28331247
Economic Development & Culture,200A,1231031
Economic Development & Culture,300A,127604
Economic Development & Culture,400A,7837651
Economic Development & Culture,510A,964012
Economic Development & Culture,650A,31069235
Economic Development & Culture,700A,603964
Engineering & Construction Services,100A,60440935
Engineering & Construction Services,200A,481840
Engineering & Construction Services,300A,506590
Engineering & Construction Services,400A,3588778
Engineering & Construction Services,510A,797047
Engineering & Construction Services,700A,3846536
