baseitem,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ATMOSPHERE,,,,,4,4,4,4,4,6,7,7,7,7,8,8,8,
AUDITGEN,,,,,26,28,29,29,29,,29.6,29,29,29,29.5,29.5,31.5,32
CFO,,,,,815,813,120,120,124,154.6,137.6,134.6,124.6,96,100,102,103,104
CHILDSERV,,,,,919.8,921.6,967.7,956.7,956.5,958.5,949.5,948.5,927.8,922.4,942.7,967.6,977.8,973.5
CITYMANAGER,,,,,535,536,463,463,471,414,404,388,375,406.5,410.5,424.5,413,408
CLERK,,,,,382,382,373.5,367.5,374.5,440.9,489.6,425.5,397.8,402.8,439.7,403.9,403.6,386.3
COMMCENTRES,,,,,85.6,85.6,91.2,91.2,91.2,120.2,91.2,91.2,82.7,77.4,77.4,77.9,77.9,77.9
CORPEXPENDITURES,,,,,1,1,,,,,,,,,,,,
COUNCIL,,,,,177,177,183,182,181,176,176,176,176,176,176,176,180,180
COURTSERV,,,,,221,221,221,224,230,293,293,290,284,282,282,282,282,252
ECONDEV,,,,,526.7,535.1,275.3,265.8,269.8,276.2,276.8,284.8,275.8,264.8,289,300.6,297.5,284.5
ENGINEERING,,,,,563,587.3,193.9,196.7,165.7,161.4,167.4,162.7,162.7,139.8,133.8,133,131.9,124.9
EXHIBPLACE,,,,,426,427,447,512.5,519.5,529.5,529.5,529.5,529.5,392.5,392.5,390,356,354
FACILITIES,,,,,749,757,708.4,698.6,740.5,813,812.6,843.8,723.6,770.2,799.7,925.5,927.5,917
FIRE,,,,,3142,3143,3185.5,3186,3144,3145.5,3182.3,3185.3,3176.3,3170.8,3126.8,3154.8,3168.3,3175.3
FLEET,,,,,200,202,199,202,205,208,205,192,172,174,174,176,176,178
HERITAGE,,,,,5,5,5,6,6,6,6,6,6.5,6,7,7,7,7
IT,,,,,331,335,320,341,384,366,575.5,527,508,587,593,587,619,628
LEGAL,,,,,238,239,252,255,260,276,276,277,273,294,297,302.4,305.9,349.4
LIBRARY,,,,,1817.7,1817.7,1813.2,1814.2,1826.2,1832.6,1830.6,1824.9,1717.9,1713.4,1737.4,1739.9,1736,1732.3
LONGTERMHOME,,,,,2065.8,2106.5,2126.9,2121.5,2167.4,2218.3,2183,2188.4,2153.5,2151.3,2179.7,2225.9,2372,2373.9
MAYOR,,,,,18,19,19,23,23,23,23,17,18,9,9,20,20,20
PARAMEDIC,,,,,1152,1164,1197.3,1211.3,1204,1213,1210.5,1218,1213,1264,1325,1391.3,1444.8,1445.8
PARKING,,,,,313.4,315.1,298.2,297.8,299,299.6,298,298.7,298.7,295.7,297.4,299.4,302.4,309
