_META_START_,
SOURCE_DOCUMENT_LINK_ORIGINAL,https://drive.google.com/open?id=0B208oCU9D8OuX2F1a0VNQUU4OWM
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OuX2F1a0VNQUU4OWM
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,
SOURCE_DOCUMENT_TITLE,2016 Consolidated Financial Statments
SOURCE_DOCUMENT_TABLE_LOCATION,
SOURCE_DOCUMENT_TABLE_TITLE,CONSOLIDATED STATEMENT OF OPERATIONS AND ACCUMULATED SURPLUS
SOURCE_CSV_PRECURSOR_LINK,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,
YEAR,2016
VERSION,Actual
ASPECT,Expenses
NOTES_CONTENT,
NOTES_SEVERITY,
UNITS_NAME,Dollar
UNITS_CODE,DOLLAR
UNITS_MULTIPLIER,1000
TOTAL_AMOUNT,
INTAKE_DATETIME,
INTAKE_OPERATOR_ID,Chris
COLUMNS_CATEGORIES,Expense:NAME
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE"
_META_END_,
General government,760339
Protection to persons and property,1808310
Transportation,3067408
Environmental services,933176
Health services,449621
Social and family services,2038215
Social housing,779499
Recreation and cultural services,1001753
Planning and development,115549
Legacy Works and Agencies,
