_META_START_,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OudXR1UlNsWm5kdVE,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuZW9OVU5sUVZtVDg,
SOURCE_DOCUMENT_TITLE,2012 CONSOLIDATED FINANCIAL STATEMENTS City of Toronto Financial Report,
SOURCE_DOCUMENT_TABLE_LOCATION,p.82 document; p.5 pdf,
SOURCE_DOCUMENT_TABLE_TITLE,CONSOLIDATED STATEMENT OF OPERATIONS AND ACCUMULATED SURPLUS,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B0nzg-ld6eh_MDBhWXFsUXRMWXM,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Chris,
YEAR,2012,
VERSION,Actual,
ASPECT,Expenses,
NOTES_CONTENT,,
NOTES_SEVERITY,,
UNITS_NAME,Dollar,
UNITS_CODE,DOLLAR,
UNITS_MULTIPLIER,1000,
TOTAL_AMOUNT,10276750,
INTAKE_DATETIME,2016-10-01-21-58-58,
INTAKE_OPERATOR_ID,Chris,
COLUMNS_CATEGORIES,"Expense:CODE,Expense:NAME",
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE,Allocations:DESCRIPTION",
_META_END_,,
GOVERNMENT,General government,873889
PROTECTION,Protection to persons and property,1558447
TRANSPORTATION,Transportation,2828174
ENVIRONMENT,Environmental services,810859
HEALTH,Health services,397210
SOCIALSERVICES,Social and family services,1999896
HOUSING,Social housing,850026
CULTURE,Recreation and cultural services,861716
PLANNING,Planning and development,96533
