_META_START_,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OuUi1KeWs5UmpFaDg,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuZW9OVU5sUVZtVDg,
SOURCE_DOCUMENT_TITLE,n/a,
SOURCE_DOCUMENT_TABLE_LOCATION,p.68 document; p.4 pdf,
SOURCE_DOCUMENT_TABLE_TITLE,CONSOLIDATED STATEMENT OF FINANCIAL ACTIVITIES,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B0nzg-ld6eh_ZUJtSUNja3VJNDg,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Chris,
YEAR,2006,
VERSION,Actual,
ASPECT,Expenses,
NOTES_CONTENT,,
NOTES_SEVERITY,,
UNITS_NAME,Dollar,
UNITS_CODE,DOLLAR,
UNITS_MULTIPLIER,1000,
TOTAL_AMOUNT,8575931,
INTAKE_DATETIME,2016-10-01-21-58-58,
INTAKE_OPERATOR_ID,Chris,
COLUMNS_CATEGORIES,"Expense:CODE,Expense:NAME",
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE",
_META_END_,,
GOVERNMENT,General government,546412
PROTECTION,Protection to persons and property,1322819
TRANSPORTATION,Transportation,2241737
ENVIRONMENT,Environmental services,841794
HEALTH,Health services,336663
SOCIALSERVICES,Social and family services,1722911
HOUSING,Social housing,747494
CULTURE,Recreation and cultural services,740744
PLANNING,Planning and development,75357
