_META_START_,
SOURCE_DOCUMENT_LINK_ORIGINAL,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8Oubmlfd3R1dUdKT00
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuZW9OVU5sUVZtVDg
SOURCE_DOCUMENT_TITLE,2007 CONSOLIDATED FINANCIAL STATEMENTS City of Toronto 2007 Financial Report
SOURCE_DOCUMENT_TABLE_LOCATION,p.78 document; p.5 pdf
SOURCE_DOCUMENT_TABLE_TITLE,CONSOLIDATED STATEMENT OF FINANCIAL ACTIVITIES
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B0nzg-ld6eh_YVdVTWZpTEowd28
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Chris
YEAR,2007
VERSION,Actual
ASPECT,Revenues
NOTES_CONTENT,
NOTES_SEVERITY,
UNITS_NAME,Dollar
UNITS_CODE,DOLLAR
UNITS_MULTIPLIER,1000
TOTAL_AMOUNT,
INTAKE_DATETIME,
INTAKE_OPERATOR_ID,Chris
COLUMNS_CATEGORIES,Revenue:NAME
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE"
_META_END_,
Residential and commercial property taxation,3186766
Taxation from other governments,99181
User charges,1966890
Funding transfers from other governments,1940866
Net government business enterprise earnings (Note 4),107822
Other,1536472
