_META_START_,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OudXR1UlNsWm5kdVE,,,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuZW9OVU5sUVZtVDg,,,,
SOURCE_DOCUMENT_TITLE,2012 CONSOLIDATED FINANCIAL STATEMENTS City of Toronto Financial Report,,,,
SOURCE_DOCUMENT_TABLE_LOCATION,p.82 document; p.5 pdf,,,,
SOURCE_DOCUMENT_TABLE_TITLE,CONSOLIDATED STATEMENT OF OPERATIONS AND ACCUMULATED SURPLUS,,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B0nzg-ld6eh_S3N6MFBLSF9OSkU,,,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Chris,,,,
YEAR,2012,,,,
VERSION,Actual,,,,
ASPECT,Revenues,,,,
NOTES_CONTENT,,,,,
NOTES_SEVERITY,,,,,
UNITS_NAME,Dollar,,,,
UNITS_CODE,DOLLAR,,,,
UNITS_MULTIPLIER,1000,,,,
TOTAL_AMOUNT,11711147,,,,
INTAKE_DATETIME,2016-10-19-16-33-30,,,,
INTAKE_OPERATOR_ID,Chris,,,,
COLUMNS_CATEGORIES,"Revenue:CODE,Revenue:NAME",,,,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE,Allocations:DESCRIPTION",,,,
_META_END_,,,,,
ENTERPRISES,Government business enterprise earnings,188041,,,
INVESTMENT,Investment income,246760,,,
LANDTRANSFER,Municipal land transfer tax,349798,,,
OTHER,Other,681147,,,
OTHERGOVTAX,Taxation from other governments,106600,,,
PROPERTYTAX,Property taxation,3750325,,,
RENTS,Rent and concessions,395470,,,
TRANSFERS,Funding transfers from other governments,3054218,,,
USERCHARGES,User charges,2797655,,,
DEVELOPMENT,Development charges,141133,,,
