_META_START_,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=1CIPgaXcspMu8OEmJyPmmp77JJv-IpbMu,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=1cP1y9CrSSL-cGcYulCB7iKvvRpj5BgCr,
SOURCE_DOCUMENT_TITLE,2012 Consolidated Financial Statements,
SOURCE_DOCUMENT_TABLE_LOCATION,,
SOURCE_DOCUMENT_TABLE_TITLE,Statement of Financial Position,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=1kUQXO68MIFRIpm4gUxQGkyI_wcy1Latc,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,
YEAR,2012,
VERSION,Actual,
ASPECT,Assets,
NOTES_CONTENT,Dollar,
NOTES_SEVERITY,,
UNITS_NAME,Dollar,
UNITS_CODE,DOLLAR,
UNITS_MULTIPLIER,1000,
TOTAL_AMOUNT,8245455,
INTAKE_DATETIME,2017-11-16-15-31-21,
INTAKE_OPERATOR_ID,Henrik,
COLUMNS_CATEGORIES,"Asset:CODE,Asset:NAME",
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE,Allocations:DESCRIPTION",
_META_END_,,
CASH,Cash,451938
AR,Accounts receivable,1190882
TAXAR,Property taxes receivable,224878
OTHER,Other assets,162098
INVEST,Investments,4414034
TDSBAR,Due from Toronto District School Board,26371
GBE,Investments in government business enterprises,1775254
