_META_START_,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=1aCaqQBIswJZe6sDjDy6v0UTXyCvhr4hm,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=1cP1y9CrSSL-cGcYulCB7iKvvRpj5BgCr,
SOURCE_DOCUMENT_TITLE,2010 Consolidated Financial Statements,
SOURCE_DOCUMENT_TABLE_LOCATION,,
SOURCE_DOCUMENT_TABLE_TITLE,Statement of Financial Position,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=112omZZfSqnUqOrIPTzXkpMkyhrSteqPY,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,
YEAR,2010,
VERSION,Actual,
ASPECT,Assets,
NOTES_CONTENT,Dollar,
NOTES_SEVERITY,,
UNITS_NAME,Dollar,
UNITS_CODE,DOLLAR,
UNITS_MULTIPLIER,1000,
TOTAL_AMOUNT,6513984,
INTAKE_DATETIME,2017-11-16-15-31-21,
INTAKE_OPERATOR_ID,Henrik,
COLUMNS_CATEGORIES,"Asset:CODE,Asset:NAME",
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE",
_META_END_,,
CASH,Cash,481734
AR,Accounts receivable (Note 2),1031976
TAXAR,Property taxes receivable,300387
OTHER,Other assets (Note 3),112081
INVEST,Investments (Note 4),3294207
TDSBAR,Due from Toronto District School Board (Note 12),33815
GBE,Investments in government business enterprises (Note 5),1259784
