_META_START_,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=1srRsTj50-AEg3Ek4oGM_Wp5E-MyrX91h,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=1cP1y9CrSSL-cGcYulCB7iKvvRpj5BgCr,
SOURCE_DOCUMENT_TITLE,2011 Consolidated Financial Statements,
SOURCE_DOCUMENT_TABLE_LOCATION,,
SOURCE_DOCUMENT_TABLE_TITLE,Statement of Financial Position,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=1JdBAbJMwTHbRo2YXbOSEEDMf9FjrQgzY,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,
YEAR,2011,
VERSION,Actual,
ASPECT,Assets,
NOTES_CONTENT,Dollar,
NOTES_SEVERITY,,
UNITS_NAME,Dollar,
UNITS_CODE,DOLLAR,
UNITS_MULTIPLIER,1000,
TOTAL_AMOUNT,7273083,
INTAKE_DATETIME,2017-11-16-15-31-21,
INTAKE_OPERATOR_ID,Henrik,
COLUMNS_CATEGORIES,"Asset:CODE,Asset:NAME",
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE",
_META_END_,,
CASH,Cash,483124
AR,Accounts receivable (Note 2),1174808
TAXAR,Property taxes receivable,244209
OTHER,Other assets (Note 3),129063
INVEST,Investments (Note 4),3495596
TDSBAR,Due from Toronto District School Board (Note 12),30190
GBE,Investments in government business enterprises (Note 5),1716093
