_META_START_,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=1Ik6TZco-Uj9GO2nanmClaES__ZAzBiQW,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=1cP1y9CrSSL-cGcYulCB7iKvvRpj5BgCr,
SOURCE_DOCUMENT_TITLE,2014 Consolidated Financial Statements,
SOURCE_DOCUMENT_TABLE_LOCATION,,
SOURCE_DOCUMENT_TABLE_TITLE,Statement of Financial Position,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=11a9JJq7X9DWnF10-YwGnaNJ-EGxLAPLu,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,
YEAR,2014,
VERSION,Actual,
ASPECT,Assets,
NOTES_CONTENT,Dollar,
NOTES_SEVERITY,,
UNITS_NAME,Dollar,
UNITS_CODE,DOLLAR,
UNITS_MULTIPLIER,1000,
TOTAL_AMOUNT,13828081,
INTAKE_DATETIME,2017-11-19-02-36-13,
INTAKE_OPERATOR_ID,Henrik,
COLUMNS_CATEGORIES,"Asset:CODE,Asset:NAME",
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE,Allocations:DESCRIPTION",
_META_END_,,
BANKDEBT,Bank indebtedness,76508
AP,Accounts payable and accrued liabilities,2787113
DEFERREDREVENUE,Deferred revenue,2007416
OTHER,Other liabilities,649564
LANDFILL,Landfill closure and post-closure liabilities,139316
MORTGAGE,Mortgages payable,579405
LONGTERM,Net long-term debt,4178512
EMPLOYEEBENEFITS,Employee benefit liabilities,3410247
