_COLUMNS_,"Category:CODE,Category:NAME,Start:VALUE,End:Value,DiscontinueTo:CODE,DiscontinueTo:NAME",,,,
311 Business Processing,311 Business Processing,2015,,,
311 Information/ Content Management,311 Information/ Content Management,2015,,,
311 PMO,311 PMO,2015,,,
3rd Party Application Review & Acceptance,3rd Party Application Review & Acceptance,2015,,,
AM-City Emergency & Major Event Mass Casualty Care,AM-City Emergency & Major Event Mass Casualty Care,2016,,,
ASD-Accounts Payable Processing,ASD-Accounts Payable Processing,2015,,,
ASD-Accounts Receivable Processing,ASD-Accounts Receivable Processing,2015,,,
ASD-Corporate Banking,ASD-Corporate Banking,2015,,,
ASD-Financial & System Control,ASD-Financial & System Control,2015,,,
ASD-Financial Statement Preparation,ASD-Financial Statement Preparation,2015,,,
ASD-Management Reporting,ASD-Management Reporting,2015,,,
ASD-PCard Processing,ASD-PCard Processing,2015,,,
ASD-Provincial & Federal Reports Submission,ASD-Provincial & Federal Reports Submission,2015,,,
ASD-SAP Financial Systems Training,ASD-SAP Financial Systems Training,2015,,,
ASD-SAP Solution Delivery,ASD-SAP Solution Delivery,2015,,,
ASD-SAP User Support,ASD-SAP User Support,2015,,,
ASD-Tax Advisory & Policy,ASD-Tax Advisory & Policy,2015,,,
Accountability Processes,Accountability Processes,2015,,,
Adult Day Program,Adult Day Program,2015,,,
Advertising / Corporate Identity Management,Advertising / Corporate Identity Management,2015,,,
Animal By-Law Enforcement,Animal By-Law Enforcement,2015,,,
Animal Mobile Response,Animal Mobile Response,2015,,,
Animal Sheltering & Adoption,Animal Sheltering & Adoption,2015,,,
Arts Programming,Arts Programming,2015,,,
Audit Reporting,Audit Reporting,2015,,,
Authoritative Data Custodianship,Authoritative Data Custodianship,2015,,,
BIA Support & Governance,BIA Support & Governance,2015,,,
Beach Access,Beach Access,2015,,,
Bridge Condition Assessment,Bridge Condition Assessment,2015,,,
Budget Planning & coordination,Budget Planning & coordination,2015,,,
Building Information,Building Information,2015,,,
Building Inspections,Building Inspections,2015,,,
Building Investigations,Building Investigations,2015,,,
Building Permits,Building Permits,2015,,,
Business & Trade Licensing,Business & Trade Licensing,2015,,,
Business Permitting,Business Permitting,2015,,,
Business Retention & Expansion,Business Retention & Expansion,2015,,,
Business Risk & Consulting,Business Risk & Consulting,2015,,,
By-law Enforcement,By-law Enforcement,2015,,,
CPF-Advisory & Negotiation,CPF-Advisory & Negotiation,2015,,,
CPF-Claims Management,CPF-Claims Management,2015,,,
CPF-Debt Management,CPF-Debt Management,2015,,,
CPF-Financial & Business Analysis,CPF-Financial & Business Analysis,2015,,,
CPF-Financial Policy Development,CPF-Financial Policy Development,2015,,,
CPF-Insurance & Risk Management,CPF-Insurance & Risk Management,2015,,,
CPF-Investment Management,CPF-Investment Management,2015,,,
Campaign Based Fire Education,Campaign Based Fire Education,2015,,,
Cat & Dog Licensing,Cat & Dog Licensing,2015,,,
"Chemical, Biological, Radiological, Nuclear & Exposive Resp.","Chemical, Biological, Radiological, Nuclear & Exposive Resp.",2015,,,
Citizen First Response Education,Citizen First Response Education,2015,,,
City Manager,City Manager,2015,,,
"Client Support, Advice & Consultation","Client Support, Advice & Consultation",2015,,,
Community Development,Community Development,2015,,,
Community Engagement,Community Engagement,2015,,,
Community Funding Delivery,Community Funding Delivery,2015,,,
Community Healthcare Outreach & Referral,Community Healthcare Outreach & Referral,2015,,,
Community Safety,Community Safety,2015,,,
Complement Management & Reporting,Complement Management & Reporting,2015,,,
Computing Infrastructure,Computing Infrastructure,2015,,,
Construction,Construction,2015,,,
Construction Permits,Construction Permits,2015,,,
Corporate Information Production Services,Corporate Information Production Services,2015,,,
Corporate Issues & Agenda Management,Corporate Issues & Agenda Management,2015,,,
Corporate Partnership Initiatives,Corporate Partnership Initiatives,2015,,,
Critical Care Transport,Critical Care Transport,2015,,,
Cultural Development,Cultural Development,2015,,,
Cultural Grants,Cultural Grants,2015,,,
Custodial Care,Custodial Care,2015,,,
Deliver Provincially Delegated Services,Deliver Provincially Delegated Services,2015,,,
Design,Design,2015,,,
Develop and implement integrated employment strategies,Develop and implement integrated employment strategies,2015,,,
Development & Portfolio Planning,Development & Portfolio Planning,2015,,,
Development Application Review & Acceptance,Development Application Review & Acceptance,2015,,,
Development Review,Development Review,2015,,,
Development Review Applications,Development Review Applications,2015,,,
Diversity & Inclusion,Diversity & Inclusion,2015,,,
Durable Goods (C&T),Durable Goods (C&T),2015,,,
