_COLUMNS_,"Category:CODE,Category:NAME,Start:VALUE,End:Value,AllocateTo:CODE,AllocateTo:NAME,Note:DESCRIPTION",,,,,
311SERVICE,311 Toronto,2011,,,,
AFFHOUSING,Affordable Housing Office,2011,,,,
ARENAS,Arena Boards of Management,2011,,,,
ATMOSPHERE,Toronto Atmospheric Fund,2011,,,,
AUDITGEN,Auditor General's Office,2011,,,,
BUILDINGS,Toronto Building,2011,,,,
CFO,Office of the Chief Financial Officer,2011,,,,
CHILDSERV,Children's Services,2011,,,,
CITYMANAGER,City Manager's Office,2011,,,,
CLERK,City Clerk's Office,2011,,,,
COMMCENTRES,Association of Community Centres,2011,,,,
COMMPARTNER,Community Partnership and Investment Program,2011,2011,CORPEXPENDITURES,Non-Program Expenditures,
CORPEXPENDITURES,Non-Program Expenditures,2013,,,,
CORPFINANCING,Capital & Corporate Financing,2011,,,,
CORPREVENUES,Non-Program Revenues,2014,,,,
COUNCIL,City Council,2011,,,,
COURTSERV,Court Services,2011,,,,
ECONDEV,Economic Development & Culture,2011,,,,
ENGINEERING,Engineering & Construction Services,2011,,,,
ENVIRONMENTOFFICE,Toronto Environment Office,2011,2012,CFO,,
EXHIBPLACE,Exhibition Place,2011,,,,
FACILITIES,"Facilities, Real Estate, Environment & Energy",2011,,,,
FIRE,Fire Services,2011,,,,
FLEET,Fleet Services,2011,,,,
HERITAGE,Heritage Toronto,2011,,,,
INTEGRITYCOMM,Integrity Commissioner's Office,2011,,,,
IT,Information & Technology,2011,,,,
LEGAL,Legal Services,2011,,,,
LIBRARY,Toronto Public Library,2011,,,,
LICENCING,Municipal Licensing & Standards,2011,,,,
LOBBYREG,Office of the Lobbyist Registrar,2011,,,,
LONGTERMHOME,Long Term Care Homes & Services,2011,,,,
MAYOR,Mayor's Office,2011,,,,
OMBUDSMAN,Office of the Ombudsman,2011,,,,
PARAMEDIC,Toronto Paramedic Services,2011,,,,
PARKING,Toronto Parking Authority,2011,,,,
PARKINGTAGS,Parking Tag Enforcement & Operations,2011,,,,
PARKS,"Parks, Forestry & Recreation",2011,,,,
PLANNING,City Planning,2011,,,,
POLICE,Toronto Police Service,2011,,,,
POLICEBOARD,Toronto Police Services Board,2011,,,,
POLICYADMIN,"Policy, Planning, Finance & Administration",2011,,,,
PROPERTYTAX,Property Tax,2014,,,,
PUBLICHEALTH,Toronto Public Health,2011,,,,
REGIONCONSERV,Toronto & Region Conservation Authority,2011,,,,
SHELTERADMIN,"Shelter, Support & Housing Administration",2011,,,,
SOCIALDEV,"Social Development, Finance & Administration",2011,,,,
SOCIALSERV,Toronto Employment & Social Services,2011,,,,
SOLIDWASTE,Solid Waste Management Services,2011,,,,
SONYCENTRE,Sony Centre for the Performing Arts,2011,2012,THEATRES,,
STLAWRENCECENTRE,St. Lawrence Cenmtre for the Arts,2011,2012,THEATRES,,
THEATRES,Theatres,2011,,,,
TORONTOCENTRE,Toronto Centre for the Arts,2011,2012,THEATRES,,
TRANSPORTATION,Transportation Services,2011,,,,
TREASURER,Office of the Treasurer,2011,,,,
TTCCONV,Toronto Transit Commission - Conventional,2011,,,,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,2011,,,,
WATER,Toronto Water,2011,,,,
WATERFRONT,Waterfront Secretariat,2011,2012,CITYMANAGER,,
YONGEDUNDAS,Yonge-Dundas Square,2011,,,,
ZOO,Toronto Zoo,2011,,,,
