_COLUMNS_,"Category:CODE,Category:NAME,Start:VALUE,End:Value,DiscontinueTo:CODE,DiscontinueTo:NAME",,,,
311 Performance Reporting,311 Performance Reporting,2015,,,
311 Service Delivery,311 Service Delivery,2015,,,
AM-Community Paramedicine & Emergency Call Mitigation,AM-Community Paramedicine & Emergency Call Mitigation,2015,,,
AM-Emergency Medical Care,AM-Emergency Medical Care,2015,,,
ASD-Financial Reporting & Control,ASD-Financial Reporting & Control,2015,,,
ASD-Payment Processing,ASD-Payment Processing,2015,,,
ASD-SAP Governance,ASD-SAP Governance,2015,,,
ASD-Tax & Financial System Support,ASD-Tax & Financial System Support,2015,,,
BL-Building Compliance,BL-Building Compliance,2015,,,
BL-Building Permission & Information,BL-Building Permission & Information,2015,,,
Bike Share,Bike Share,2015,,,
Blocked AM-City Emergency & Major Event Mass Casualty Care,Blocked AM-City Emergency & Major Event Mass Casualty Care,2015,2015,,
CA-Environment & Energy,CA-Environment & Energy,2015,,,
CA-Facilities Management,CA-Facilities Management,2015,,,
CA-Real Estate,CA-Real Estate,2015,,,
CD-Community & Neighbourhood Development,CD-Community & Neighbourhood Development,2015,,,
CD-Community Partnership Investment Program,CD-Community Partnership Investment Program,2015,,,
CD-Financial Management & Program Support,CD-Financial Management & Program Support,2015,,,
CD-Social Policy & Planning,CD-Social Policy & Planning,2015,,,
CD-Toronto Office of Partnerships,CD-Toronto Office of Partnerships,2015,,,
"CM-Equity, Diversity & Human Rights","CM-Equity, Diversity & Human Rights",2015,,,
CM-Executive Management,CM-Executive Management,2015,,,
CM-Internal Auditing,CM-Internal Auditing,2015,,,
CM-Strategic & Corporate Policy,CM-Strategic & Corporate Policy,2015,,,
CM-Strategic Communications,CM-Strategic Communications,2015,,,
"CPF-Financial Strategies, Analysis & Policy Development","CPF-Financial Strategies, Analysis & Policy Development",2015,,,
CPF-Investment & Debt Management,CPF-Investment & Debt Management,2015,,,
CPF-Risk Management & Insurance,CPF-Risk Management & Insurance,2015,,,
CT-Provincial Offences/Licencing Tribunal Dispute Resolution,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,2015,,,
