_META_START_,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OuaXNFVEpDbTRJdDQ,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuaUJtdGpFb0lVWlE,
SOURCE_DOCUMENT_TITLE,CITY OF TORONTO 2014 COUNCIL APPROVED OPERATING BUDGET TOTAL OPERATING AND CAPITAL POSITIONS,
SOURCE_DOCUMENT_TABLE_LOCATION,p. 2,
SOURCE_DOCUMENT_TABLE_TITLE,CITY OF TORONTO 2014 COUNCIL APPROVED OPERATING BUDGET OPERATING POSITIONS,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuWFdnT3ZJSFF5VGc,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,
YEAR,2014,
VERSION,Summary,
ASPECT,Staffing,
NOTES_CONTENT,,
NOTES_SEVERITY,,
UNITS_NAME,Full Time Equivalent,
UNITS_CODE,FTE,
UNITS_MULTIPLIER,1,
TOTAL_AMOUNT,,
INTAKE_DATETIME,,
INTAKE_OPERATOR_ID,Henrik,
COLUMNS_CATEGORIES,"Program:NAME,Permanence:NAME",
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE",
_META_END_,,
311 Toronto,Permanent,138
311 Toronto,Temporary,20
Affordable Housing Office,Permanent,15
Affordable Housing Office,Temporary,4
Arena Boards of Management,Permanent,44
Arena Boards of Management,Temporary,23.4
Association of Community Centres,Permanent,48.1
Association of Community Centres,Temporary,29.3
Auditor General's Office,Permanent,29.5
Auditor General's Office,Temporary,0
Children's Services,Permanent,715
Children's Services,Temporary,227.7
City Clerk's Office,Permanent,394.3
City Clerk's Office,Temporary,45.4
City Council,Permanent,44
City Council,Temporary,132
City Manager's Office,Permanent,396.5
City Manager's Office,Temporary,14
City Planning,Permanent,339
City Planning,Temporary,13
Court Services,Permanent,282
Court Services,Temporary,0
Economic Development & Culture,Permanent,228
Economic Development & Culture,Temporary,61
Emergency Medical Services,Permanent,1318.5
Emergency Medical Services,Temporary,6.5
Engineering & Construction Services,Permanent,129.8
Engineering & Construction Services,Temporary,4
Exhibition Place,Permanent,392.5
Exhibition Place,Temporary,0
Facilities Management & Real Estate (incl TE,Permanent,761.4
Facilities Management & Real Estate (incl TE,Temporary,38.3
Fire Services,Permanent,3124.5
Fire Services,Temporary,2.3
Fleet Services,Permanent,174
Fleet Services,Temporary,0
Heritage Toronto,Permanent,7
Heritage Toronto,Temporary,0
Information & Technology,Permanent,589
Information & Technology,Temporary,4
Integrity Commissioner's Office,Permanent,2
Integrity Commissioner's Office,Temporary,0
Legal Services,Permanent,267
Legal Services,Temporary,30
Lobbyist Registrar,Permanent,8
Lobbyist Registrar,Temporary,0.3
Long Term Care Homes & Services,Permanent,2179.7
Long Term Care Homes & Services,Temporary,0
Mayor's Office,Permanent,1
Mayor's Office,Temporary,8
Municipal Licensing and Standards,Permanent,455
Municipal Licensing and Standards,Temporary,1
Office of the Chief Financial Officer,Permanent,100
Office of the Chief Financial Officer,Temporary,0
Office of the Ombudsman,Permanent,11
Office of the Ombudsman,Temporary,0
Office of the Treasurer,Permanent,661
Office of the Treasurer,Temporary,23
Parking Tag Enforcement & Operations,Permanent,394
Parking Tag Enforcement & Operations,Temporary,0
"Parks, Forestry & Recreation",Permanent,1874
"Parks, Forestry & Recreation",Temporary,2473.6
"Policy, Planning, Finance and Administration",Permanent,194.4
"Policy, Planning, Finance and Administration",Temporary,6.1
"Shelter, Support & Housing Administration",Permanent,547
"Shelter, Support & Housing Administration",Temporary,171.6
"Social Development, Finance & Administratio",Permanent,121.5
"Social Development, Finance & Administratio",Temporary,4.8
Solid Waste Management Services,Permanent,958.5
Solid Waste Management Services,Temporary,117.2
Theatres,Permanent,76.9
Theatres,Temporary,79.6
Toronto Atmospheric Fund,Permanent,8
Toronto Atmospheric Fund,Temporary,0
Toronto Building,Permanent,418
Toronto Building,Temporary,7
Toronto Employment & Social Services,Permanent,2042
Toronto Employment & Social Services,Temporary,106.5
Toronto Parking Authority,Permanent,242
Toronto Parking Authority,Temporary,55.4
Toronto Police Service,Permanent,7659
Toronto Police Service,Temporary,211
Toronto Police Services Board,Permanent,8
Toronto Police Services Board,Temporary,0
Toronto Public Health,Permanent,1796
Toronto Public Health,Temporary,42.7
Toronto Public Library,Permanent,1737.4
Toronto Public Library,Temporary,0
Toronto Transit Commission - Conventional,Permanent,11176
Toronto Transit Commission - Conventional,Temporary,3
Toronto Transit Commission - Wheel-Trans,Permanent,557
Toronto Transit Commission - Wheel-Trans,Temporary,0
Toronto Water,Permanent,1631
Toronto Water,Temporary,71.3
Toronto Zoo,Permanent,278
Toronto Zoo,Temporary,132.2
Transportation Services,Permanent,1013
Transportation Services,Temporary,42.4
Yonge-Dundas Square,Permanent,6
Yonge-Dundas Square,Temporary,0.5
