_META_START_,,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OuQUx6TGRpb2trRFE,,,,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuV0w1UXpZSVVSdE0,,,,,
SOURCE_DOCUMENT_TITLE,Budget - Operating Budget Program Summary by Expenditure Category,,,,,
SOURCE_DOCUMENT_TABLE_LOCATION,Data Download,,,,,
SOURCE_DOCUMENT_TABLE_TITLE,Approved Operating Budget Summary 2015,,,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuUndwcjQ1TjViZ1U,,,,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,,,,
YEAR,2015,,,,,
VERSION,PBFT,,,,,
ASPECT,Expenses,,,,,
NOTES_CONTENT,,,,,,
NOTES_SEVERITY,,,,,,
UNITS_NAME,Dollar,,,,,
UNITS_CODE,DOLLAR,,,,,
UNITS_MULTIPLIER,1,,,,,
TOTAL_AMOUNT,,,,,,
INTAKE_DATETIME,,,,,,
INTAKE_OPERATOR_ID,Henrik,,,,,
COLUMNS_CATEGORIES,"Program:NAME, Service:NAME, Activity:NAME, Expense:CODE, Expense:NAME",,,,,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE",,,,,
_META_END_,,,,,,
311 Toronto,311 Performance Reporting,,200A,Materials & Supplies,20,
311 Toronto,311 Performance Reporting,,100A,Salaries And Benefits,248823,
311 Toronto,311 Performance Reporting,,400A,Service And Rent,37,
311 Toronto,311 Service Delivery,,300A,Equipment,25357,
311 Toronto,311 Service Delivery,,700A,Inter-Divisional Charges,192020,
311 Toronto,311 Service Delivery,,200A,Materials & Supplies,14744,
311 Toronto,311 Service Delivery,,100A,Salaries And Benefits,10756523,
311 Toronto,311 Service Delivery,,400A,Service And Rent,1450053,
311 Toronto,TO-311 Development,311 PMO,510A,Contribution To Reserves/Reserve Funds,25905,
311 Toronto,TO-311 Development,311 PMO,200A,Materials & Supplies,1393,
311 Toronto,TO-311 Development,311 PMO,100A,Salaries And Benefits,2951411,
311 Toronto,TO-311 Development,311 PMO,400A,Service And Rent,10455,
311 Toronto,TO-311 Information & Business Processing,311 Business Processing,100A,Salaries And Benefits,465365,
311 Toronto,TO-311 Information & Business Processing,311 Information/ Content Management,200A,Materials & Supplies,100,
311 Toronto,TO-311 Information & Business Processing,311 Information/ Content Management,100A,Salaries And Benefits,949674,
311 Toronto,TO-311 Information & Business Processing,311 Information/ Content Management,400A,Service And Rent,794,
Affordable Housing Office,Housing Improvement Loans & Grants,,510A,Contribution To Reserves/Reserve Funds,1881,
Affordable Housing Office,Housing Improvement Loans & Grants,,300A,Equipment,681,
Affordable Housing Office,Housing Improvement Loans & Grants,,700A,Inter-Divisional Charges,109740,
Affordable Housing Office,Housing Improvement Loans & Grants,,200A,Materials & Supplies,4306,
Affordable Housing Office,Housing Improvement Loans & Grants,,100A,Salaries And Benefits,706347,
Affordable Housing Office,Housing Improvement Loans & Grants,,400A,Service And Rent,56713,
Affordable Housing Office,Housing Policy & Partnerships,,510A,Contribution To Reserves/Reserve Funds,1881,
Affordable Housing Office,Housing Policy & Partnerships,,300A,Equipment,681,
Affordable Housing Office,Housing Policy & Partnerships,,700A,Inter-Divisional Charges,109740,
Affordable Housing Office,Housing Policy & Partnerships,,200A,Materials & Supplies,4306,
Affordable Housing Office,Housing Policy & Partnerships,,100A,Salaries And Benefits,706418,
Affordable Housing Office,Housing Policy & Partnerships,,400A,Service And Rent,56713,
Affordable Housing Office,New Affordable Housing Development,,510A,Contribution To Reserves/Reserve Funds,1886,
Affordable Housing Office,New Affordable Housing Development,,300A,Equipment,681,
Affordable Housing Office,New Affordable Housing Development,,700A,Inter-Divisional Charges,109740,
Affordable Housing Office,New Affordable Housing Development,,200A,Materials & Supplies,4311,
Affordable Housing Office,New Affordable Housing Development,,100A,Salaries And Benefits,832180,
Affordable Housing Office,New Affordable Housing Development,,400A,Service And Rent,55246,
Arena Boards of Management,Community Ice & Facility Booking,,505A,Contribution To Capital,559519,
Arena Boards of Management,Community Ice & Facility Booking,,510A,Contribution To Reserves/Reserve Funds,270175,
Arena Boards of Management,Community Ice & Facility Booking,,300A,Equipment,43508,
Arena Boards of Management,Community Ice & Facility Booking,,200A,Materials & Supplies,2147208,
Arena Boards of Management,Community Ice & Facility Booking,,100A,Salaries And Benefits,4348489,
Arena Boards of Management,Community Ice & Facility Booking,,400A,Service And Rent,1031504,
Association of Community Centres,Public Space - Community Access,,400A,Service And Rent,25000,
Association of Community Centres,Social Economic & Neighbourhood Development,,510A,Contribution To Reserves/Reserve Funds,29231,
Association of Community Centres,Social Economic & Neighbourhood Development,,300A,Equipment,3337,
Association of Community Centres,Social Economic & Neighbourhood Development,,200A,Materials & Supplies,449823,
Association of Community Centres,Social Economic & Neighbourhood Development,,650A,Other Expenditures,7000,
Association of Community Centres,Social Economic & Neighbourhood Development,,100A,Salaries And Benefits,6620822,
Association of Community Centres,Social Economic & Neighbourhood Development,,400A,Service And Rent,764847,
Auditor General's Office,,,510A,Contribution To Reserves/Reserve Funds,7681,
Auditor General's Office,,,300A,Equipment,8121,
Auditor General's Office,,,700A,Inter-Divisional Charges,22272,
Auditor General's Office,,,200A,Materials & Supplies,15950,
Auditor General's Office,,,100A,Salaries And Benefits,4520927,
Auditor General's Office,,,400A,Service And Rent,142383,
Capital & Corporate Financing,Corporate Accounts,,505A,Contribution To Capital,227642150,
Capital & Corporate Financing,Corporate Accounts,,510A,Contribution To Reserves/Reserve Funds,18911638,
Capital & Corporate Financing,Corporate Accounts,,700A,Inter-Divisional Charges,933106,
Capital & Corporate Financing,Corporate Accounts,,650A,Other Expenditures,454045125,
Children's Services,Child Care Delivery,,510A,Contribution To Reserves/Reserve Funds,952319,
Children's Services,Child Care Delivery,,300A,Equipment,672010,
Children's Services,Child Care Delivery,,700A,Inter-Divisional Charges,4312524,
Children's Services,Child Care Delivery,,200A,Materials & Supplies,2483482,
Children's Services,Child Care Delivery,,650A,Other Expenditures,725997,
Children's Services,Child Care Delivery,,100A,Salaries And Benefits,77475308,
Children's Services,Child Care Delivery,,400A,Service And Rent,274306201,
Children's Services,Child Care System Management,,510A,Contribution To Reserves/Reserve Funds,328430,
Children's Services,Child Care System Management,,300A,Equipment,53516,
Children's Services,Child Care System Management,,700A,Inter-Divisional Charges,411691,
Children's Services,Child Care System Management,,200A,Materials & Supplies,38894,
Children's Services,Child Care System Management,,650A,Other Expenditures,-10821,Non-normal value
Children's Services,Child Care System Management,,100A,Salaries And Benefits,8800249,
Children's Services,Child Care System Management,,400A,Service And Rent,81930406,
City Clerk's Office,GV-Elect Government,Elections,300A,Equipment,7000,
City Clerk's Office,GV-Elect Government,Elections,700A,Inter-Divisional Charges,235833,
City Clerk's Office,GV-Elect Government,Elections,200A,Materials & Supplies,22004,
City Clerk's Office,GV-Elect Government,Elections,100A,Salaries And Benefits,4590847,
City Clerk's Office,GV-Elect Government,Elections,400A,Service And Rent,413826,
City Clerk's Office,GV-Make Government Work,Deliver Provincially Delegated Services,300A,Equipment,1250,
City Clerk's Office,GV-Make Government Work,Deliver Provincially Delegated Services,700A,Inter-Divisional Charges,8500,
City Clerk's Office,GV-Make Government Work,Deliver Provincially Delegated Services,200A,Materials & Supplies,17707,
City Clerk's Office,GV-Make Government Work,Deliver Provincially Delegated Services,650A,Other Expenditures,31017,
City Clerk's Office,GV-Make Government Work,Deliver Provincially Delegated Services,100A,Salaries And Benefits,2196757,
City Clerk's Office,GV-Make Government Work,Deliver Provincially Delegated Services,400A,Service And Rent,31884,
City Clerk's Office,GV-Make Government Work,Government & Official Services,510A,Contribution To Reserves/Reserve Funds,187709,
City Clerk's Office,GV-Make Government Work,Government & Official Services,300A,Equipment,37292,
City Clerk's Office,GV-Make Government Work,Government & Official Services,700A,Inter-Divisional Charges,64711,
City Clerk's Office,GV-Make Government Work,Government & Official Services,200A,Materials & Supplies,347183,
City Clerk's Office,GV-Make Government Work,Government & Official Services,100A,Salaries And Benefits,8298202,
City Clerk's Office,GV-Make Government Work,Government & Official Services,400A,Service And Rent,590483,
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,300A,Equipment,3444,
