_META_START_,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OuX0txYk0yTVJaYlk,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuaUJtdGpFb0lVWlE,,
SOURCE_DOCUMENT_TITLE,2016 Budget Committee Recommended Tax Supported Operating Budget,,
SOURCE_DOCUMENT_TABLE_LOCATION,pdf p.36,,
SOURCE_DOCUMENT_TABLE_TITLE,BUDGET COMMITTEE RECOMMENDED OPERATING BUDGET OPERATING POSITIONS,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuelFHVVdpX1V2YW8,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,
YEAR,2015,,
VERSION,Summary,,
ASPECT,Staffing,,
NOTES_CONTENT,Rate supported total amounts were taken from 2016 gfoa per department; permanent and temp were calculated based on prior year ratios,,
NOTES_SEVERITY,,,
UNITS_NAME,Full Time Equivalent,,
UNITS_CODE,FTE,,
UNITS_MULTIPLIER,1,,
TOTAL_AMOUNT,54966.1,,
INTAKE_DATETIME,,,
INTAKE_OPERATOR_ID,Henrik,,
COLUMNS_CATEGORIES,"Program:NAME,Permanence:NAME",,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE",,
_META_END_,,,
Affordable Housing Office,Permanent,15,
Children's Services,Permanent,951.3,
Court Services,Permanent,282,
Economic Development & Culture,Permanent,240,
Toronto Paramedic Services,Permanent,1438.8,
Long Term Care Homes & Services,Permanent,2372,
"Parks, Forestry & Recreation",Permanent,1919.1,
"Shelter, Support & Housing Administration",Permanent,615.2,
"Social Development, Finance & Administratio",Permanent,127.5,
Toronto Employment & Social Services,Permanent,2007,
City Planning,Permanent,353,
Fire Services,Permanent,3165,
Municipal Licensing and Standards,Permanent,459,
"Policy, Planning, Finance and Administration",Permanent,189,
Engineering & Construction Services,Permanent,120.3,
Toronto Building,Permanent,444,
Transportation Services,Permanent,991.8,
Office of the Chief Financial Officer,Permanent,101,
Office of the Treasurer,Permanent,656,
"Facilities, Real Estate, Environment & Energy",Permanent,894.2,
Fleet Services,Permanent,175,
Information & Technology,Permanent,616,
311 Toronto,Permanent,125,
City Manager's Office,Permanent,403,
City Clerk's Office,Permanent,399.1,
Legal Services,Permanent,273.5,
Mayor's Office,Permanent,1,
City Council,Permanent,44,
Auditor General's Office,Permanent,31.5,
Lobbyist Registrar,Permanent,8,
Integrity Commissioner's Office,Permanent,3,
Office of the Ombudsman,Permanent,12,
Toronto Public Health,Permanent,1822,
Toronto Public Library,Permanent,1736,
Association of Community Centres,Permanent,77.9,
Exhibition Place,Permanent,185,
Heritage Toronto,Permanent,7,
Theatres,Permanent,87.1,
Toronto Zoo,Permanent,277.7,
Arena Boards of Management,Permanent,44.3,
Yonge-Dundas Square,Permanent,6,
Parking Tag Enforcement & Operations,Permanent,394,
Toronto & Region Conservation Authority,Permanent,334,
Toronto Atmospheric Fund,Permanent,8,
Toronto Transit Commission - Conventional,Permanent,11860,
Toronto Transit Commission - Wheel-Trans,Permanent,565,
Toronto Police Service,Permanent,7881,
Toronto Police Services Board,Permanent,7,
Solid Waste Management Services,Permanent,988.0621244338,derived from 2016 gfoa p.495
Toronto Water,Permanent,1681.6160907443,derived from 2016 gfoa p.536 ff
Toronto Parking Authority,Permanent,248.5659318637,derived from 2016 gfoa p.936
Affordable Housing Office,Temporary,4,
Children's Services,Temporary,26.5,
Court Services,Temporary,,
Economic Development & Culture,Temporary,57.5,
Toronto Paramedic Services,Temporary,6,
Long Term Care Homes & Services,Temporary,,
"Parks, Forestry & Recreation",Temporary,2584.4,
"Shelter, Support & Housing Administration",Temporary,141.3,
"Social Development, Finance & Administratio",Temporary,9,
Toronto Employment & Social Services,Temporary,113,
City Planning,Temporary,15,
Fire Services,Temporary,3.3,
Municipal Licensing and Standards,Temporary,1,
"Policy, Planning, Finance and Administration",Temporary,7.4,
Engineering & Construction Services,Temporary,11.6,
Toronto Building,Temporary,12,
Transportation Services,Temporary,38.7,
Office of the Chief Financial Officer,Temporary,2,
Office of the Treasurer,Temporary,24.2,
"Facilities, Real Estate, Environment & Energy",Temporary,33.3,
Fleet Services,Temporary,1,
Information & Technology,Temporary,3,
311 Toronto,Temporary,20,
City Manager's Office,Temporary,10,
City Clerk's Office,Temporary,4.5,
Legal Services,Temporary,32.4,
Mayor's Office,Temporary,19,
City Council,Temporary,136,
Auditor General's Office,Temporary,,
Lobbyist Registrar,Temporary,0.3,
Integrity Commissioner's Office,Temporary,,
Office of the Ombudsman,Temporary,,
Toronto Public Health,Temporary,28,
Toronto Public Library,Temporary,,
Association of Community Centres,Temporary,,
Exhibition Place,Temporary,171,
Heritage Toronto,Temporary,,
Theatres,Temporary,84.8,
Toronto Zoo,Temporary,116.3,
Arena Boards of Management,Temporary,23.4,
Yonge-Dundas Square,Temporary,0.5,
Parking Tag Enforcement & Operations,Temporary,,
Toronto & Region Conservation Authority,Temporary,85.6,
Toronto Atmospheric Fund,Temporary,,
Toronto Transit Commission - Conventional,Temporary,10,
Toronto Transit Commission - Wheel-Trans,Temporary,,
Toronto Police Service,Temporary,,
Toronto Police Services Board,Temporary,,
Solid Waste Management Services,Temporary,120.6378755662,derived from 2016 gfoa p.495
Toronto Water,Temporary,72.0839092557,derived from 2016 gfoa p.536 ff
Toronto Parking Authority,Temporary,53.8340681363,derived from 2016 gfoa p.936
