_META_START_,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OuWTJPSE5TdFJIdlE,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuVG55bFlSdkJBM0k,,
SOURCE_DOCUMENT_TITLE,Budget - Operating Budget Program Summary by Expenditure Category,,
SOURCE_DOCUMENT_TABLE_LOCATION,Data Download,,
SOURCE_DOCUMENT_TABLE_TITLE,Approved Operating Budget Summary 2016,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuUm5jczhZRVB0QW8,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,
YEAR,2016,,
VERSION,PBFT,,
ASPECT,Expenses,,
NOTES_CONTENT,,,
NOTES_SEVERITY,,,
UNITS_NAME,Dollar,,
UNITS_CODE,DOLLAR,,
UNITS_MULTIPLIER,1,,
TOTAL_AMOUNT,,,
INTAKE_DATETIME,,,
INTAKE_OPERATOR_ID,Henrik,,
COLUMNS_CATEGORIES,"Program:NAME, Service:NAME, Expense:NAME",,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE",,
_META_END_,,,
311 Toronto,311 Performance Reporting,Salaries And Benefits,240032.08
311 Toronto,311 Performance Reporting,Service And Rent,37
311 Toronto,311 Service Delivery,Equipment,25357.01
311 Toronto,311 Service Delivery,Inter-Divisional Charges,194276.92
311 Toronto,311 Service Delivery,Materials & Supplies,8529.25
311 Toronto,311 Service Delivery,Salaries And Benefits,10903058.36
311 Toronto,311 Service Delivery,Service And Rent,1621425.35
311 Toronto,TO-311 Development,Contribution To Reserves/Reserve Funds,25905.28
311 Toronto,TO-311 Development,Materials & Supplies,1059.25
311 Toronto,TO-311 Development,Salaries And Benefits,2922847.01
311 Toronto,TO-311 Development,Service And Rent,10454.91
311 Toronto,TO-311 Information & Business Processing,Salaries And Benefits,1346861.88
311 Toronto,TO-311 Information & Business Processing,Service And Rent,794
Affordable Housing Office,Housing Improvement Loans & Grants,Contribution To Reserves/Reserve Funds,1881
Affordable Housing Office,Housing Improvement Loans & Grants,Equipment,833
Affordable Housing Office,Housing Improvement Loans & Grants,Inter-Divisional Charges,162884
Affordable Housing Office,Housing Improvement Loans & Grants,Materials & Supplies,3848
Affordable Housing Office,Housing Improvement Loans & Grants,Salaries And Benefits,719131
Affordable Housing Office,Housing Improvement Loans & Grants,Service And Rent,55558
Affordable Housing Office,Housing Policy & Partnerships,Contribution To Reserves/Reserve Funds,1881
Affordable Housing Office,Housing Policy & Partnerships,Equipment,832
Affordable Housing Office,Housing Policy & Partnerships,Inter-Divisional Charges,162884
Affordable Housing Office,Housing Policy & Partnerships,Materials & Supplies,3850
Affordable Housing Office,Housing Policy & Partnerships,Salaries And Benefits,718915
Affordable Housing Office,Housing Policy & Partnerships,Service And Rent,55559
Affordable Housing Office,New Affordable Housing Development,Contribution To Reserves/Reserve Funds,1886
Affordable Housing Office,New Affordable Housing Development,Equipment,833
Affordable Housing Office,New Affordable Housing Development,Inter-Divisional Charges,162884
Affordable Housing Office,New Affordable Housing Development,Materials & Supplies,3853
Affordable Housing Office,New Affordable Housing Development,Salaries And Benefits,844969
