_META_START_,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OuWTJPSE5TdFJIdlE,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuVG55bFlSdkJBM0k,,
SOURCE_DOCUMENT_TITLE,Budget - Operating Budget Program Summary by Expenditure Category,,
SOURCE_DOCUMENT_TABLE_LOCATION,Data Download,,
SOURCE_DOCUMENT_TABLE_TITLE,Approved Operating Budget Summary 2016,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuOHFMdnVvZlBuYk0,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,
YEAR,2016,,
VERSION,PBFT,,
ASPECT,Revenues,,
NOTES_CONTENT,,,
NOTES_SEVERITY,,,
UNITS_NAME,Dollar,,
UNITS_CODE,DOLLAR,,
UNITS_MULTIPLIER,1,,
TOTAL_AMOUNT,,,
INTAKE_DATETIME,,,
INTAKE_OPERATOR_ID,Henrik,,
COLUMNS_CATEGORIES,"Program:NAME, Service:NAME, Revenue:NAME",,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE",,
_META_END_,,,
311 Toronto,311 Service Delivery,Inter-Divisional Recoveries,5693589
311 Toronto,TO-311 Development,Transfers From Capital,2624869.9
Affordable Housing Office,Housing Improvement Loans & Grants,Contribution From Reserves/Reserve Funds,166333
Affordable Housing Office,Housing Improvement Loans & Grants,Provincial Subsidies,382806
Affordable Housing Office,Housing Policy & Partnerships,Contribution From Reserves/Reserve Funds,166333
Affordable Housing Office,Housing Policy & Partnerships,Provincial Subsidies,383833
Affordable Housing Office,New Affordable Housing Development,Contribution From Reserves/Reserve Funds,166333
Affordable Housing Office,New Affordable Housing Development,Inter-Divisional Recoveries,128520
Affordable Housing Office,New Affordable Housing Development,Provincial Subsidies,382806
Arena Boards of Management,Community Ice & Facility Booking,Sundry and Other Revenues,993598.1
Arena Boards of Management,Community Ice & Facility Booking,User Fees & Donations,7658122.18
Association of Community Centres,Social Economic & Neighbourhood Development,Sundry and Other Revenues,1500
Association of Community Centres,Social Economic & Neighbourhood Development,User Fees & Donations,271930
Capital & Corporate Financing,Corporate Accounts,Contribution From Reserves/Reserve Funds,16273000.08
Capital & Corporate Financing,Corporate Accounts,Inter-Divisional Recoveries,2830457.04
Capital & Corporate Financing,Corporate Accounts,Provincial Subsidies,2440580.04
Capital & Corporate Financing,Corporate Accounts,Sundry and Other Revenues,1762044.96
Children's Services,Child Care Delivery,Contribution From Reserves/Reserve Funds,3966918.99
Children's Services,Child Care Delivery,Inter-Divisional Recoveries,10200000
Children's Services,Child Care Delivery,Provincial Subsidies,257693416.75
Children's Services,Child Care Delivery,Transfers From Capital,984194.5
Children's Services,Child Care Delivery,User Fees & Donations,25569600
Children's Services,Child Care System Management,Contribution From Reserves/Reserve Funds,1400001
Children's Services,Child Care System Management,Provincial Subsidies,94356188.29
Children's Services,Child Care System Management,Transfers From Capital,296434.5
City Clerk's Office,GV-Elect Government,Contribution From Reserves/Reserve Funds,5580012.63
City Clerk's Office,GV-Elect Government,Sundry and Other Revenues,150
City Clerk's Office,GV-Make Government Work,Inter-Divisional Recoveries,167979
