_META_START_,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OudFF0bGVRMVZ4dTA,,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuTF9vOFRVVHl3Z2M,,,
SOURCE_DOCUMENT_TITLE,Budget - Operating Budget Program Summary by Expenditure Category,,,
SOURCE_DOCUMENT_TABLE_LOCATION,Data Download,,,
SOURCE_DOCUMENT_TABLE_TITLE,Approved Operating Budget Summary 2017,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuX3ZrN3F5SDJJREk,,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,,
YEAR,2017,,,
VERSION,PBFT,,,
ASPECT,Expenses,,,
NOTES_CONTENT,,,,
NOTES_SEVERITY,,,,
UNITS_NAME,Dollar,,,
UNITS_CODE,DOLLAR,,,
UNITS_MULTIPLIER,1,,,
TOTAL_AMOUNT,,,,
INTAKE_DATETIME,,,,
INTAKE_OPERATOR_ID,Henrik,,,
COLUMNS_CATEGORIES,"Program:NAME, Service:NAME, Activity:NAME, Expense:NAME",,,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE",,,
_META_END_,,,,
311 Toronto,311 Performance Reporting,311 Performance Reporting,Service And Rent,37
311 Toronto,311 Performance Reporting,311 Performance Reporting,Salaries And Benefits,222718
311 Toronto,311 Service Delivery,311 Service Delivery,Materials & Supplies,11410
311 Toronto,311 Service Delivery,311 Service Delivery,Equipment,25300
311 Toronto,311 Service Delivery,311 Service Delivery,Inter-Divisional Charges,195322
311 Toronto,311 Service Delivery,311 Service Delivery,Service And Rent,1399048
311 Toronto,311 Service Delivery,311 Service Delivery,Salaries And Benefits,12588209
311 Toronto,TO-311 Development,311 PMO,Materials & Supplies,1000
311 Toronto,TO-311 Development,311 PMO,Service And Rent,9830
311 Toronto,TO-311 Development,311 PMO,Contribution To Reserves/Reserve Funds,25905
311 Toronto,TO-311 Development,311 PMO,Salaries And Benefits,1895546
311 Toronto,TO-311 Information & Business Processing,311 Business Processing,Salaries And Benefits,406724
311 Toronto,TO-311 Information & Business Processing,311 Information/ Content Management,Service And Rent,794
311 Toronto,TO-311 Information & Business Processing,311 Information/ Content Management,Salaries And Benefits,842444
Affordable Housing Office,Housing Improvement Programs,Housing Improvement Programs,Equipment,666
Affordable Housing Office,Housing Improvement Programs,Housing Improvement Programs,Contribution To Reserves/Reserve Funds,1881
Affordable Housing Office,Housing Improvement Programs,Housing Improvement Programs,Materials & Supplies,4715
Affordable Housing Office,Housing Improvement Programs,Housing Improvement Programs,Service And Rent,53756
Affordable Housing Office,Housing Improvement Programs,Housing Improvement Programs,Inter-Divisional Charges,152059
Affordable Housing Office,Housing Improvement Programs,Housing Improvement Programs,Salaries And Benefits,901547
