_COLUMNS_,"Category:CODE,Category:NAME,AlternateNames:LIST,Notes:LIST",,
311SERVICE,311 Toronto,,
AFFHOUSING,Affordable Housing Office,,
ARENAS,Arena Boards of Management,,
ATMOSPHERE,Toronto Atmospheric Fund,,
AUDITGEN,Auditor General's Office,,
BUILDINGS,Toronto Buildings,Toronto Buildings;#Toronto Building,
CFO,Office of the Chief Financial Officer,,
CHILDSERV,Children's Services,,
CITYMANAGER,City Manager's Office,,
CLERK,City Clerk's Office,,
COMMCENTRES,Association of Community Centres,,
COMMPARTNER,Community Partnership and Investment Program,,
CORPFINANCING,Capital & Corporate Finance / Non-Program,Capital & Corporate Finance / Non-Program;#CAPITAL & CORPORATE FINANCE / NON-PROGRAM,
COUNCIL,City Council,,
COURTSERV,Court Services,,
ECONDEV,Economic Development and Culture,Economic Development and Culture;#Economic Development & Culture,
ENGINEERING,Technical Services,,
ENVIRONMENTOFFICE,Toronto Environment Office,,
EXHIBPLACE,Exhibition Place,,
FACILITIES,Facilities Management and Real Estate,Facilities Management and Real Estate;#Facilities Management & Real Estate,
FIRE,Fire Services,,
FLEET,Fleet Services,,
HERITAGE,Heritage Toronto,,
INTEGRITYCOMM,The Integrity Commissioner's Office,The Integrity Commissioner's Office;#Office of the Integrity Commissioner,
IT,Information and Technology,Information and Technology;#Information & Technology,
LEGAL,Legal Services,,
LIBRARY,Toronto Public Library,,
LICENCING,Municipal Licensing and Standards,,
LOBBYREG,The Lobbyist Registrar's Office,The Lobbyist Registrar's Office;#Office of the Lobbyist Registrar,
LONGTERMHOME,Long Term Care Homes & Services,,
MAYOR,The Mayor's Office,The Mayor's Office;#Mayor's Office,
OMBUDSMAN,The Ombudsman's Office,The Ombudsman's Office;#Office of the Ombudman,
PARAMEDIC,Emergency Medical Services,,
PARKING,Toronto Parking Authority,,
PARKINGTAGS,Parking Tag Enforcement & Operations,,
PARKS,"Parks, Forestry and Recreation","Parks, Forestry and Recreation;#Parks, Forestry & Recreation",
PLANNING,City Planning,,
POLICE,Toronto Police Service,,
POLICEBOARD,Toronto Police Service Board,,
POLICYADMIN,"Policy, Planning, Finance and Administration","Policy, Planning, Finance and Administration;#Policy, Planning, Finance & Administration",
PUBLICHEALTH,Toronto Public Health,,
REGIONCONSERV,Toronto and Region Conservation Authority,,
SHELTERADMIN,"Shelter, Support and Housing Administration","Shelter, Support and Housing Administration;#Shelter, Housing & Support Administration",
SOCIALDEV,"Social Development, Finance and Administration","Social Development, Finance and Administration;#Social Development, Finance & Administration",
SOCIALSERV,Toronto Employment and Social Services,Toronto Employment and Social Services;#Toronto Employment & Social Services,
SOLIDWASTE,Solid Waste Management Services,,
SONYCENTRE,Theatres - Sony Centre for the Performing Arts,,
STLAWRENCECENTRE,Theatres - St. Lawrence Centre for the Arts,,
THEATRES,Theatres,,
TORONTOCENTRE,Theatres - Toronto Centre for the Arts,,
TRANSPORTATION,Transportation Services,,
TREASURER,Office of the Treasurer,,
TTCCONV,Toronto Transit Commission - Conventional,Toronto Transit Commission - Conventional;#Toronto Transit Commission,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,Toronto Transit Commission - Wheel Trans;#Wheel Trans,
WATER,Toronto Water,,
WATERFRONT,Waterfront Secretariat,,
YONGEDUNDAS,Yonge-Dundas Square,,
ZOO,Toronto Zoo,,
