_COLUMNS_,"Category:CODE,Category:NAME,AlternateNames:LIST,Notes:LIST",,
750A,Interdivisional Recoveries,,
805A,Provincial Subsidies,,
810A,Federal Subsidies,,
820A,Other Subsidies,,
850A,User Fees & Donations,,
860A,Naming Rights (CCRF),,
920A,Transfers from Capital Fund,,
930A,Contributions from Reserve Funds,Contrib. from CCRF (Allstream));#Contrib. from CCRF (Sportsman Show);#Contribution from Res/Res Funds;#Contribution from Reserve;#Contribution from Reserve / Reserve Funds;#Contribution from Reserve Funds;#Contribution from Reserve/Res Funds;#Contributions from Reserve Funds;#Contributions from Reserves,guess;#guess
940A,Sundry Revenues,Grants from others;#Legal Fee Rec - 3rd Party;#Other Revenue;#Other Revenues;#Sale of Water;#Sundry Revenues,guess;#guess;#guess
