_COLUMNS_,"Category:CODE,Category:NAME,AlternateNames:LIST,Notes:LIST",,
311SERVICE,311 Toronto,,
AFFHOUSING,Affordable Housing Office,,
ARENAS,Arena Boards of Management,,
ATMOSPHERE,Toronto Atmospheric Fund,,
AUDITGEN,Accountability Offices - Auditor General,Accountability Offices - Auditor General;#Auditor General's Office,
BUILDINGS,Toronto Building Services,Toronto Building Services;#Toronto Building,
CFO,Office of the Chief Financial Officer,,
CHILDSERV,Children's Services,,
CITYMANAGER,City Manager's Office,,
CLERK,City Clerk's Office,,
COMMCENTRES,Association of Community Centres,,
CORPFINANCING,Capital & Corporate Finance / Non-Program,,
COUNCIL,City Council,,
COURTSERV,Court Services,,
ECONDEV,Economic Development & Culture,,
ENGINEERING,Technical Services,,
ENVIRONMENTOFFICE,Toronto Environment Office,,
EXHIBPLACE,Exhibition Place,,
FACILITIES,Facilities Management and Real Estate,Facilities Management and Real Estate;#Facilities Management & Real Estate,
FIRE,Fire Services,,
FLEET,Fleet Services,,
HERITAGE,Heritage Toronto,,
INTEGRITYCOMM,Accountability Offices - Integrity Commissioner,Accountability Offices - Integrity Commissioner;#Office of the Integrity Commissioner,
IT,Information and Technology,Information and Technology;#Information & Technology,
LEGAL,Legal Services,,
LIBRARY,Toronto Library Board,Toronto Library Board;#Toronto Public Library,
LICENCING,Municipal Licensing and Standards,,
LOBBYREG,Accountability Offices - Lobbyist Registrar,Accountability Offices - Lobbyist Registrar;#Office of the Lobbyist Registrar,
LONGTERMHOME,Long Term Care Homes and Services,Long Term Care Homes and Services;#Long Term Care Homes & Services,
MAYOR,Office of the Mayor,Office of the Mayor;#Mayor's Office,
OMBUDSMAN,Office of the Ombudman,,
PARAMEDIC,Emergency Medical Services,,
PARKING,Toronto Parking Authority,,
PARKINGTAGS,Parking Tags Enforcement & Operations,Parking Tags Enforcement & Operations;#Parking Tag Enforcement & Operations,
PARKS,"Parks, Forestry and Recreation","Parks, Forestry and Recreation;#Parks, Forestry & Recreation",
PLANNING,City Planning,,
POLICE,Toronto Police Service,,
POLICEBOARD,Toronto Police Services Board,Toronto Police Services Board;#Toronto Police Service Board,
POLICYADMIN,"Policy, Planning, Finance and Administration","Policy, Planning, Finance and Administration;#Policy, Planning, Finance & Administration",
PUBLICHEALTH,Toronto Public Health,,
REGIONCONSERV,Toronto & Region Conservation Authority (TRCA),,
SHELTERADMIN,"Shelter, Support & Housing Administration","Shelter, Support & Housing Administration;#Shelter, Housing & Support Administration",
SOCIALDEV,"Social Development, Finance & Administration",,
SOCIALSERV,Toronto Employment & Social Services,,
SOLIDWASTE,Solid Waste Management Services,,
SONYCENTRE,Sony Centre for the Performing Arts,,
STLAWRENCECENTRE,St. Lawrence Cenmtre for the Arts,,
THEATRES,Theatres,,
TORONTOCENTRE,Toronto Centre for the Arts,,
TRANSPORTATION,Transportation Services,,
TREASURER,Office of the Treasurer,,
TTCCONV,Toronto Transit Commission - Conventional,Toronto Transit Commission - Conventional;#Toronto Transit Commission,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,Toronto Transit Commission - Wheel Trans;#Wheel Trans,
WATER,Toronto Water,,
WATERFRONT,Waterfront Secretariat,,
YONGEDUNDAS,Yonge Dundas Square,Yonge Dundas Square;#Yonge-Dundas Square,
ZOO,Toronto Zoo,,
