_COLUMNS_,"Category:CODE,Category:NAME,AlternateNames:LIST,Notes:LIST",,
311 Business Processing,311 Business Processing,,
311 Information/ Content Management,311 Information/ Content Management,,
311 PMO,311 PMO,,
3rd Party Application Review & Acceptance,3rd Party Application Review & Acceptance,,
ASD-Accounts Payable Processing,ASD-Accounts Payable Processing,,
ASD-Accounts Receivable Processing,ASD-Accounts Receivable Processing,,
ASD-Corporate Banking,ASD-Corporate Banking,,
ASD-Financial & System Control,ASD-Financial & System Control,,
ASD-Financial Statement Preparation,ASD-Financial Statement Preparation,,
ASD-Management Reporting,ASD-Management Reporting,,
ASD-PCard Processing,ASD-PCard Processing,,
ASD-Provincial & Federal Reports Submission,ASD-Provincial & Federal Reports Submission,,
ASD-SAP Financial Systems Training,ASD-SAP Financial Systems Training,,
ASD-SAP Solution Delivery,ASD-SAP Solution Delivery,,
ASD-SAP User Support,ASD-SAP User Support,,
ASD-Tax Advisory & Policy,ASD-Tax Advisory & Policy,,
Accountability Processes,Accountability Processes,,
Adult Day Program,Adult Day Program,,
Advertising / Corporate Identity Management,Advertising / Corporate Identity Management,,
Animal By-Law Enforcement,Animal By-Law Enforcement,,
Animal Mobile Response,Animal Mobile Response,,
Animal Sheltering & Adoption,Animal Sheltering & Adoption,,
Arts Programming,Arts Programming,,
Audit Reporting,Audit Reporting,,
Authoritative Data Custodianship,Authoritative Data Custodianship,,
BIA Support & Governance,BIA Support & Governance,,
Beach Access,Beach Access,,
Bridge Condition Assessment,Bridge Condition Assessment,,
Budget Planning & coordination,Budget Planning & coordination,,
Building Information,Building Information,,
Building Inspections,Building Inspections,,
Building Investigations,Building Investigations,,
Building Permits,Building Permits,,
Business & Trade Licensing,Business & Trade Licensing,,
Business Permitting,Business Permitting,,
Business Retention & Expansion,Business Retention & Expansion,,
Business Risk & Consulting,Business Risk & Consulting,,
By-law Enforcement,By-law Enforcement,,
CPF-Advisory & Negotiation,CPF-Advisory & Negotiation,,
CPF-Claims Management,CPF-Claims Management,,
CPF-Debt Management,CPF-Debt Management,,
CPF-Financial & Business Analysis,CPF-Financial & Business Analysis,,
CPF-Financial Policy Development,CPF-Financial Policy Development,,
CPF-Insurance & Risk Management,CPF-Insurance & Risk Management,,
CPF-Investment Management,CPF-Investment Management,,
Campaign Based Fire Education,Campaign Based Fire Education,,
Cat & Dog Licensing,Cat & Dog Licensing,,
"Chemical, Biological, Radiological, Nuclear & Exposive Resp.","Chemical, Biological, Radiological, Nuclear & Exposive Resp.",,
Citizen First Response Education,Citizen First Response Education,,
City Manager,City Manager,,
"Client Support, Advice & Consultation","Client Support, Advice & Consultation",,
Community Development,Community Development,,
Community Engagement,Community Engagement,,
Community Funding Delivery,Community Funding Delivery,,
Community Healthcare Outreach & Referral,Community Healthcare Outreach & Referral,,
Community Safety,Community Safety,,
Complement Management & Reporting,Complement Management & Reporting,,
Computing Infrastructure,Computing Infrastructure,,
Construction,Construction,,
Construction Permits,Construction Permits,,
Corporate Information Production Services,Corporate Information Production Services,,
Corporate Issues & Agenda Management,Corporate Issues & Agenda Management,,
Corporate Partnership Initiatives,Corporate Partnership Initiatives,,
Critical Care Transport,Critical Care Transport,,
Cultural Development,Cultural Development,,
Cultural Grants,Cultural Grants,,
Custodial Care,Custodial Care,,
