_COLUMNS_,"Category:CODE,Category:NAME,ReferenceCategory:CODE,ReferenceCategory:NAME,AlternateNames:LIST"
311SERVICE,311 Toronto
AFFHOUSING,Affordable Housing Office
ARENAS,Arena Boards of Management
ATMOSPHERE,Toronto Atmospheric Fund
AUDITGEN,Auditor General's Office
BUILDINGS,Toronto Buildings
CFO,Office of the Chief Financial Officer
CHILDSERV,Children's Services
CITYMANAGER,City Manager's Office
CLERK,City Clerk's Office
COMMCENTRES,Association of Community Centres
CORPEXPENDITURES,Non-Program
COUNCIL,City's Council
COURTSERV,Court Services
ECONDEV,Economic Development & Culture
ENGINEERING,Engineering & Construction Services
EXHIBPLACE,Exhibition Place
FACILITIES,Facilities Management & Real Estate
FIRE,Fire Services
FLEET,Fleet Services
HERITAGE,Heritage Toronto
INTEGRITYCOMM,Integrity Commissioner's Office
IT,Information & Technology
LEGAL,Legal Services
LIBRARY,Toronto Public Library
LICENCING,Municipal Licensing & Standards
LOBBYREG,Office of the Lobbyist Registrar
LONGTERMHOME,Long Term Care Homes & Services
MAYOR,Mayor's Office
OMBUDSMAN,Office of the Ombudsman
PARAMEDIC,Emergency Medical Services
PARKING,Toronto Parking Authority
PARKS,"Parks, Forestry & Recreation"
PLANNING,City Planning
POLICE,Toronto Police Service
POLICEBOARD,Toronto Police Services Board
POLICYADMIN,"Policy, Planning, Finance & Admin"
PUBLICHEALTH,Toronto Public Health
REGIONCONSERV,Toronto Region Conservation Authority
SHELTERADMIN,"Shelter, Support & Housing Admin"
SOCIALDEV,"Social Development, Finance & Admin"
SOCIALSERV,Toronto Employment & Social Services
SOLIDWASTE,Solid Waste Management Services
THEATRES,Theatres
TRANSPORTATION,Transportation Services
TREASURER,Office of the Treasurer
TTCCONV,Toronto Transit Commission-Conventional
TTCWHEEL,Toronto Transit Commission - Wheel Trans
WATER,Toronto Water
YONGEDUNDAS,Yonge-Dundas Square
ZOO,Toronto Zoo
