_COLUMNS_,"Category:NAME,Category:CODE,Note:DESCRIPTION,Count:VALUE",,
Contribution from Local Boards,930A,guess,1
Contribution from Reserve,930A,,52
Contribution from Reserve Funds,930A,,56
External Funding & Donations,940A,guess,1
Federal Subsidies,810A,,55
Grants from Others,940A,guess,1
Interdivisional Recoveries,750A,,54
Interdivisional Recoveries (Leaside Pool),750A,,1
Other Revenues,940A,,2
Other Subsidies,820A,,54
Provincial Subsidies,805A,,55
Sundry Revenues,940A,,54
Transfers from Capital Fund,920A,,56
User Fees & Donations,850A,,56
