_COLUMNS_,"Category:NAME,Category:CODE,Note:DESCRIPTION,Count:VALUE",,
311 Toronto,311SERVICE,,12
Affordable Housing Office,AFFHOUSING,,11
Arena Boards of Management,ARENAS,,11
Association of Community Centres,COMMCENTRES,,11
Auditor General's Office,AUDITGEN,,8
Children's Services,CHILDSERV,,14
City Clerk's Office,CLERK,,14
City Council,COUNCIL,,2
City Manager's Office,CITYMANAGER,,14
City Planning,PLANNING,,13
City's Council,COUNCIL,,7
Court Services,COURTSERV,,13
Economic Development & Culture,ECONDEV,,17
Emergency Medical Services,PARAMEDIC,,16
Engineering & Construction Services,ENGINEERING,,13
Exhibition Place,EXHIBPLACE,,11
Facilities Management & Real Estate,FACILITIES,,14
Facilities Management & Real Estate (incl TE,FACILITIES,,2
Fire Services,FIRE,,13
Fleet Services,FLEET,,12
Heritage Toronto,HERITAGE,,11
Information & Technology,IT,,14
Integrity Commissioner's Office,INTEGRITYCOMM,,8
Legal Services,LEGAL,,13
Lobbyist Registrar,LOBBYREG,,2
Long Term Care Homes & Services,LONGTERMHOME,,15
Mayor's Office,MAYOR,,7
Municipal Licensing & Standards,LICENCING,,12
Municipal Licensing and Standards,LICENCING,,2
Non-Program,CORPEXPENDITURES,,17
Office of the Chief Financial Officer,CFO,,13
Office of the Lobbyist Registrar,LOBBYREG,,6
Office of the Ombudsman,OMBUDSMAN,,8
Office of the Treasurer,TREASURER,,14
Parking Tag Enforcement & Operations,PARKINGTAGS,,2
"Parks, Forestry & Recreation",PARKS,,17
"Policy, Planning, Finance & Admin",POLICYADMIN,,12
"Policy, Planning, Finance and Administration",POLICYADMIN,,2
"Shelter, Support & Housing Admin",SHELTERADMIN,,15
"Shelter, Support & Housing Administration",SHELTERADMIN,,2
"Social Development, Finance & Admin",SOCIALDEV,,13
"Social Development, Finance & Administratio",SOCIALDEV,,2
Solid Waste Management Services,SOLIDWASTE,,15
Theatres,THEATRES,,11
Toronto Atmospheric Fund,ATMOSPHERE,,8
Toronto Building,BUILDINGS,,2
Toronto Buildings,BUILDINGS,,13
Toronto Employment & Social Services,SOCIALSERV,,16
Toronto Parking Authority,PARKING,,9
Toronto Police Service,POLICE,,13
Toronto Police Services Board,POLICEBOARD,,8
Toronto Public Health,PUBLICHEALTH,,16
Toronto Public Library,LIBRARY,,15
Toronto Region Conservation Authority,REGIONCONSERV,,9
Toronto Transit Commission - Conventional,TTCCONV,,2
Toronto Transit Commission - Wheel Trans,TTCWHEEL,,5
Toronto Transit Commission - Wheel-Trans,TTCWHEEL,,2
Toronto Transit Commission-Conventional,TTCCONV,,7
Toronto Water,WATER,,13
Toronto Zoo,ZOO,,12
Transportation Services,TRANSPORTATION,,15
Yonge-Dundas Square,YONGEDUNDAS,,10
