_COLUMNS_,"Category:NAME,Category:CODE,Note:DESCRIPTION,Count:VALUE",,
311 Business Processing,311 Business Processing,,1
311 Information/ Content Management,311 Information/ Content Management,,3
311 PMO,311 PMO,,5
3rd Party Application Review & Acceptance,3rd Party Application Review & Acceptance,,10
AM-City Emergency & Major Event Mass Casualty Care,AM-City Emergency & Major Event Mass Casualty Care,,13
ASD-Accounts Payable Processing,ASD-Accounts Payable Processing,,9
ASD-Accounts Receivable Processing,ASD-Accounts Receivable Processing,,5
ASD-Corporate Banking,ASD-Corporate Banking,,7
ASD-Financial & System Control,ASD-Financial & System Control,,9
ASD-Financial Statement Preparation,ASD-Financial Statement Preparation,,6
ASD-Management Reporting,ASD-Management Reporting,,8
ASD-PCard Processing,ASD-PCard Processing,,6
ASD-Provincial & Federal Reports Submission,ASD-Provincial & Federal Reports Submission,,5
ASD-SAP Financial Systems Training,ASD-SAP Financial Systems Training,,3
ASD-SAP Solution Delivery,ASD-SAP Solution Delivery,,1
ASD-SAP User Support,ASD-SAP User Support,,5
ASD-Tax Advisory & Policy,ASD-Tax Advisory & Policy,,6
Accountability Processes,Accountability Processes,,3
Adult Day Program,Adult Day Program,,6
Advertising / Corporate Identity Management,Advertising / Corporate Identity Management,,5
Animal By-Law Enforcement,Animal By-Law Enforcement,,7
Animal Mobile Response,Animal Mobile Response,,10
Animal Sheltering & Adoption,Animal Sheltering & Adoption,,11
Arts Programming,Arts Programming,,10
Audit Reporting,Audit Reporting,,6
Authoritative Data Custodianship,Authoritative Data Custodianship,,10
BIA Support & Governance,BIA Support & Governance,,8
Beach Access,Beach Access,,9
Bridge Condition Assessment,Bridge Condition Assessment,,9
Budget Planning & coordination,Budget Planning & coordination,,5
Building Information,Building Information,,13
Building Inspections,Building Inspections,,13
Building Investigations,Building Investigations,,13
Building Permits,Building Permits,,13
Business & Trade Licensing,Business & Trade Licensing,,10
Business Permitting,Business Permitting,,10
Business Retention & Expansion,Business Retention & Expansion,,7
Business Risk & Consulting,Business Risk & Consulting,,4
By-law Enforcement,By-law Enforcement,,6
CPF-Advisory & Negotiation,CPF-Advisory & Negotiation,,8
CPF-Claims Management,CPF-Claims Management,,9
CPF-Debt Management,CPF-Debt Management,,8
CPF-Financial & Business Analysis,CPF-Financial & Business Analysis,,8
CPF-Financial Policy Development,CPF-Financial Policy Development,,8
CPF-Insurance & Risk Management,CPF-Insurance & Risk Management,,9
CPF-Investment Management,CPF-Investment Management,,8
Campaign Based Fire Education,Campaign Based Fire Education,,8
Cat & Dog Licensing,Cat & Dog Licensing,,10
"Chemical, Biological, Radiological, Nuclear & Exposive Resp.","Chemical, Biological, Radiological, Nuclear & Exposive Resp.",,5
Citizen First Response Education,Citizen First Response Education,,12
City Manager,City Manager,,6
