_COLUMNS_,"Category:NAME,Category:CODE,Note:DESCRIPTION,Count:VALUE",,
Contrib. from CCRF (Allstream)),930A,guess,
Contrib. from CCRF (Sportsman Show),930A,guess,
Contribution from Res/Res Funds,930A,,
Contribution from Reserve,930A,,
Contribution from Reserve / Reserve Funds,930A,,
Contribution from Reserve Funds,930A,,
Contribution from Reserve/Res Funds,930A,,
Contributions from Reserve Funds,930A,,
Contributions from Reserves,930A,,
Federal Subsidies,810A,,
Grants from others,940A,guess,
Interdivisional Recoveries,750A,,
Legal Fee Rec - 3rd Party,940A,guess,
Naming Rights (CCRF),860A,,
Other Revenue,940A,,
Other Revenues,940A,,
Other Subsidies,820A,,
Provincial Subsidies,805A,,
Sale of Water,940A,guess,
Sundry Revenues,940A,,
Transfers from Capital Fund,920A,,
User Fees & Donations,850A,,
