311 Toronto,311SERVICE,,10
Affordable Housing Office,AFFHOUSING,,9
Arena Boards of Management,ARENAS,,9
Association of Community Centres,COMMCENTRES,,9
Auditor General's Office,AUDITGEN,,6
Children's Services,CHILDSERV,,12
City Clerk's Office,CLERK,,12
City Manager's Office,CITYMANAGER,,12
City Planning,PLANNING,,11
City's Council,COUNCIL,,7
Court Services,COURTSERV,,11
Economic Development & Culture,ECONDEV,,15
Emergency Medical Services,PARAMEDIC,,14
Engineering & Construction Services,ENGINEERING,,11
Exhibition Place,EXHIBPLACE,,9
Facilities Management & Real Estate,FACILITIES,,14
Fire Services,FIRE,,11
Fleet Services,FLEET,,10
Heritage Toronto,HERITAGE,,9
Information & Technology,IT,,12
Integrity Commissioner's Office,INTEGRITYCOMM,,6
Legal Services,LEGAL,,11
Long Term Care Homes & Services,LONGTERMHOME,,13
Mayor's Office,MAYOR,,5
Municipal Licensing & Standards,LICENCING,,12
Non-Program,CORPEXPENDITURES,,17
Office of the Chief Financial Officer,CFO,,11
Office of the Lobbyist Registrar,LOBBYREG,,6
Office of the Ombudsman,OMBUDSMAN,,6
Office of the Treasurer,TREASURER,,12
"Parks, Forestry & Recreation",PARKS,,15
"Policy, Planning, Finance & Admin",POLICYADMIN,,12
"Shelter, Support & Housing Admin",SHELTERADMIN,,15
"Social Development, Finance & Admin",SOCIALDEV,,13
Solid Waste Management Services,SOLIDWASTE,,13
Theatres,THEATRES,,9
Toronto Atmospheric Fund,ATMOSPHERE,,6
Toronto Buildings,BUILDINGS,,13
Toronto Employment & Social Services,SOCIALSERV,,14
Toronto Parking Authority,PARKING,,7
Toronto Police Service,POLICE,,11
Toronto Police Services Board,POLICEBOARD,,6
Toronto Public Health,PUBLICHEALTH,,14
Toronto Public Library,LIBRARY,,13
Toronto Region Conservation Authority,REGIONCONSERV,,9
Toronto Transit Commission - Wheel Trans,TTCWHEEL,,5
Toronto Transit Commission-Conventional,TTCCONV,,7
Toronto Water,WATER,,11
Toronto Zoo,ZOO,,10
Transportation Services,TRANSPORTATION,,13
Yonge-Dundas Square,YONGEDUNDAS,,8
