_COLUMNS_,"Category:NAME,Category:CODE,Note:DESCRIPTION,Count:VALUE",,
311 Business Processing,311 Business Processing,,1
311 Information/ Content Management,311 Information/ Content Management,,3
311 PMO,311 PMO,,4
3rd Party Application Review & Acceptance,3rd Party Application Review & Acceptance,,6
AM-City Emergency & Major Event Mass Casualty Care,AM-City Emergency & Major Event Mass Casualty Care,,8
ASD-Accounts Payable Processing,ASD-Accounts Payable Processing,,6
ASD-Accounts Receivable Processing,ASD-Accounts Receivable Processing,,3
ASD-Corporate Banking,ASD-Corporate Banking,,6
ASD-Financial & System Control,ASD-Financial & System Control,,6
ASD-Financial Statement Preparation,ASD-Financial Statement Preparation,,5
ASD-Management Reporting,ASD-Management Reporting,,6
ASD-PCard Processing,ASD-PCard Processing,,3
ASD-Provincial & Federal Reports Submission,ASD-Provincial & Federal Reports Submission,,4
ASD-SAP Financial Systems Training,ASD-SAP Financial Systems Training,,3
ASD-SAP Solution Delivery,ASD-SAP Solution Delivery,,1
ASD-SAP User Support,ASD-SAP User Support,,4
ASD-Tax Advisory & Policy,ASD-Tax Advisory & Policy,,4
Accountability Processes,Accountability Processes,,3
Adult Day Program,Adult Day Program,,4
Advertising / Corporate Identity Management,Advertising / Corporate Identity Management,,4
Animal By-Law Enforcement,Animal By-Law Enforcement,,6
Animal Mobile Response,Animal Mobile Response,,7
Animal Sheltering & Adoption,Animal Sheltering & Adoption,,7
Arts Programming,Arts Programming,,6
Audit Reporting,Audit Reporting,,4
Authoritative Data Custodianship,Authoritative Data Custodianship,,5
BIA Support & Governance,BIA Support & Governance,,6
Beach Access,Beach Access,,7
Bridge Condition Assessment,Bridge Condition Assessment,,6
Budget Planning & coordination,Budget Planning & coordination,,4
Building Information,Building Information,,7
Building Inspections,Building Inspections,,7
Building Investigations,Building Investigations,,7
Building Permits,Building Permits,,7
Business & Trade Licensing,Business & Trade Licensing,,7
Business Permitting,Business Permitting,,7
Business Retention & Expansion,Business Retention & Expansion,,7
Business Risk & Consulting,Business Risk & Consulting,,3
By-law Enforcement,By-law Enforcement,,6
CPF-Advisory & Negotiation,CPF-Advisory & Negotiation,,5
CPF-Claims Management,CPF-Claims Management,,7
CPF-Debt Management,CPF-Debt Management,,6
CPF-Financial & Business Analysis,CPF-Financial & Business Analysis,,5
CPF-Financial Policy Development,CPF-Financial Policy Development,,5
CPF-Insurance & Risk Management,CPF-Insurance & Risk Management,,7
CPF-Investment Management,CPF-Investment Management,,6
Campaign Based Fire Education,Campaign Based Fire Education,,6
Cat & Dog Licensing,Cat & Dog Licensing,,7
"Chemical, Biological, Radiological, Nuclear & Exposive Resp.","Chemical, Biological, Radiological, Nuclear & Exposive Resp.",,4
Citizen First Response Education,Citizen First Response Education,,7
City Manager,City Manager,,6
