_COLUMNS_,"Category:NAME,Category:CODE,Note:DESCRIPTION,Count:VALUE",,
311 Performance Reporting,311 Performance Reporting,,3
311 Service Delivery,311 Service Delivery,,5
AM-Community Paramedicine & Emergency Call Mitigation,AM-Community Paramedicine & Emergency Call Mitigation,,14
AM-Emergency Medical Care,AM-Emergency Medical Care,,24
ASD-Financial Reporting & Control,ASD-Financial Reporting & Control,,21
ASD-Payment Processing,ASD-Payment Processing,,18
ASD-SAP Governance,ASD-SAP Governance,,1
ASD-Tax & Financial System Support,ASD-Tax & Financial System Support,,11
BL-Building Compliance,BL-Building Compliance,,21
BL-Building Permission & Information,BL-Building Permission & Information,,21
Bike Share,Bike Share,,1
CA-Environment & Energy,CA-Environment & Energy,,24
CA-Facilities Management,CA-Facilities Management,,18
CA-Real Estate,CA-Real Estate,,25
CD-Community & Neighbourhood Development,CD-Community & Neighbourhood Development,,22
CD-Community Partnership Investment Program,CD-Community Partnership Investment Program,,2
CD-Financial Management & Program Support,CD-Financial Management & Program Support,,22
CD-Social Policy & Planning,CD-Social Policy & Planning,,13
CD-Toronto Office of Partnerships,CD-Toronto Office of Partnerships,,9
"CM-Equity, Diversity & Human Rights","CM-Equity, Diversity & Human Rights",,13
CM-Executive Management,CM-Executive Management,,18
CM-Internal Auditing,CM-Internal Auditing,,7
CM-Strategic & Corporate Policy,CM-Strategic & Corporate Policy,,10
CM-Strategic Communications,CM-Strategic Communications,,18
"CPF-Financial Strategies, Analysis & Policy Development","CPF-Financial Strategies, Analysis & Policy Development",,15
CPF-Investment & Debt Management,CPF-Investment & Debt Management,,12
CPF-Risk Management & Insurance,CPF-Risk Management & Insurance,,14
CT-Provincial Offences/Licencing Tribunal Dispute Resolution,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,,14
Child Care Delivery,Child Care Delivery,,7
Child Care System Management,Child Care System Management,,7
Chronic Diseases & Injuries,Chronic Diseases & Injuries,,7
City Building & Policy Development,City Building & Policy Development,,7
Civil Litigation,Civil Litigation,,5
Community Ice & Facility Booking,Community Ice & Facility Booking,,6
"Conventions, Conferences & Meetings","Conventions, Conferences & Meetings",,3
Corporate Accounts,Corporate Accounts,,14
Corporate Leadership,Corporate Leadership,,4
Corporate Leadership (DCM),Corporate Leadership (DCM),,5
Court Case Management,Court Case Management,,7
Default Fine Collection Management,Default Fine Collection Management,,7
"Development Review, Decision & Implementation","Development Review, Decision & Implementation",,7
EC-Business Services,EC-Business Services,,19
EC-Cultural Services,EC-Cultural Services,,28
EC-Economic Competitiveness Services,EC-Economic Competitiveness Services,,25
Emergency Medical Dispatch & Preliminary Care,Emergency Medical Dispatch & Preliminary Care,,7
Emergency Preparedness,Emergency Preparedness,,6
Environmental Health,Environmental Health,,7
Exhibition Place Asset Management,Exhibition Place Asset Management,,6
Exhibition Place Parking Access,Exhibition Place Parking Access,,3
Exhibitions & Events,Exhibitions & Events,,6
F&A-Executive Leadership,F&A-Executive Leadership,,4
F&A-Financial Management & Program Support,F&A-Financial Management & Program Support,,4
F&A-Organizational Management Consulting,F&A-Organizational Management Consulting,,3
FL-Fleet Management,FL-Fleet Management,,18
FL-Fuel Management,FL-Fuel Management,,11
FPD-Financial Planning & Management,FPD-Financial Planning & Management,,12
FPD-Financial Reporting & Control,FPD-Financial Reporting & Control,,4
FR-Disaster Response & Event Support,FR-Disaster Response & Event Support,,13
"FR-Fire Prevention, Inspection, & Enforcement","FR-Fire Prevention, Inspection, & Enforcement",,11
FR-Fire Safety Education,FR-Fire Safety Education,,11
Family Health,Family Health,,7
Fire Rescue & Emergency Response,Fire Rescue & Emergency Response,,6
GV-Elect Government,GV-Elect Government,,6
GV-Make Government Work,GV-Make Government Work,,17
GV-Open Government,GV-Open Government,,13
HA-Communtiy Based Long-Term Care,HA-Communtiy Based Long-Term Care,,14
HR Employee & Labour Relations,HR Employee & Labour Relations,,6
HR Employment Services,HR Employment Services,,6
HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,,5
HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,,6
HS-Homeless and Housing First Solutions,HS-Homeless and Housing First Solutions,,14
HS-Social Housing System Management,HS-Social Housing System Management,,28
Heritage Fundraising & Partnership Development,Heritage Fundraising & Partnership Development,,3
Heritage Promotion & Education,Heritage Promotion & Education,,4
Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,,6
Housing Policy & Partnerships,Housing Policy & Partnerships,,6
IT-Business IT Solutions,IT-Business IT Solutions,,22
IT-Computer & Communications Technology Infrastructure,IT-Computer & Communications Technology Infrastructure,,14
IT-Enterprise IT Planning & Client Services,IT-Enterprise IT Planning & Client Services,,17
Infectious Diseases,Infectious Diseases,,6
Library Collections Access & Borrowing,Library Collections Access & Borrowing,,6
Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,,6
"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",,6
Long Term Care Homes,Long Term Care Homes,,7
"MS-Animal Care, Control & Sheltering","MS-Animal Care, Control & Sheltering",,28
"MS-Business Licensing, Enforcement, & Permitting","MS-Business Licensing, Enforcement, & Permitting",,27
MS-By-Law Enforcement,MS-By-Law Enforcement,,24
"MS-Property Standards, Inspection & Compliance","MS-Property Standards, Inspection & Compliance",,24
New Affordable Housing Development,New Affordable Housing Development,,6
Off-Street Parking,Off-Street Parking,,5
On-Street Parking,On-Street Parking,,5
Organizational Effectiveness,Organizational Effectiveness,,5
PA-Emergency Management,PA-Emergency Management,,6
PA-Financial Management,PA-Financial Management,,8
PA-Program Support,PA-Program Support,,19
PMM-Materials Management Stores & Distribution,PMM-Materials Management Stores & Distribution,,6
PMM-Purchasing,PMM-Purchasing,,7
PPEB-Employee & Retiree Benefit & OMERS Pension Compensation,PPEB-Employee & Retiree Benefit & OMERS Pension Compensation,,21
PPEB-Non – OMERS Pension Plans,PPEB-Non – OMERS Pension Plans,,21
PPEB-Payroll,PPEB-Payroll,,21
PR-Community Recreation,PR-Community Recreation,,35
PR-Parks,PR-Parks,,47
PR-Urban Forestry,PR-Urban Forestry,,28
Prosecution,Prosecution,,6
Public Health Foundations,Public Health Foundations,,7
RS-Parking Ticket,RS-Parking Ticket,,6
RS-Property Tax Billing,RS-Property Tax Billing,,25
RS-Revenue Accounting & Collection,RS-Revenue Accounting & Collection,,27
"RS-Tax, Utility & Parking Ticket Client Services","RS-Tax, Utility & Parking Ticket Client Services",,15
RS-Utility Billing,RS-Utility Billing,,15
SS-Employment Services,SS-Employment Services,,13
SS-Financial Supports,SS-Financial Supports,,7
SS-Integrated Case Management and Service Planning,SS-Integrated Case Management and Service Planning,,12
SW-City Beautification,SW-City Beautification,,28
SW-Residual Management,SW-Residual Management,,21
SW-Solid Waste Collection & Transfer,SW-Solid Waste Collection & Transfer,,42
SW-Solid Waste Education & Enforcement,SW-Solid Waste Education & Enforcement,,20
SW-Solid Waste Processing & Transport,SW-Solid Waste Processing & Transport,,42
Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,,6
Solicitor,Solicitor,,6
Special Levy for Scarborough Subway,Special Levy for Scarborough Subway,,1
Special Levy for Scarborough Subway (Reserve Contribution),Special Levy for Scarborough Subway (Reserve Contribution),,
TO-311 Development,TO-311 Development,,4
TO-311 Information & Business Processing,TO-311 Information & Business Processing,,4
TP-Permits & Applications,TP-Permits & Applications,,28
TP-Road & Sidewalk Management,TP-Road & Sidewalk Management,,41
TP-Transportation Safety & Operations,TP-Transportation Safety & Operations,,28
TW-Stormwater Management,TW-Stormwater Management,,14
TW-Wastewater Collection & Treatment,TW-Wastewater Collection & Treatment,,14
TW-Water Treatment & Supply,TW-Water Treatment & Supply,,14
Theatrical & Other Cultural Events,Theatrical & Other Cultural Events,,7
Toronto Police Service Governance & Oversight,Toronto Police Service Governance & Oversight,,6
Toronto Transit Commission - Conventional Service,Toronto Transit Commission - Conventional Service,,6
Toronto Transit Commission - Wheel-Trans Service,Toronto Transit Commission - Wheel-Trans Service,,4
WT-Engineering Information,WT-Engineering Information,,12
WT-Engineering Review & Acceptance,WT-Engineering Review & Acceptance,,12
WT-Municipal Infrastructure Construction,WT-Municipal Infrastructure Construction,,12
Yd-Public Square And Event Venue,Yd-Public Square And Event Venue,,5
Zoo Conservation & Science,Zoo Conservation & Science,,5
Zoo Fundraising & Strategic Partnerships,Zoo Fundraising & Strategic Partnerships,,5
Zoo Visitor Services,Zoo Visitor Services,,5
