_META_START_,,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OuS281Y1BSOVZLLUE,,,,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuV0w1UXpZSVVSdE0,,,,,
SOURCE_DOCUMENT_TITLE,Budget - Operating Budget Program Summary by Expenditure Category,,,,,
SOURCE_DOCUMENT_TABLE_LOCATION,Data Download,,,,,
SOURCE_DOCUMENT_TABLE_TITLE,Preliminary Operating Budget Summary 2016,,,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OubVFxZkdqelZpWlk,,,,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,,,,
YEAR,2015,,,,,
VERSION,PBFT,,,,,
ASPECT,Expenses,,,,,
NOTES_CONTENT,,,,,,
NOTES_SEVERITY,,,,,,
UNITS_NAME,DOLLAR,,,,,
UNITS_MULTIPLIER,0.001,,,,,
INTAKE_DATETIME,,,,,,
INTAKE_OPERATOR_ID,Henrik,,,,,
COLUMNS_CATEGORIES,"Program:NAME, Service:NAME, Activity:NAME, Expense:CODE, Expense:NAME",,,,,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE",,,,,
_META_END_,,,,,,
311 Toronto,311 Performance Reporting,,100A,Salaries And Benefits,240032,
311 Toronto,311 Performance Reporting,,200A,Materials & Supplies,20,
311 Toronto,311 Performance Reporting,,400A,Service And Rent,37,
311 Toronto,311 Service Delivery,,100A,Salaries And Benefits,10903058,
311 Toronto,311 Service Delivery,,200A,Materials & Supplies,8229,
311 Toronto,311 Service Delivery,,300A,Equipment,25357,
311 Toronto,311 Service Delivery,,400A,Service And Rent,1621425,
311 Toronto,311 Service Delivery,,700A,Inter-Divisional Charges,194277,
311 Toronto,TO-311 Development,311 PMO,100A,Salaries And Benefits,2922847,
311 Toronto,TO-311 Development,311 PMO,200A,Materials & Supplies,1239,
311 Toronto,TO-311 Development,311 PMO,400A,Service And Rent,10455,
311 Toronto,TO-311 Development,311 PMO,510A,Contribution To Reserves/Reserve Funds,25905,
311 Toronto,TO-311 Information & Business Processing,311 Business Processing,100A,Salaries And Benefits,440114,
311 Toronto,TO-311 Information & Business Processing,311 Information/ Content Management,100A,Salaries And Benefits,906748,
311 Toronto,TO-311 Information & Business Processing,311 Information/ Content Management,200A,Materials & Supplies,100,
311 Toronto,TO-311 Information & Business Processing,311 Information/ Content Management,400A,Service And Rent,794,
Affordable Housing Office,Housing Improvement Loans & Grants,,100A,Salaries And Benefits,719130,
Affordable Housing Office,Housing Improvement Loans & Grants,,200A,Materials & Supplies,3848,
Affordable Housing Office,Housing Improvement Loans & Grants,,300A,Equipment,834,
Affordable Housing Office,Housing Improvement Loans & Grants,,400A,Service And Rent,55559,
Affordable Housing Office,Housing Improvement Loans & Grants,,510A,Contribution To Reserves/Reserve Funds,1881,
Affordable Housing Office,Housing Improvement Loans & Grants,,700A,Inter-Divisional Charges,162884,
Affordable Housing Office,Housing Policy & Partnerships,,100A,Salaries And Benefits,718913,
Affordable Housing Office,Housing Policy & Partnerships,,200A,Materials & Supplies,3850,
Affordable Housing Office,Housing Policy & Partnerships,,300A,Equipment,833,
Affordable Housing Office,Housing Policy & Partnerships,,400A,Service And Rent,55562,
