_META_START_,,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OuS281Y1BSOVZLLUE,,,,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuM0VvWDZnRDRVcGc,,,,,
SOURCE_DOCUMENT_TITLE,Budget - Operating Budget Program Summary by Expenditure Category,,,,,
SOURCE_DOCUMENT_TABLE_LOCATION,Data Download,,,,,
SOURCE_DOCUMENT_TABLE_TITLE,Preliminary Operating Budget Summary 2016,,,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuekZYSFhXRTRSNTA,,,,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,,,,
YEAR,2015,,,,,
VERSION,PBFT,,,,,
ASPECT,Revenues,,,,,
NOTES_CONTENT,,,,,,
NOTES_SEVERITY,,,,,,
UNITS_NAME,DOLLAR,,,,,
UNITS_MULTIPLIER,0.001,,,,,
INTAKE_DATETIME,,,,,,
INTAKE_OPERATOR_ID,Henrik,,,,,
COLUMNS_CATEGORIES,"Program:NAME, Service:NAME, Activity:NAME, Revenue:CODE, Revenue:NAME",,,,,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE",,,,,
_META_END_,,,,,,
311 Toronto,311 Service Delivery,,750A,Inter-Divisional Recoveries,5693589,
311 Toronto,TO-311 Development,311 PMO,920A,Transfers From Capital,2624870,
Affordable Housing Office,Housing Improvement Loans & Grants,,805A,Provincial Subsidies,382806,
Affordable Housing Office,Housing Improvement Loans & Grants,,930A,Contribution From Reserves/Reserve Funds,166333,
Affordable Housing Office,Housing Policy & Partnerships,,805A,Provincial Subsidies,383833,
Affordable Housing Office,Housing Policy & Partnerships,,930A,Contribution From Reserves/Reserve Funds,166333,
Affordable Housing Office,New Affordable Housing Development,,750A,Inter-Divisional Recoveries,128520,
Affordable Housing Office,New Affordable Housing Development,,805A,Provincial Subsidies,382806,
Affordable Housing Office,New Affordable Housing Development,,930A,Contribution From Reserves/Reserve Funds,166333,
Arena Boards of Management,Community Ice & Facility Booking,,850A,User Fees & Donations,7658122,
Arena Boards of Management,Community Ice & Facility Booking,,940A,Sundry and Other Revenues,993598,
Association of Community Centres,Social Economic & Neighbourhood Development,,850A,User Fees & Donations,271930,
