311 Toronto,Permanent,126
311 Toronto,Temporary,41.3
Affordable Housing Office,Permanent,15
Affordable Housing Office,Temporary,4
Arena Boards of Management,Permanent,44.3
Arena Boards of Management,Temporary,22.2
Association of Community Centres,Permanent,77.9
Association of Community Centres,Temporary,
Auditor General's Office,Permanent,29.5
Auditor General's Office,Temporary,
Children's Services,Permanent,917.6
Children's Services,Temporary,65
City Clerk's Office,Permanent,396.3
City Clerk's Office,Temporary,19.1
City Council,Permanent,44
City Council,Temporary,132
City Manager's Office,Permanent,414.5
City Manager's Office,Temporary,31
City Planning,Permanent,351
City Planning,Temporary,22
Court Services,Permanent,282
Court Services,Temporary,
Economic Development & Culture,Permanent,240
Economic Development & Culture,Temporary,69.6
Engineering & Construction Services,Permanent,526
Engineering & Construction Services,Temporary,14.1
Exhibition Place,Permanent,190
Exhibition Place,Temporary,194
"Facilities, Real Estate, Environment & Energy",Permanent,953.2
"Facilities, Real Estate, Environment & Energy",Temporary,63.1
Fire Services,Permanent,3148
Fire Services,Temporary,8.3
Fleet Services,Permanent,175
Fleet Services,Temporary,1
Heritage Toronto,Permanent,7
Heritage Toronto,Temporary,
Information & Technology,Permanent,618
Information & Technology,Temporary,220
Integrity Commissioner's Office,Permanent,3
Integrity Commissioner's Office,Temporary,
Legal Services,Permanent,269
Legal Services,Temporary,32.4
Long Term Care Homes & Services,Permanent,2225.9
Long Term Care Homes & Services,Temporary,
Mayor's Office,Permanent,1
Mayor's Office,Temporary,19
Municipal Licensing & Standards,Permanent,459
Municipal Licensing & Standards,Temporary,1
Office of the Chief Financial Officer,Permanent,103
Office of the Chief Financial Officer,Temporary,12
Office of the Lobbyist Registrar,Permanent,8
Office of the Lobbyist Registrar,Temporary,0.3
Office of the Ombudsman,Permanent,12
Office of the Ombudsman,Temporary,
Office of the Treasurer,Permanent,663
Office of the Treasurer,Temporary,72
Parking Tag Enforcement & Operations,Permanent,394
Parking Tag Enforcement & Operations,Temporary,
"Parks, Forestry & Recreation",Permanent,1937
"Parks, Forestry & Recreation",Temporary,2560.1
"Policy, Planning, Finance & Administration",Permanent,189
"Policy, Planning, Finance & Administration",Temporary,7.4
"Shelter, Support & Housing Administration",Permanent,615
"Shelter, Support & Housing Administration",Temporary,142.3
"Social Development, Finance & Administration",Permanent,121.5
"Social Development, Finance & Administration",Temporary,9
Solid Waste Management Services,Permanent,994.9
Solid Waste Management Services,Temporary,114.2
Theatres,Permanent,87.1
Theatres,Temporary,76
Toronto & Region Conservation Authority,Permanent,334
Toronto & Region Conservation Authority,Temporary,85.6
Toronto Atmospheric Fund,Permanent,8
Toronto Atmospheric Fund,Temporary,
Toronto Building,Permanent,436
Toronto Building,Temporary,12
Toronto Employment & Social Services,Permanent,2009
Toronto Employment & Social Services,Temporary,82
Toronto Paramedic Services,Permanent,1378.8
Toronto Paramedic Services,Temporary,15.5
Toronto Parking Authority,Permanent,246.1
Toronto Parking Authority,Temporary,53.3
Toronto Police Service,Permanent,7883
Toronto Police Service,Temporary,
Toronto Police Services Board,Permanent,7
Toronto Police Services Board,Temporary,
Toronto Public Health,Permanent,1818
Toronto Public Health,Temporary,57.3
Toronto Public Library,Permanent,1739.9
Toronto Public Library,Temporary,
Toronto Transit Commission - Conventional,Permanent,13612
Toronto Transit Commission - Conventional,Temporary,100
Toronto Transit Commission - Wheel Trans,Permanent,562
Toronto Transit Commission - Wheel Trans,Temporary,
Toronto Water,Permanent,1649
Toronto Water,Temporary,112.7
Toronto Zoo,Permanent,277.7
Toronto Zoo,Temporary,124.8
Transportation Services,Permanent,1068.6
Transportation Services,Temporary,44.7
Yonge-Dundas Square,Permanent,6
Yonge-Dundas Square,Temporary,0.5
