_META_START_,,,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,,,,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8Oub1NCX3ZldEI3Nmc,,,,,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuNmZiYk41TjJkQWM,,,,,,
SOURCE_DOCUMENT_TITLE,2017 Estimated Operating Staff Positions by Status,,,,,,
SOURCE_DOCUMENT_TABLE_LOCATION,,,,,,,
SOURCE_DOCUMENT_TABLE_TITLE,,,,,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuTm5YTV94czVXbzg,,,,,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,,,,,
YEAR,2017,,,,,,
VERSION,Detailed,,,,,,
ASPECT,Staffing,,,,,,
NOTES_CONTENT,Rate supported total amounts were taken from 2016 gfoa per department; permanent and temp were calculated based on prior year ratios,,,,,,
NOTES_SEVERITY,,,,,,,
UNITS_NAME,Full Time Equivalent,,,,,,
UNITS_CODE,FTE,,,,,,
UNITS_MULTIPLIER,1,,,,,,
TOTAL_AMOUNT,51339.94999999999,,,,,,
INTAKE_DATETIME,2017-05-07-16-00-39,,,,,,
INTAKE_OPERATOR_ID,Henrik,,,,,,
COLUMNS_CATEGORIES,"Program:CODE,Program:NAME,Permanence:CODE,Permanence:NAME",,,,,,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE,Allocations:DESCRIPTION",,,,,,
_META_END_,,,,,,,
311SERVICE,311 Toronto,TEMP,Temporary,14.22,,,
AFFHOUSING,Affordable Housing Office,TEMP,Temporary,,,,
AFFHOUSING,Affordable Housing Office,PERM,Permanent,23,,,
ARENAS,Arena Boards of Management,TEMP,Temporary,24.7,,,
ARENAS,Arena Boards of Management,PERM,Permanent,43,,,
AUDITGEN,Auditor General's Office,TEMP,Temporary,,,,
AUDITGEN,Auditor General's Office,PERM,Permanent,32,,,
BUILDINGS,Toronto Building,TEMP,Temporary,7,,,
BUILDINGS,Toronto Building,PERM,Permanent,460,,,
CFO,Office of the Chief Financial Officer,TEMP,Temporary,1,,,
CFO,Office of the Chief Financial Officer,PERM,Permanent,104,,,
CHILDSERV,Children's Services,TEMP,Temporary,33.86,,,
CHILDSERV,Children's Services,PERM,Permanent,939.64,,,
CITYMANAGER,City Manager's Office,TEMP,Temporary,13.82,,,
CITYMANAGER,City Manager's Office,PERM,Permanent,398.18,,,
CLERK,City Clerk's Office,TEMP,Temporary,7.91,,,
CLERK,City Clerk's Office,PERM,Permanent,378.39,,,
COMMCENTRES,Association of Community Centres,TEMP,Temporary,,,,
COMMCENTRES,Association of Community Centres,PERM,Permanent,77.9,,,
CORPEXPENDITURES,Non-Program Expenditures,TEMP,Temporary,,,,
CORPEXPENDITURES,Non-Program Expenditures,PERM,Permanent,3,,,
COUNCIL,City Council,TEMP,Temporary,136,,,
COUNCIL,City Council,PERM,Permanent,44,,,
COURTSERV,Court Services,TEMP,Temporary,,,,
COURTSERV,Court Services,PERM,Permanent,252,,,
ECONDEV,Economic Development & Culture,TEMP,Temporary,56.5,,,
ECONDEV,Economic Development & Culture,PERM,Permanent,228,,,
ENGINEERING,Engineering & Construction Services,TEMP,Temporary,8.23,,,
ENGINEERING,Engineering & Construction Services,PERM,Permanent,120.67,,,
EXHIBPLACE,Exhibition Place,TEMP,Temporary,239,,,
EXHIBPLACE,Exhibition Place,PERM,Permanent,115,,,
FACILITIES,"Facilities, Real Estate, Environment & Energy",TEMP,Temporary,39.88,,,
FACILITIES,"Facilities, Real Estate, Environment & Energy",PERM,Permanent,883.12,,,
FIRE,Fire Services,TEMP,Temporary,1.67,,,
FIRE,Fire Services,PERM,Permanent,3173.63,,,
FLEET,Fleet Services,TEMP,Temporary,14,,,
FLEET,Fleet Services,PERM,Permanent,164,,,
HERITAGE,Heritage Toronto,TEMP,Temporary,,,,
HERITAGE,Heritage Toronto,PERM,Permanent,7,,,
INTEGRITYCOMM,Integrity Commissioner's Office,TEMP,Temporary,,,,
INTEGRITYCOMM,Integrity Commissioner's Office,PERM,Permanent,3,,,
IT,Information & Technology,TEMP,Temporary,2.8,,,
IT,Information & Technology,PERM,Permanent,625.2,,,
LEGAL,Legal Services,TEMP,Temporary,13.69,,,
LEGAL,Legal Services,PERM,Permanent,342.71,,,
LIBRARY,Toronto Public Library,TEMP,Temporary,,,,
LIBRARY,Toronto Public Library,PERM,Permanent,1734.3,,,
LICENCING,Municipal Licensing & Standards,TEMP,Temporary,4.5,,,
