_META_START_,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OuYmtWZkFSbk50dGM,,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuM0VvWDZnRDRVcGc,,,
SOURCE_DOCUMENT_TITLE,Budget - Operating Budget Program Summary by Expenditure Category,,,
SOURCE_DOCUMENT_TABLE_LOCATION,Data Download,,,
SOURCE_DOCUMENT_TABLE_TITLE,Recommended Operating Budget Summary 2013-2014,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuME1KWG9GR2pyUzQ,,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,,
YEAR,2013,,,
VERSION,PBFT,,,
ASPECT,Revenues,,,
NOTES_CONTENT,,,,
NOTES_SEVERITY,,,,
UNITS_NAME,Dollar,,,
UNITS_CODE,DOLLAR,,,
UNITS_MULTIPLIER,1,,,
TOTAL_AMOUNT,10895172470,,,
INTAKE_DATETIME,2016-10-28-22-50-33,,,
INTAKE_OPERATOR_ID,Henrik,,,
COLUMNS_CATEGORIES,"Program:CODE,Program:NAME,Revenue:CODE, Revenue:NAME",,,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE,Allocations:DESCRIPTION",,,
_META_END_,,,,
311SERVICE,311 Toronto,750A,Inter-Divisional Recoveries,5046320
311SERVICE,311 Toronto,920A,Transfers From Capital,3326187
311SERVICE,311 Toronto,930A,Contribution From Reserves/Reserve Funds,133800
311SERVICE,311 Toronto,940A,Sundry and Other Revenues,5252
AFFHOUSING,Affordable Housing Office,750A,Inter-Divisional Recoveries,120835
AFFHOUSING,Affordable Housing Office,805A,Provincial Subsidies,1026700
AFFHOUSING,Affordable Housing Office,930A,Contribution From Reserves/Reserve Funds,339741
ARENAS,Arena Boards of Management,850A,User Fees & Donations,6173566
ARENAS,Arena Boards of Management,930A,Contribution From Reserves/Reserve Funds,51658
ARENAS,Arena Boards of Management,940A,Sundry and Other Revenues,1091214
COMMCENTRES,Association of Community Centres,850A,User Fees & Donations,270700
COMMCENTRES,Association of Community Centres,930A,Contribution From Reserves/Reserve Funds,158618
COMMCENTRES,Association of Community Centres,940A,Sundry and Other Revenues,1500
CHILDSERV,Children's Services,750A,Inter-Divisional Recoveries,10200000
CHILDSERV,Children's Services,805A,Provincial Subsidies,279722600
CHILDSERV,Children's Services,850A,User Fees & Donations,17954500
CHILDSERV,Children's Services,920A,Transfers From Capital,1014000
CHILDSERV,Children's Services,930A,Contribution From Reserves/Reserve Funds,16727936
CLERK,City Clerk's Office,750A,Inter-Divisional Recoveries,9358163
CLERK,City Clerk's Office,850A,User Fees & Donations,625295
CLERK,City Clerk's Office,920A,Transfers From Capital,988750
CLERK,City Clerk's Office,930A,Contribution From Reserves/Reserve Funds,4397115
CLERK,City Clerk's Office,940A,Sundry and Other Revenues,850776
CITYMANAGER,City Manager's Office,750A,Inter-Divisional Recoveries,3719719
CITYMANAGER,City Manager's Office,820A,Other Subsidies,0
CITYMANAGER,City Manager's Office,850A,User Fees & Donations,15900
CITYMANAGER,City Manager's Office,920A,Transfers From Capital,3980873
CITYMANAGER,City Manager's Office,930A,Contribution From Reserves/Reserve Funds,17850
CITYMANAGER,City Manager's Office,940A,Sundry and Other Revenues,270055
PLANNING,City Planning,850A,User Fees & Donations,21500688
PLANNING,City Planning,920A,Transfers From Capital,2336911
PLANNING,City Planning,930A,Contribution From Reserves/Reserve Funds,1237332
