_META_START_,,,,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,,,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OudFF0bGVRMVZ4dTA,,,,,,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuTF9vOFRVVHl3Z2M,,,,,,,
SOURCE_DOCUMENT_TITLE,Budget - Operating Budget Program Summary by Expenditure Category,,,,,,,
SOURCE_DOCUMENT_TABLE_LOCATION,Data Download,,,,,,,
SOURCE_DOCUMENT_TABLE_TITLE,Approved Operating Budget Summary 2017,,,,,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuX3ZrN3F5SDJJREk,,,,,,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,,,,,,
YEAR,2017,,,,,,,
VERSION,PBFT,,,,,,,
ASPECT,Expenses,,,,,,,
NOTES_CONTENT,,,,,,,,
NOTES_SEVERITY,,,,,,,,
UNITS_NAME,Dollar,,,,,,,
UNITS_CODE,DOLLAR,,,,,,,
UNITS_MULTIPLIER,1,,,,,,,
TOTAL_AMOUNT,12401686209,,,,,,,
INTAKE_DATETIME,2017-04-25-16-57-00,,,,,,,
INTAKE_OPERATOR_ID,Henrik,,,,,,,
COLUMNS_CATEGORIES,"Program:CODE,Program:NAME,Service:CODE, Service:NAME,Activity:CODE, Activity:NAME,Expense:CODE, Expense:NAME",,,,,,,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE",,,,,,,
_META_END_,,,,,,,,
311SERVICE,311 Toronto,311 Performance Reporting,311 Performance Reporting,,,400A,Service And Rent,37
311SERVICE,311 Toronto,311 Performance Reporting,311 Performance Reporting,,,100A,Salaries And Benefits,222718
311SERVICE,311 Toronto,311 Service Delivery,311 Service Delivery,,,200A,Materials & Supplies,11410
311SERVICE,311 Toronto,311 Service Delivery,311 Service Delivery,,,300A,Equipment,25300
311SERVICE,311 Toronto,311 Service Delivery,311 Service Delivery,,,700A,Inter-Divisional Charges,195322
311SERVICE,311 Toronto,311 Service Delivery,311 Service Delivery,,,400A,Service And Rent,1399048
311SERVICE,311 Toronto,311 Service Delivery,311 Service Delivery,,,100A,Salaries And Benefits,12588209
