_META_START_,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8Oub1NCX3ZldEI3Nmc,,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuNmZiYk41TjJkQWM,,,
SOURCE_DOCUMENT_TITLE,2017 Estimated Operating Staff Positions by Status,,,
SOURCE_DOCUMENT_TABLE_LOCATION,,,,
SOURCE_DOCUMENT_TABLE_TITLE,,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuTm5YTV94czVXbzg,,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,,
YEAR,2017,,,
VERSION,Detailed,,,
ASPECT,Staffing,,,
NOTES_CONTENT,Rate supported total amounts were taken from 2016 gfoa per department; permanent and temp were calculated based on prior year ratios,,,
NOTES_SEVERITY,,,,
UNITS_NAME,Full Time Equivalent,,,
UNITS_CODE,FTE,,,
UNITS_MULTIPLIER,1,,,
TOTAL_AMOUNT,51339.94999999999,,,
INTAKE_DATETIME,2017-05-07-16-00-39,,,
INTAKE_OPERATOR_ID,Henrik,,,
COLUMNS_CATEGORIES,"Program:CODE,Program:NAME,Permanence:CODE,Permanence:NAME",,,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE",,,
_META_END_,,,,
AFFHOUSING,Affordable Housing Office,TEMP,Temporary,0
CHILDSERV,Children's Services,TEMP,Temporary,33.86
COURTSERV,Court Services,TEMP,Temporary,0
ECONDEV,Economic Development & Culture,TEMP,Temporary,56.5
PARAMEDIC,Toronto Paramedic Services,TEMP,Temporary,3.19
LONGTERMHOME,Long Term Care Homes & Services,TEMP,Temporary,0
PARKS,"Parks, Forestry & Recreation",TEMP,Temporary,2421.58
SHELTERADMIN,"Shelter, Support & Housing Administration",TEMP,Temporary,158.96
SOCIALDEV,"Social Development, Finance & Administration",TEMP,Temporary,15
SOCIALSERV,Toronto Employment & Social Services,TEMP,Temporary,45
PLANNING,City Planning,TEMP,Temporary,14.18
FIRE,Fire Services,TEMP,Temporary,1.67
LICENCING,Municipal Licensing & Standards,TEMP,Temporary,4.5
POLICYADMIN,"Policy, Planning, Finance & Administration",TEMP,Temporary,7.4
ENGINEERING,Engineering & Construction Services,TEMP,Temporary,8.23
BUILDINGS,Toronto Building,TEMP,Temporary,7
TRANSPORTATION,Transportation Services,TEMP,Temporary,51.09
CFO,Office of the Chief Financial Officer,TEMP,Temporary,1
TREASURER,Office of the Treasurer,TEMP,Temporary,12.52
FACILITIES,"Facilities, Real Estate, Environment & Energy",TEMP,Temporary,39.88
FLEET,Fleet Services,TEMP,Temporary,14
IT,Information & Technology,TEMP,Temporary,2.8
311SERVICE,311 Toronto,TEMP,Temporary,14.22
CITYMANAGER,City Manager's Office,TEMP,Temporary,13.82
CLERK,City Clerk's Office,TEMP,Temporary,7.91
LEGAL,Legal Services,TEMP,Temporary,13.69
MAYOR,Mayor's Office,TEMP,Temporary,19
COUNCIL,City Council,TEMP,Temporary,136
AUDITGEN,Auditor General's Office,TEMP,Temporary,0
LOBBYREG,Office of the Lobbyist Registrar,TEMP,Temporary,0.3
INTEGRITYCOMM,Integrity Commissioner's Office,TEMP,Temporary,0
OMBUDSMAN,Office of the Ombudsman,TEMP,Temporary,0
CORPACCOUNTS,Corporate Accounts,TEMP,Temporary,0
PUBLICHEALTH,Toronto Public Health,TEMP,Temporary,22.16
LIBRARY,Toronto Public Library,TEMP,Temporary,0
COMMCENTRES,Association of Community Centres,TEMP,Temporary,0
EXHIBPLACE,Exhibition Place,TEMP,Temporary,239
HERITAGE,Heritage Toronto,TEMP,Temporary,0
THEATRES,Theatres,TEMP,Temporary,94.3
ZOO,Toronto Zoo,TEMP,Temporary,115.2
ARENAS,Arena Boards of Management,TEMP,Temporary,24.7
YONGEDUNDAS,Yonge-Dundas Square,TEMP,Temporary,0.5
PARKINGTAGS,Parking Tag Enforcement & Operations,TEMP,Temporary,0
REGIONCONSERV,Toronto & Region Conservation Authority,TEMP,Temporary,0
TTCCONV,Toronto Transit Commission - Conventional,TEMP,Temporary,12.58
TTCWHEEL,Toronto Transit Commission - Wheel Trans,TEMP,Temporary,3
POLICE,Toronto Police Service,TEMP,Temporary,0
POLICEBOARD,Toronto Police Services Board,TEMP,Temporary,0
WATER,Toronto Water,TEMP,Temporary,96.7
SOLIDWASTE,Solid Waste Management Services,TEMP,Temporary,26
PARKING,Toronto Parking Authority,TEMP,Temporary,53
AFFHOUSING,Affordable Housing Office,PERM,Permanent,23
CHILDSERV,Children's Services,PERM,Permanent,939.64
COURTSERV,Court Services,PERM,Permanent,252
ECONDEV,Economic Development & Culture,PERM,Permanent,228
PARAMEDIC,Toronto Paramedic Services,PERM,Permanent,1442.61
LONGTERMHOME,Long Term Care Homes & Services,PERM,Permanent,2373.9
PARKS,"Parks, Forestry & Recreation",PERM,Permanent,1862.32
SHELTERADMIN,"Shelter, Support & Housing Administration",PERM,Permanent,611.14
SOCIALDEV,"Social Development, Finance & Administration",PERM,Permanent,133
SOCIALSERV,Toronto Employment & Social Services,PERM,Permanent,1967
PLANNING,City Planning,PERM,Permanent,362.32
FIRE,Fire Services,PERM,Permanent,3173.63
LICENCING,Municipal Licensing & Standards,PERM,Permanent,472
POLICYADMIN,"Policy, Planning, Finance & Administration",PERM,Permanent,182
ENGINEERING,Engineering & Construction Services,PERM,Permanent,120.67
BUILDINGS,Toronto Building,PERM,Permanent,460
TRANSPORTATION,Transportation Services,PERM,Permanent,960.01
CFO,Office of the Chief Financial Officer,PERM,Permanent,104
TREASURER,Office of the Treasurer,PERM,Permanent,633.68
FACILITIES,"Facilities, Real Estate, Environment & Energy",PERM,Permanent,883.12
FLEET,Fleet Services,PERM,Permanent,164
IT,Information & Technology,PERM,Permanent,625.2
311SERVICE,311 Toronto,PERM,Permanent,145.78
CITYMANAGER,City Manager's Office,PERM,Permanent,398.18
CLERK,City Clerk's Office,PERM,Permanent,378.39
LEGAL,Legal Services,PERM,Permanent,342.71
MAYOR,Mayor's Office,PERM,Permanent,1
COUNCIL,City Council,PERM,Permanent,44
AUDITGEN,Auditor General's Office,PERM,Permanent,32
LOBBYREG,Office of the Lobbyist Registrar,PERM,Permanent,8
INTEGRITYCOMM,Integrity Commissioner's Office,PERM,Permanent,3
OMBUDSMAN,Office of the Ombudsman,PERM,Permanent,12
CORPACCOUNTS,Corporate Accounts,PERM,Permanent,3
PUBLICHEALTH,Toronto Public Health,PERM,Permanent,1791.14
LIBRARY,Toronto Public Library,PERM,Permanent,1734.3
COMMCENTRES,Association of Community Centres,PERM,Permanent,77.9
EXHIBPLACE,Exhibition Place,PERM,Permanent,115
HERITAGE,Heritage Toronto,PERM,Permanent,7
THEATRES,Theatres,PERM,Permanent,93.4
ZOO,Toronto Zoo,PERM,Permanent,278.8
ARENAS,Arena Boards of Management,PERM,Permanent,43
YONGEDUNDAS,Yonge-Dundas Square,PERM,Permanent,6
PARKINGTAGS,Parking Tag Enforcement & Operations,PERM,Permanent,394
REGIONCONSERV,Toronto & Region Conservation Authority,PERM,Permanent,426.6
TTCCONV,Toronto Transit Commission - Conventional,PERM,Permanent,11785.42
TTCWHEEL,Toronto Transit Commission - Wheel Trans,PERM,Permanent,568
POLICE,Toronto Police Service,PERM,Permanent,7881
POLICEBOARD,Toronto Police Services Board,PERM,Permanent,7
WATER,Toronto Water,PERM,Permanent,1655.95
SOLIDWASTE,Solid Waste Management Services,PERM,Permanent,1087.7
PARKING,Toronto Parking Authority,PERM,Permanent,256
