_META_START_,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OuYmtWZkFSbk50dGM,,,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuV0w1UXpZSVVSdE0,,,,
SOURCE_DOCUMENT_TITLE,Budget - Operating Budget Program Summary by Expenditure Category,,,,
SOURCE_DOCUMENT_TABLE_LOCATION,Data Download,,,,
SOURCE_DOCUMENT_TABLE_TITLE,Recommended Operating Budget Summary 2013-2014,,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuaGpnUTdOQjNzaGM,,,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,,,
YEAR,2013,,,,
VERSION,PBFT,,,,
ASPECT,Expenses,,,,
NOTES_CONTENT,,,,,
NOTES_SEVERITY,,,,,
UNITS_NAME,Dollar,,,,
UNITS_CODE,DOLLAR,,,,
UNITS_MULTIPLIER,1,,,,
TOTAL_AMOUNT,10895154892,,,,
INTAKE_DATETIME,2016-10-28-22-50-33,,,,
INTAKE_OPERATOR_ID,Henrik,,,,
COLUMNS_CATEGORIES,"Program:CODE,Program:NAME, Expense:CODE, Expense:NAME",,,,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE",,,,
_META_END_,,,,,
311SERVICE,311 Toronto,100A,Salaries and Benefits,16838458,
311SERVICE,311 Toronto,200A,Materials and Supplies,21019,
311SERVICE,311 Toronto,300A,Equipment,19230,
311SERVICE,311 Toronto,400A,Service and Rent,1713457,
311SERVICE,311 Toronto,510A,Contribution to Reserves/Reserve Funds,22518,
311SERVICE,311 Toronto,700A,Inter-Divisional Charges,256857,
AFFHOUSING,Affordable Housing Office,100A,Salaries and Benefits,2181727,
AFFHOUSING,Affordable Housing Office,200A,Materials and Supplies,12712,
AFFHOUSING,Affordable Housing Office,300A,Equipment,2000,
AFFHOUSING,Affordable Housing Office,400A,Service and Rent,170742,
AFFHOUSING,Affordable Housing Office,510A,Contribution to Reserves/Reserve Funds,4703,
AFFHOUSING,Affordable Housing Office,700A,Inter-Divisional Charges,310254,
ARENAS,Arena Boards of Management,100A,Salaries and Benefits,4082722,
ARENAS,Arena Boards of Management,200A,Materials and Supplies,1832745,
ARENAS,Arena Boards of Management,300A,Equipment,130000,
ARENAS,Arena Boards of Management,400A,Service and Rent,905037,
ARENAS,Arena Boards of Management,505A,Contribution to Capital,165653,
ARENAS,Arena Boards of Management,510A,Contribution to Reserves/Reserve Funds,184547,
COMMCENTRES,Association of Community Centres,100A,Salaries and Benefits,6265108,
COMMCENTRES,Association of Community Centres,200A,Materials and Supplies,509303,
COMMCENTRES,Association of Community Centres,300A,Equipment,3236,
COMMCENTRES,Association of Community Centres,400A,Service and Rent,619986,
COMMCENTRES,Association of Community Centres,510A,Contribution to Reserves/Reserve Funds,22582,
COMMCENTRES,Association of Community Centres,650A,Other Expenditures,6700,
AUDITGEN,Auditor General's Office,100A,Salaries and Benefits,4036674,
AUDITGEN,Auditor General's Office,200A,Materials and Supplies,15455,
AUDITGEN,Auditor General's Office,300A,Equipment,7782,
AUDITGEN,Auditor General's Office,400A,Service and Rent,88656,
AUDITGEN,Auditor General's Office,510A,Contribution to Reserves/Reserve Funds,6841,
AUDITGEN,Auditor General's Office,700A,Inter-Divisional Charges,22272,
CHILDSERV,Children's Services,100A,Salaries and Benefits,76850567,
CHILDSERV,Children's Services,200A,Materials and Supplies,3160929,
CHILDSERV,Children's Services,300A,Equipment,698990,
CHILDSERV,Children's Services,400A,Service and Rent,316049433,
CHILDSERV,Children's Services,510A,Contribution to Reserves/Reserve Funds,1178949,
CHILDSERV,Children's Services,650A,Other Expenditures,1031200,
CHILDSERV,Children's Services,700A,Inter-Divisional Charges,3365438,
CLERK,City Clerk's Office,100A,Salaries and Benefits,36843896,
CLERK,City Clerk's Office,200A,Materials and Supplies,1288624,
CLERK,City Clerk's Office,300A,Equipment,135837,
CLERK,City Clerk's Office,400A,Service and Rent,7048137,
CLERK,City Clerk's Office,510A,Contribution to Reserves/Reserve Funds,451947,
CLERK,City Clerk's Office,650A,Other Expenditures,50917,
CLERK,City Clerk's Office,700A,Inter-Divisional Charges,1869854,
CITYMANAGER,City Manager's Office,100A,Salaries and Benefits,49044153,
CITYMANAGER,City Manager's Office,200A,Materials and Supplies,202816,
CITYMANAGER,City Manager's Office,300A,Equipment,77200,
CITYMANAGER,City Manager's Office,400A,Service and Rent,2975312,
CITYMANAGER,City Manager's Office,510A,Contribution to Reserves/Reserve Funds,83497,
CITYMANAGER,City Manager's Office,700A,Inter-Divisional Charges,431915,
PLANNING,City Planning,100A,Salaries and Benefits,36573285,
PLANNING,City Planning,200A,Materials and Supplies,187729,
PLANNING,City Planning,300A,Equipment,163544,
PLANNING,City Planning,400A,Service and Rent,2840954,
PLANNING,City Planning,510A,Contribution to Reserves/Reserve Funds,64117,
PLANNING,City Planning,650A,Other Expenditures,400700,
PLANNING,City Planning,700A,Inter-Divisional Charges,552925,
COUNCIL,City's Council,100A,Salaries and Benefits,18101495,
COUNCIL,City's Council,200A,Materials and Supplies,1199510,
COUNCIL,City's Council,300A,Equipment,37000,
COUNCIL,City's Council,400A,Service and Rent,376500,
COUNCIL,City's Council,510A,Contribution to Reserves/Reserve Funds,91630,
COUNCIL,City's Council,700A,Inter-Divisional Charges,181283,
COURTSERV,Court Services,100A,Salaries and Benefits,21567689,
COURTSERV,Court Services,200A,Materials and Supplies,179396,
COURTSERV,Court Services,300A,Equipment,71675,
COURTSERV,Court Services,400A,Service and Rent,10109856,
COURTSERV,Court Services,510A,Contribution to Reserves/Reserve Funds,70642,
COURTSERV,Court Services,650A,Other Expenditures,1989500,
