_META_START_,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OuVFYtdnVIcDJxTnc,,,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuM0VvWDZnRDRVcGc,,,,
SOURCE_DOCUMENT_TITLE,Budget - Operating Budget Program Summary by Expenditure Category,,,,
SOURCE_DOCUMENT_TABLE_LOCATION,Data Download,,,,
SOURCE_DOCUMENT_TABLE_TITLE,Approved Operating Budget Summary 2014,,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuXzFYbFVTc3BKU0U,,,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,,,
YEAR,2014,,,,
VERSION,PBFT,,,,
ASPECT,Revenues,,,,
NOTES_CONTENT,,,,,
NOTES_SEVERITY,,,,,
UNITS_NAME,Dollar,,,,
UNITS_CODE,DOLLAR,,,,
UNITS_MULTIPLIER,1,,,,
TOTAL_AMOUNT,11207754430,,,,
INTAKE_DATETIME,2016-10-28-22-50-33,,,,
INTAKE_OPERATOR_ID,Henrik,,,,
COLUMNS_CATEGORIES,"Program:CODE,Program:NAME,Revenue:CODE, Revenue:NAME",,,,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE",,,,
_META_END_,,,,,
311SERVICE,311 Toronto,750A,Inter-Divisional Recoveries,5046320,
311SERVICE,311 Toronto,920A,Transfers From Capital,2469287,
311SERVICE,311 Toronto,940A,Sundry and Other Revenues,0,
AFFHOUSING,Affordable Housing Office,750A,Inter-Divisional Recoveries,122653,
AFFHOUSING,Affordable Housing Office,805A,Provincial Subsidies,1026700,
AFFHOUSING,Affordable Housing Office,930A,Contribution From Reserves/Reserve Funds,399000,
