_META_START_,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OuNUMyYm43VmpWUWM,,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuaUJtdGpFb0lVWlE,,,
SOURCE_DOCUMENT_TITLE,CITY OF TORONTO 2015 COUNCIL APPROVED OPERATING BUDGET TOTAL OPERATING AND CAPITAL POSITIONS,,,
SOURCE_DOCUMENT_TABLE_LOCATION,p.2,,,
SOURCE_DOCUMENT_TABLE_TITLE,CITY OF TORONTO 2015 COUNCIL APPROVED OPERATING BUDGET OPERATING POSITIONS,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuMzE0QXpEa09FMmc,,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,,
YEAR,2015,,,
VERSION,Summary,,,
ASPECT,Staffing,,,
NOTES_CONTENT,,,,
NOTES_SEVERITY,,,,
UNITS_NAME,Full Time Equivalent,,,
UNITS_CODE,FTE,,,
UNITS_MULTIPLIER,1,,,
TOTAL_AMOUNT,50697.5,,,
INTAKE_DATETIME,2016-10-28-20-03-07,,,
INTAKE_OPERATOR_ID,Henrik,,,
COLUMNS_CATEGORIES,"Program:CODE,Program:NAME,Permanence:CODE,Permanence:NAME",,,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE",,,
_META_END_,,,,
311SERVICE,311 Toronto,PERM,Permanent,137
311SERVICE,311 Toronto,TEMP,Temporary,20
AFFHOUSING,Affordable Housing Office,PERM,Permanent,15
AFFHOUSING,Affordable Housing Office,TEMP,Temporary,4
ARENAS,Arena Boards of Management,PERM,Permanent,43.2
ARENAS,Arena Boards of Management,TEMP,Temporary,23.4
COMMCENTRES,Association of Community Centres,PERM,Permanent,77.9
COMMCENTRES,Association of Community Centres,TEMP,Temporary,0
AUDITGEN,Auditor General's Office,PERM,Permanent,29.5
AUDITGEN,Auditor General's Office,TEMP,Temporary,0
CHILDSERV,Children's Services,PERM,Permanent,729.9
CHILDSERV,Children's Services,TEMP,Temporary,237.7
CLERK,City Clerk's Office,PERM,Permanent,396.3
CLERK,City Clerk's Office,TEMP,Temporary,7.6
COUNCIL,City Council,PERM,Permanent,44
COUNCIL,City Council,TEMP,Temporary,132
CITYMANAGER,City Manager's Office,PERM,Permanent,415.5
CITYMANAGER,City Manager's Office,TEMP,Temporary,9
PLANNING,City Planning,PERM,Permanent,347
PLANNING,City Planning,TEMP,Temporary,13
COURTSERV,Court Services,PERM,Permanent,282
COURTSERV,Court Services,TEMP,Temporary,0
ECONDEV,Economic Development & Culture,PERM,Permanent,231
ECONDEV,Economic Development & Culture,TEMP,Temporary,69.6
ENGINEERING,Engineering & Construction Services,PERM,Permanent,127.5
ENGINEERING,Engineering & Construction Services,TEMP,Temporary,5.5
EXHIBPLACE,Exhibition Place,PERM,Permanent,379
EXHIBPLACE,Exhibition Place,TEMP,Temporary,11
FACILITIES,"Facilities, Real Estate, Environment & Energy",PERM,Permanent,891.2
FACILITIES,"Facilities, Real Estate, Environment & Energy",TEMP,Temporary,34.3
FIRE,Fire Services,PERM,Permanent,3149.5
FIRE,Fire Services,TEMP,Temporary,5.3
FLEET,Fleet Services,PERM,Permanent,175
FLEET,Fleet Services,TEMP,Temporary,1
HERITAGE,Heritage Toronto,PERM,Permanent,7
HERITAGE,Heritage Toronto,TEMP,Temporary,0
IT,Information & Technology,PERM,Permanent,584
IT,Information & Technology,TEMP,Temporary,3
INTEGRITYCOMM,Integrity Commissioner's Office,PERM,Permanent,3
INTEGRITYCOMM,Integrity Commissioner's Office,TEMP,Temporary,0
LEGAL,Legal Services,PERM,Permanent,269.4
LEGAL,Legal Services,TEMP,Temporary,33
LOBBYREG,Lobbyist Registrar,PERM,Permanent,8
LOBBYREG,Lobbyist Registrar,TEMP,Temporary,0.3
LONGTERMHOME,Long Term Care Homes & Services,PERM,Permanent,2225.9
LONGTERMHOME,Long Term Care Homes & Services,TEMP,Temporary,0
MAYOR,Mayor's Office,PERM,Permanent,1
MAYOR,Mayor's Office,TEMP,Temporary,19
LICENCING,Municipal Licensing and Standards,PERM,Permanent,459
LICENCING,Municipal Licensing and Standards,TEMP,Temporary,1
CFO,Office of the Chief Financial Officer,PERM,Permanent,101
CFO,Office of the Chief Financial Officer,TEMP,Temporary,1
OMBUDSMAN,Office of the Ombudsman,PERM,Permanent,12
OMBUDSMAN,Office of the Ombudsman,TEMP,Temporary,0
TREASURER,Office of the Treasurer,PERM,Permanent,665
TREASURER,Office of the Treasurer,TEMP,Temporary,28
PARKINGTAGS,Parking Tag Enforcement & Operations,PERM,Permanent,394
PARKINGTAGS,Parking Tag Enforcement & Operations,TEMP,Temporary,0
PARKS,"Parks, Forestry & Recreation",PERM,Permanent,1895.2
PARKS,"Parks, Forestry & Recreation",TEMP,Temporary,2559.6
POLICYADMIN,"Policy, Planning, Finance and Administration",PERM,Permanent,192
POLICYADMIN,"Policy, Planning, Finance and Administration",TEMP,Temporary,7.4
SHELTERADMIN,"Shelter, Support & Housing Administration",PERM,Permanent,568
SHELTERADMIN,"Shelter, Support & Housing Administration",TEMP,Temporary,139.2
