_META_START_,,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OuWTJPSE5TdFJIdlE,,,,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuVG55bFlSdkJBM0k,,,,,
SOURCE_DOCUMENT_TITLE,Budget - Operating Budget Program Summary by Expenditure Category,,,,,
SOURCE_DOCUMENT_TABLE_LOCATION,Data Download,,,,,
SOURCE_DOCUMENT_TABLE_TITLE,Approved Operating Budget Summary 2016,,,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuUm5jczhZRVB0QW8,,,,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,,,,
YEAR,2016,,,,,
VERSION,PBFT,,,,,
ASPECT,Expenses,,,,,
NOTES_CONTENT,,,,,,
NOTES_SEVERITY,,,,,,
UNITS_NAME,Dollar,,,,,
UNITS_CODE,DOLLAR,,,,,
UNITS_MULTIPLIER,1,,,,,
TOTAL_AMOUNT,11795207378.769999,,,,,
INTAKE_DATETIME,2017-04-24-01-48-41,,,,,
INTAKE_OPERATOR_ID,Henrik,,,,,
COLUMNS_CATEGORIES,"Program:CODE,Program:NAME,Service:CODE, Service:NAME,Expense:CODE, Expense:NAME",,,,,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE",,,,,
_META_END_,,,,,,
311SERVICE,311 Toronto,311 Performance Reporting,311 Performance Reporting,100A,Salaries And Benefits,240032.08
311SERVICE,311 Toronto,311 Performance Reporting,311 Performance Reporting,400A,Service And Rent,37
311SERVICE,311 Toronto,311 Service Delivery,311 Service Delivery,300A,Equipment,25357.01
311SERVICE,311 Toronto,311 Service Delivery,311 Service Delivery,700A,Inter-Divisional Charges,194276.92
311SERVICE,311 Toronto,311 Service Delivery,311 Service Delivery,200A,Materials & Supplies,8529.25
311SERVICE,311 Toronto,311 Service Delivery,311 Service Delivery,100A,Salaries And Benefits,10903058.36
311SERVICE,311 Toronto,311 Service Delivery,311 Service Delivery,400A,Service And Rent,1621425.35
311SERVICE,311 Toronto,TO-311 Development,TO-311 Development,510A,Contribution To Reserves/Reserve Funds,25905.28
311SERVICE,311 Toronto,TO-311 Development,TO-311 Development,200A,Materials & Supplies,1059.25
311SERVICE,311 Toronto,TO-311 Development,TO-311 Development,100A,Salaries And Benefits,2922847.01
311SERVICE,311 Toronto,TO-311 Development,TO-311 Development,400A,Service And Rent,10454.91
311SERVICE,311 Toronto,TO-311 Information & Business Processing,TO-311 Information & Business Processing,100A,Salaries And Benefits,1346861.88
311SERVICE,311 Toronto,TO-311 Information & Business Processing,TO-311 Information & Business Processing,400A,Service And Rent,794
AFFHOUSING,Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,510A,Contribution To Reserves/Reserve Funds,1881
AFFHOUSING,Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,300A,Equipment,833
AFFHOUSING,Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,700A,Inter-Divisional Charges,162884
AFFHOUSING,Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,200A,Materials & Supplies,3848
