_META_START_,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OuVFYtdnVIcDJxTnc,,,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuV0w1UXpZSVVSdE0,,,,
SOURCE_DOCUMENT_TITLE,Budget - Operating Budget Program Summary by Expenditure Category,,,,
SOURCE_DOCUMENT_TABLE_LOCATION,Data Download,,,,
SOURCE_DOCUMENT_TABLE_TITLE,Approved Operating Budget Summary 2014,,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OublRlZ2RfT3doZFE,,,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,,,
YEAR,2014,,,,
VERSION,PBFT,,,,
ASPECT,Expenses,,,,
NOTES_CONTENT,,,,,
NOTES_SEVERITY,,,,,
UNITS_NAME,Dollar,,,,
UNITS_CODE,DOLLAR,,,,
UNITS_MULTIPLIER,1,,,,
TOTAL_AMOUNT,11207754809,,,,
INTAKE_DATETIME,2016-10-28-22-32-42,,,,
INTAKE_OPERATOR_ID,Henrik,,,,
COLUMNS_CATEGORIES,"Program:CODE,Program:NAME, Expense:CODE, Expense:NAME",,,,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE",,,,
_META_END_,,,,,
311SERVICE,311 Toronto,100A,Salaries And Benefits,15914821,
311SERVICE,311 Toronto,200A,Materials & Supplies,17648,
311SERVICE,311 Toronto,300A,Equipment,21357,
311SERVICE,311 Toronto,400A,Service And Rent,1645756,
311SERVICE,311 Toronto,510A,Contribution To Reserves/Reserve Funds,22518,
311SERVICE,311 Toronto,700A,Inter-Divisional Charges,178526,
AFFHOUSING,Affordable Housing Office,100A,Salaries And Benefits,2230128,
AFFHOUSING,Affordable Housing Office,200A,Materials & Supplies,12923,
AFFHOUSING,Affordable Housing Office,300A,Equipment,2044,
AFFHOUSING,Affordable Housing Office,400A,Service And Rent,171549,
AFFHOUSING,Affordable Housing Office,510A,Contribution To Reserves/Reserve Funds,4703,
AFFHOUSING,Affordable Housing Office,700A,Inter-Divisional Charges,321806,
ARENAS,Arena Boards of Management,100A,Salaries And Benefits,4185080,
ARENAS,Arena Boards of Management,200A,Materials & Supplies,2082589,
ARENAS,Arena Boards of Management,300A,Equipment,40085,
ARENAS,Arena Boards of Management,400A,Service And Rent,1031929,
ARENAS,Arena Boards of Management,505A,Contribution To Capital,562023,
ARENAS,Arena Boards of Management,510A,Contribution To Reserves/Reserve Funds,265888,
COMMCENTRES,Association of Community Centres,100A,Salaries And Benefits,6372022,
