_META_START_,,,,,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,,,,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OuQUx6TGRpb2trRFE,,,,,,,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuV0w1UXpZSVVSdE0,,,,,,,,
SOURCE_DOCUMENT_TITLE,Budget - Operating Budget Program Summary by Expenditure Category,,,,,,,,
SOURCE_DOCUMENT_TABLE_LOCATION,Data Download,,,,,,,,
SOURCE_DOCUMENT_TABLE_TITLE,Approved Operating Budget Summary 2015,,,,,,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuUndwcjQ1TjViZ1U,,,,,,,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,,,,,,,
YEAR,2015,,,,,,,,
VERSION,PBFT,,,,,,,,
ASPECT,Expenses,,,,,,,,
NOTES_CONTENT,,,,,,,,,
NOTES_SEVERITY,,,,,,,,,
UNITS_NAME,Dollar,,,,,,,,
UNITS_CODE,DOLLAR,,,,,,,,
UNITS_MULTIPLIER,1,,,,,,,,
TOTAL_AMOUNT,11614621513,,,,,,,,
INTAKE_DATETIME,2016-10-28-22-31-07,,,,,,,,
INTAKE_OPERATOR_ID,Henrik,,,,,,,,
COLUMNS_CATEGORIES,"Program:CODE,Program:NAME,Service:CODE, Service:NAME,Activity:CODE, Activity:NAME, Expense:CODE, Expense:NAME",,,,,,,,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE",,,,,,,,
_META_END_,,,,,,,,,
311SERVICE,311 Toronto,311 Performance Reporting,311 Performance Reporting,,,200A,Materials & Supplies,20,
311SERVICE,311 Toronto,311 Performance Reporting,311 Performance Reporting,,,100A,Salaries And Benefits,248823,
311SERVICE,311 Toronto,311 Performance Reporting,311 Performance Reporting,,,400A,Service And Rent,37,
311SERVICE,311 Toronto,311 Service Delivery,311 Service Delivery,,,300A,Equipment,25357,
311SERVICE,311 Toronto,311 Service Delivery,311 Service Delivery,,,700A,Inter-Divisional Charges,192020,
311SERVICE,311 Toronto,311 Service Delivery,311 Service Delivery,,,200A,Materials & Supplies,14744,
311SERVICE,311 Toronto,311 Service Delivery,311 Service Delivery,,,100A,Salaries And Benefits,10756523,
