_META_START_,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OuSkpsNjl2QTBXWDQ,,,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuV0w1UXpZSVVSdE0,,,,
SOURCE_DOCUMENT_TITLE,Budget - Operating Budget Program Summary by Expenditure Category,,,,
SOURCE_DOCUMENT_TABLE_LOCATION,Data Download,,,,
SOURCE_DOCUMENT_TABLE_TITLE,Approved Operating Budget Summary 2011,,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuSGozRWk5OTFRdU0,,,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,,,
YEAR,2011,,,,
VERSION,PBFT,,,,
ASPECT,Expenses,,,,
NOTES_CONTENT,,,,,
NOTES_SEVERITY,,,,,
UNITS_NAME,Dollar,,,,
UNITS_CODE,DOLLAR,,,,
UNITS_MULTIPLIER,1000,,,,
TOTAL_AMOUNT,10619554.329202082,,,,
INTAKE_DATETIME,2016-09-05-17-43-29,,,,
INTAKE_OPERATOR_ID,Henrik,,,,
COLUMNS_CATEGORIES,"Program:CODE,Program:NAME,Expense:CODE, Expense:NAME",,,,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE",,,,
_META_END_,,,,,
311SERVICE,311 Toronto,100A,Salaries and Benefits,16690.6,
311SERVICE,311 Toronto,200A,Materials and Supplies,58.5,
311SERVICE,311 Toronto,300A,Equipment,11.4,
311SERVICE,311 Toronto,400A,Services & Rents,2097.2,
311SERVICE,311 Toronto,505A,Contributions to Capital,,
311SERVICE,311 Toronto,510A,Contributions to Reserve/Res Funds,21.4,
311SERVICE,311 Toronto,650A,Other Expenditures,,
311SERVICE,311 Toronto,700A,Interdivisional Charges,258.9,
COMMCENTRES,Association of Community Centres,100A,Salaries and Benefits,6324.4,
COMMCENTRES,Association of Community Centres,200A,Materials and Supplies,506.6,
COMMCENTRES,Association of Community Centres,300A,Equipment,4,
COMMCENTRES,Association of Community Centres,400A,Services & Rents,560.9,
COMMCENTRES,Association of Community Centres,505A,Contributions to Capital,,
COMMCENTRES,Association of Community Centres,510A,Contributions to Reserve/Res Funds,24.4,
COMMCENTRES,Association of Community Centres,650A,Other Expenditures,7.1,
COMMCENTRES,Association of Community Centres,700A,Interdivisional Charges, ,
AFFHOUSING,Affordable Housing Office,100A,Salaries and Benefits,2319.3,
AFFHOUSING,Affordable Housing Office,200A,Materials and Supplies,23,
AFFHOUSING,Affordable Housing Office,300A,Equipment,18.9,
AFFHOUSING,Affordable Housing Office,400A,Services & Rents,214.3,
AFFHOUSING,Affordable Housing Office,505A,Contributions to Capital,,
AFFHOUSING,Affordable Housing Office,510A,Contributions to Reserve/Res Funds,4.5,
AFFHOUSING,Affordable Housing Office,650A,Other Expenditures,,
AFFHOUSING,Affordable Housing Office,700A,Interdivisional Charges,294.3,
ARENAS,Arena Boards of Management,100A,Salaries and Benefits,3761.66,
ARENAS,Arena Boards of Management,200A,Materials and Supplies,1826.681,
ARENAS,Arena Boards of Management,300A,Equipment,35.5,
ARENAS,Arena Boards of Management,400A,Services & Rents,718.842,
ARENAS,Arena Boards of Management,505A,Contributions to Capital,22.046,
ARENAS,Arena Boards of Management,510A,Contributions to Reserve/Res Funds,172.017,
ARENAS,Arena Boards of Management,650A,Other Expenditures,0,
ARENAS,Arena Boards of Management,700A,Interdivisional Charges,,
AUDITGEN,Auditor General's Office,100A,Salaries and Benefits,3826.1,
AUDITGEN,Auditor General's Office,200A,Materials and Supplies,6.1,
AUDITGEN,Auditor General's Office,300A,Equipment,5.4,
AUDITGEN,Auditor General's Office,400A,Services & Rents,332.2,
AUDITGEN,Auditor General's Office,505A,Contributions to Capital,,
AUDITGEN,Auditor General's Office,510A,Contributions to Reserve/Res Funds,6.5,
AUDITGEN,Auditor General's Office,650A,Other Expenditures,,
AUDITGEN,Auditor General's Office,700A,Interdivisional Charges,21.4,
CHILDSERV,Children's Services,100A,Salaries and Benefits,73926.8,
CHILDSERV,Children's Services,200A,Materials and Supplies,3783.5,
CHILDSERV,Children's Services,300A,Equipment,1012.1,
CHILDSERV,Children's Services,400A,Services & Rents,303345.1,
CHILDSERV,Children's Services,505A,Contributions to Capital,0,
CHILDSERV,Children's Services,510A,Contributions to Reserve/Res Funds,1147.4,
CHILDSERV,Children's Services,650A,Other Expenditures,1028.7,
CHILDSERV,Children's Services,700A,Interdivisional Charges,3294.8,
CFO,Office of the Chief Financial Officer,100A,Salaries and Benefits,14375.8,
CFO,Office of the Chief Financial Officer,200A,Materials and Supplies,76.4,
CFO,Office of the Chief Financial Officer,300A,Equipment,9.6,
CFO,Office of the Chief Financial Officer,400A,Services & Rents,598.1,
CFO,Office of the Chief Financial Officer,505A,Contributions to Capital,,
CFO,Office of the Chief Financial Officer,510A,Contributions to Reserve/Res Funds,69,
CFO,Office of the Chief Financial Officer,650A,Other Expenditures,2,
CFO,Office of the Chief Financial Officer,700A,Interdivisional Charges,191,
CLERK,City Clerk's Office,100A,Salaries and Benefits,37485.6,
CLERK,City Clerk's Office,200A,Materials and Supplies,1584.2,
CLERK,City Clerk's Office,300A,Equipment,147.6,
CLERK,City Clerk's Office,400A,Services & Rents,7956.4,
CLERK,City Clerk's Office,505A,Contributions to Capital,,
CLERK,City Clerk's Office,510A,Contributions to Reserve/Res Funds,443.4,
