_META_START_,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OuaVNJaGdjMVlYTUE,,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuM0VvWDZnRDRVcGc,,,
SOURCE_DOCUMENT_TITLE,Budget - Operating Budget Program Summary by Expenditure Category,,,
SOURCE_DOCUMENT_TABLE_LOCATION,Data Download,,,
SOURCE_DOCUMENT_TABLE_TITLE,Approved Operating Budget Summary 2012,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OudXI5RHNmR28yVEE,,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,,
YEAR,2012,,,
VERSION,PBFT,,,
ASPECT,Revenues,,,
NOTES_CONTENT,,,,
NOTES_SEVERITY,,,,
UNITS_NAME,Dollar,,,
UNITS_CODE,DOLLAR,,,
UNITS_MULTIPLIER,1000,,,
TOTAL_AMOUNT,7154246.318625499,,,
INTAKE_DATETIME,2016-09-05-17-43-29,,,
INTAKE_OPERATOR_ID,Henrik,,,
COLUMNS_CATEGORIES,"Program:CODE,Program:NAME,Revenue:CODE,Revenue:NAME",,,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE",,,
_META_END_,,,,
311SERVICE,311 Toronto,750A,Interdivisional Recoveries,5260.8
311SERVICE,311 Toronto,805A,Provincial Subsidies,
311SERVICE,311 Toronto,810A,Federal Subsidies,
311SERVICE,311 Toronto,820A,Other Subsidies,
311SERVICE,311 Toronto,850A,User Fees & Donations,
311SERVICE,311 Toronto,920A,Transfers from Capital Fund,3158.6
311SERVICE,311 Toronto,930A,Contribution from Reserve Funds,
311SERVICE,311 Toronto,930A,Contribution from Reserve,
311SERVICE,311 Toronto,940A,Sundry Revenues,
AUDITGEN,Accountability Offices - Auditor General,750A,Interdivisional Recoveries,0
AUDITGEN,Accountability Offices - Auditor General,805A,Provincial Subsidies,0
AUDITGEN,Accountability Offices - Auditor General,810A,Federal Subsidies,0
AUDITGEN,Accountability Offices - Auditor General,820A,Other Subsidies,0
AUDITGEN,Accountability Offices - Auditor General,850A,User Fees & Donations,0
AUDITGEN,Accountability Offices - Auditor General,920A,Transfers from Capital Fund,0
AUDITGEN,Accountability Offices - Auditor General,930A,Contribution from Reserve Funds,0
AUDITGEN,Accountability Offices - Auditor General,930A,Contribution from Reserve,0
AUDITGEN,Accountability Offices - Auditor General,940A,Sundry Revenues,0
INTEGRITYCOMM,Accountability Offices - Integrity Commissioner,750A,Interdivisional Recoveries,0
INTEGRITYCOMM,Accountability Offices - Integrity Commissioner,805A,Provincial Subsidies,0
INTEGRITYCOMM,Accountability Offices - Integrity Commissioner,810A,Federal Subsidies,0
INTEGRITYCOMM,Accountability Offices - Integrity Commissioner,820A,Other Subsidies,0
INTEGRITYCOMM,Accountability Offices - Integrity Commissioner,850A,User Fees & Donations,0
INTEGRITYCOMM,Accountability Offices - Integrity Commissioner,920A,Transfers from Capital Fund,0
INTEGRITYCOMM,Accountability Offices - Integrity Commissioner,930A,Contribution from Reserve Funds,0
INTEGRITYCOMM,Accountability Offices - Integrity Commissioner,930A,Contribution from Reserve,0
INTEGRITYCOMM,Accountability Offices - Integrity Commissioner,940A,Sundry Revenues,0
