311 Toronto, Salaries and Benefits ,16209.2
311 Toronto, Materials and Supplies ,20.7
311 Toronto, Equipment ,23.8
311 Toronto, Services & Rents ,1709.8
311 Toronto, Contributions to Capital ,
311 Toronto, Contributions to Reserve/Res Funds ,22.2
311 Toronto, Other Expenditures ,
311 Toronto, Interdivisional Charges ,262.4
Accountability Offices - Auditor General, Salaries and Benefits ,3814
Accountability Offices - Auditor General, Materials and Supplies ,15.2
Accountability Offices - Auditor General, Equipment ,7.6
Accountability Offices - Auditor General, Services & Rents ,405.4
Accountability Offices - Auditor General, Contributions to Capital ,0
Accountability Offices - Auditor General, Contributions to Reserve/Res Funds ,6.8
Accountability Offices - Auditor General, Other Expenditures ,0
Accountability Offices - Auditor General, Interdivisional Charges ,22.3
Accountability Offices - Integrity Commissioner, Salaries and Benefits ,194
Accountability Offices - Integrity Commissioner, Materials and Supplies ,1.2
Accountability Offices - Integrity Commissioner, Equipment ,0
Accountability Offices - Integrity Commissioner, Services & Rents ,11.3
Accountability Offices - Integrity Commissioner, Contributions to Capital ,0
Accountability Offices - Integrity Commissioner, Contributions to Reserve/Res Funds ,4.1
Accountability Offices - Integrity Commissioner, Other Expenditures ,0
Accountability Offices - Integrity Commissioner, Interdivisional Charges ,0.4
Accountability Offices - Lobbyist Registrar, Salaries and Benefits ,969.5
Accountability Offices - Lobbyist Registrar, Materials and Supplies ,10.1
Accountability Offices - Lobbyist Registrar, Equipment ,2.1
Accountability Offices - Lobbyist Registrar, Services & Rents ,77.6
Accountability Offices - Lobbyist Registrar, Contributions to Capital ,0
Accountability Offices - Lobbyist Registrar, Contributions to Reserve/Res Funds ,1.4
Accountability Offices - Lobbyist Registrar, Other Expenditures ,0
Accountability Offices - Lobbyist Registrar, Interdivisional Charges ,0.6
Association of Community Centres, Salaries and Benefits ,5924.2
Association of Community Centres, Materials and Supplies ,497.3
Association of Community Centres, Equipment ,4
Association of Community Centres, Services & Rents ,485
Association of Community Centres, Contributions to Capital ,
Association of Community Centres, Contributions to Reserve/Res Funds ,25
Association of Community Centres, Other Expenditures ,15.8
Association of Community Centres, Interdivisional Charges ,
Affordable Housing Office,Salaries and Benefits,2076.6314
Affordable Housing Office,Materials and Supplies,12.22496
Affordable Housing Office,Equipment,8.2142
Affordable Housing Office,Services & Rents,152.74759
Affordable Housing Office,Contributions to Capital,0
Affordable Housing Office,Contributions to Reserve/Res Funds,4.64307
Affordable Housing Office,Other Expenditures,0
Affordable Housing Office,Interdivisional Charges,326.386
Association of Community Centres,Salaries and Benefits,5924.17716
Association of Community Centres,Materials and Supplies,497.287
Association of Community Centres,Equipment,3.99079633
Association of Community Centres,Services & Rents,485.00556
Association of Community Centres,Contributions to Capital,
Association of Community Centres,Contributions to Reserve/Res Funds,25.0494
Association of Community Centres,Other Expenditures,15.8
Arena Boards of Management,Salaries and Benefits,3956.706
Arena Boards of Management,Materials and Supplies,1812.314
Arena Boards of Management,Equipment,47.2
Arena Boards of Management,Services & Rents,723.662
Arena Boards of Management,Contributions to Capital,22.046
Arena Boards of Management,Contributions to Reserve/Res Funds,168.821
Arena Boards of Management,Other Expenditures,0
Arena Boards of Management,Interdivisional Charges,0
Children's Services,Salaries and Benefits,74833.1
Children's Services,Materials and Supplies,3249.4
Children's Services,Equipment,713.95
Children's Services,Services & Rents,308087.6
Children's Services,Contributions to Capital,0
Children's Services,Contributions to Reserve/Res Funds,1144.365
Children's Services,Other Expenditures,1034.1
Children's Services,Interdivisional Charges,3429
City Clerk's Office,Salaries and Benefits,35569
City Clerk's Office,Materials and Supplies,1332.2
City Clerk's Office,Equipment,151.2
City Clerk's Office,Services & Rents,7652.6
City Clerk's Office,Contributions to Capital,
City Clerk's Office,Contributions to Reserve/Res Funds,449.8
City Clerk's Office,Other Expenditures,44.5
City Clerk's Office,Interdivisional Charges,2377.1
City Council,Salaries and Benefits,17401.3
City Council,Materials and Supplies,1173.1
City Council,Equipment,8
City Council,Services & Rents,301.2
City Council,Contributions to Capital,
City Council,Contributions to Reserve/Res Funds,90.5
City Council,Other Expenditures, 
City Council,Interdivisional Charges,171.3
City Manager's Office,Salaries and Benefits,39660.985
City Manager's Office,Materials and Supplies,200.235
City Manager's Office,Equipment,76.674
City Manager's Office,Services & Rents,3003.854
City Manager's Office,Contributions to Capital,
City Manager's Office,Contributions to Reserve/Res Funds,76.157
City Manager's Office,Other Expenditures,
City Manager's Office,Interdivisional Charges,489.197
City Planning,Salaries and Benefits,35741.431
City Planning,Materials and Supplies,187.331
City Planning,Equipment,163.944
City Planning,Services & Rents,1595.39
City Planning,Contributions to Capital,
City Planning,Contributions to Reserve/Res Funds,63.3
City Planning,Other Expenditures,343.7
City Planning,Interdivisional Charges,583.1
Court Services,Salaries and Benefits,21058.6705246923
Court Services,Materials and Supplies,206.30387
Court Services,Equipment,91.675
Court Services,Services & Rents,10115.906
Court Services,Contributions to Capital,
Court Services,Contributions to Reserve/Res Funds,69.74009
Court Services,Other Expenditures,1989.5
Court Services,Interdivisional Charges,18730.36976
Economic Development & Culture,Salaries and Benefits,23762.159
Economic Development & Culture,Materials and Supplies,1015.501
Economic Development & Culture,Equipment,132.409
Economic Development & Culture,Services & Rents,5471.625
Economic Development & Culture,Contributions to Capital, 
Economic Development & Culture,Contributions to Reserve/Res Funds,929
Economic Development & Culture,Other Expenditures,21464.824
Economic Development & Culture,Interdivisional Charges,436.701
Emergency Medical Services,Salaries and Benefits,137477
Emergency Medical Services,Materials and Supplies,5547.7
Emergency Medical Services,Equipment,988.1
Emergency Medical Services,Services & Rents,9887.38
Emergency Medical Services,Contributions to Capital,472
Emergency Medical Services,Contributions to Reserve/Res Funds,4997.13
Emergency Medical Services,Other Expenditures,31.2
Emergency Medical Services,Interdivisional Charges,10135
Exhibition Place,Salaries and Benefits,37534.1
Exhibition Place,Materials and Supplies,5476.9
Exhibition Place,Equipment,176.8
Exhibition Place,Services & Rents,36233.8
Exhibition Place,Contributions to Capital,
Exhibition Place,Contributions to Reserve/Res Funds,976.8
Exhibition Place,Contributions to CCRF Naming Rights,1168
Exhibition Place,Other Expenditures,-16801.3
Exhibition Place,Interdivisional Charges,
Facilities Management and Real Estate,Salaries and Benefits,74570.817
Facilities Management and Real Estate,Materials and Supplies,30894.27
Facilities Management and Real Estate,Equipment,1261.365
Facilities Management and Real Estate,Services & Rents,63094.447
Facilities Management and Real Estate,Contributions to Capital,3278.3
Facilities Management and Real Estate,Contributions to Reserve/Res Funds,1802.125
Facilities Management and Real Estate,Other Expenditures,10.6
Facilities Management and Real Estate,Interdivisional Charges,1943.353
Fire Services,Salaries and Benefits,339981.04
Fire Services,Materials and Supplies,7925.44
Fire Services,Equipment,770.2
Fire Services,Services & Rents,5979.3
Fire Services,Contributions to Capital,
Fire Services,Contributions to Reserve/Res Funds,8747.5
Fire Services,Other Expenditures,0
Fire Services,Interdivisional Charges,6352.7
Fleet Services,Salaries and Benefits,16337.6
Fleet Services,Materials and Supplies,24484.1
Fleet Services,Equipment,96.5
Fleet Services,Services & Rents,6024.9
Fleet Services,Contributions to Capital,
Fleet Services,Contributions to Reserve/Res Funds,84.5
Fleet Services,Other Expenditures,
Fleet Services,Interdivisional Charges,440.7
Heritage Toronto,Salaries and Benefits,489
Heritage Toronto,Materials and Supplies,113.7
Heritage Toronto,Equipment,
Heritage Toronto,Services & Rents,272.3
Heritage Toronto,Contributions to Capital,
Heritage Toronto,Contributions to Reserve/Res Funds,1
Heritage Toronto,Other Expenditures,4.8
Heritage Toronto,Interdivisional Charges,
Heritage Toronto,Required Adjustments,
