311 Toronto,100A,Salaries and Benefits,16838458,
311 Toronto,200A,Materials and Supplies,21019,
311 Toronto,300A,Equipment,19230,
311 Toronto,400A,Service and Rent,1713457,
311 Toronto,510A,Contribution to Reserves/Reserve Funds,22518,
311 Toronto,700A,Inter-Divisional Charges,256857,
Affordable Housing Office,100A,Salaries and Benefits,2181727,
Affordable Housing Office,200A,Materials and Supplies,12712,
Affordable Housing Office,300A,Equipment,2000,
Affordable Housing Office,400A,Service and Rent,170742,
Affordable Housing Office,510A,Contribution to Reserves/Reserve Funds,4703,
Affordable Housing Office,700A,Inter-Divisional Charges,310254,
Arena Boards of Management,100A,Salaries and Benefits,4082722,
Arena Boards of Management,200A,Materials and Supplies,1832745,
Arena Boards of Management,300A,Equipment,130000,
Arena Boards of Management,400A,Service and Rent,905037,
Arena Boards of Management,505A,Contribution to Capital,165653,
Arena Boards of Management,510A,Contribution to Reserves/Reserve Funds,184547,
Association of Community Centres,100A,Salaries and Benefits,6265108,
Association of Community Centres,200A,Materials and Supplies,509303,
Association of Community Centres,300A,Equipment,3236,
Association of Community Centres,400A,Service and Rent,619986,
Association of Community Centres,510A,Contribution to Reserves/Reserve Funds,22582,
Association of Community Centres,650A,Other Expenditures,6700,
Auditor General's Office,100A,Salaries and Benefits,4036674,
Auditor General's Office,200A,Materials and Supplies,15455,
Auditor General's Office,300A,Equipment,7782,
Auditor General's Office,400A,Service and Rent,88656,
Auditor General's Office,510A,Contribution to Reserves/Reserve Funds,6841,
Auditor General's Office,700A,Inter-Divisional Charges,22272,
Children's Services,100A,Salaries and Benefits,76850567,
Children's Services,200A,Materials and Supplies,3160929,
Children's Services,300A,Equipment,698990,
Children's Services,400A,Service and Rent,316049433,
Children's Services,510A,Contribution to Reserves/Reserve Funds,1178949,
Children's Services,650A,Other Expenditures,1031200,
Children's Services,700A,Inter-Divisional Charges,3365438,
City Clerk's Office,100A,Salaries and Benefits,36843896,
City Clerk's Office,200A,Materials and Supplies,1288624,
City Clerk's Office,300A,Equipment,135837,
City Clerk's Office,400A,Service and Rent,7048137,
City Clerk's Office,510A,Contribution to Reserves/Reserve Funds,451947,
City Clerk's Office,650A,Other Expenditures,50917,
City Clerk's Office,700A,Inter-Divisional Charges,1869854,
City Manager's Office,100A,Salaries and Benefits,49044153,
City Manager's Office,200A,Materials and Supplies,202816,
City Manager's Office,300A,Equipment,77200,
City Manager's Office,400A,Service and Rent,2975312,
City Manager's Office,510A,Contribution to Reserves/Reserve Funds,83497,
City Manager's Office,700A,Inter-Divisional Charges,431915,
City Planning,100A,Salaries and Benefits,36573285,
City Planning,200A,Materials and Supplies,187729,
City Planning,300A,Equipment,163544,
City Planning,400A,Service and Rent,2840954,
City Planning,510A,Contribution to Reserves/Reserve Funds,64117,
City Planning,650A,Other Expenditures,400700,
City Planning,700A,Inter-Divisional Charges,552925,
City's Council,100A,Salaries and Benefits,18101495,
City's Council,200A,Materials and Supplies,1199510,
City's Council,300A,Equipment,37000,
City's Council,400A,Service and Rent,376500,
City's Council,510A,Contribution to Reserves/Reserve Funds,91630,
City's Council,700A,Inter-Divisional Charges,181283,
Court Services,100A,Salaries and Benefits,21567689,
Court Services,200A,Materials and Supplies,179396,
Court Services,300A,Equipment,71675,
Court Services,400A,Service and Rent,10109856,
Court Services,510A,Contribution to Reserves/Reserve Funds,70642,
Court Services,650A,Other Expenditures,1989500,
Court Services,700A,Inter-Divisional Charges,21141377,
Economic Development & Culture,100A,Salaries and Benefits,24781405,
Economic Development & Culture,200A,Materials and Supplies,1249131,
