Program,Category,Category Name,EX/Rev,Sum - 2013
311 Toronto,100A,Salaries and Benefits,Expenditures,"16,838,458"
311 Toronto,200A,Materials and Supplies,Expenditures,"21,019"
311 Toronto,300A,Equipment,Expenditures,"19,230"
311 Toronto,400A,Service and Rent,Expenditures,"1,713,457"
311 Toronto,510A,Contribution to Reserves/Reserve Funds,Expenditures,"22,518"
311 Toronto,700A,Inter-Divisional Charges,Expenditures,"256,857"
Affordable Housing Office,100A,Salaries and Benefits,Expenditures,"2,181,727"
Affordable Housing Office,200A,Materials and Supplies,Expenditures,"12,712"
Affordable Housing Office,300A,Equipment,Expenditures,"2,000"
Affordable Housing Office,400A,Service and Rent,Expenditures,"170,742"
Affordable Housing Office,510A,Contribution to Reserves/Reserve Funds,Expenditures,"4,703"
Affordable Housing Office,700A,Inter-Divisional Charges,Expenditures,"310,254"
Arena Boards of Management,100A,Salaries and Benefits,Expenditures,"4,082,722"
Arena Boards of Management,200A,Materials and Supplies,Expenditures,"1,832,745"
Arena Boards of Management,300A,Equipment,Expenditures,"130,000"
Arena Boards of Management,400A,Service and Rent,Expenditures,"905,037"
Arena Boards of Management,505A,Contribution to Capital,Expenditures,"165,653"
Arena Boards of Management,510A,Contribution to Reserves/Reserve Funds,Expenditures,"184,547"
Association of Community Centres,100A,Salaries and Benefits,Expenditures,"6,265,108"
Association of Community Centres,200A,Materials and Supplies,Expenditures,"509,303"
Association of Community Centres,300A,Equipment,Expenditures,"3,236"
Association of Community Centres,400A,Service and Rent,Expenditures,"619,986"
Association of Community Centres,510A,Contribution to Reserves/Reserve Funds,Expenditures,"22,582"
Association of Community Centres,650A,Other Expenditures,Expenditures,"6,700"
Auditor General's Office,100A,Salaries and Benefits,Expenditures,"4,036,674"
Auditor General's Office,200A,Materials and Supplies,Expenditures,"15,455"
Auditor General's Office,300A,Equipment,Expenditures,"7,782"
Auditor General's Office,400A,Service and Rent,Expenditures,"88,656"
Auditor General's Office,510A,Contribution to Reserves/Reserve Funds,Expenditures,"6,841"
Auditor General's Office,700A,Inter-Divisional Charges,Expenditures,"22,272"
Children's Services,100A,Salaries and Benefits,Expenditures,"76,850,567"
Children's Services,200A,Materials and Supplies,Expenditures,"3,160,929"
Children's Services,300A,Equipment,Expenditures,"698,990"
Children's Services,400A,Service and Rent,Expenditures,"316,049,433"
Children's Services,510A,Contribution to Reserves/Reserve Funds,Expenditures,"1,178,949"
Children's Services,650A,Other Expenditures,Expenditures,"1,031,200"
Children's Services,700A,Inter-Divisional Charges,Expenditures,"3,365,438"
City Clerk's Office,100A,Salaries and Benefits,Expenditures,"36,843,896"
City Clerk's Office,200A,Materials and Supplies,Expenditures,"1,288,624"
City Clerk's Office,300A,Equipment,Expenditures,"135,837"
City Clerk's Office,400A,Service and Rent,Expenditures,"7,048,137"
City Clerk's Office,510A,Contribution to Reserves/Reserve Funds,Expenditures,"451,947"
City Clerk's Office,650A,Other Expenditures,Expenditures,"50,917"
