Program,Category,Category Name,Expense/Revenue,Sum - 2014
311 Toronto,100A,Salaries And Benefits,Expenses,"15,914,821"
311 Toronto,200A,Materials & Supplies,Expenses,"17,648"
311 Toronto,300A,Equipment,Expenses,"21,357"
311 Toronto,400A,Service And Rent,Expenses,"1,645,756"
311 Toronto,510A,Contribution To Reserves/Reserve Funds,Expenses,"22,518"
311 Toronto,700A,Inter-Divisional Charges,Expenses,"178,526"
Affordable Housing Office,100A,Salaries And Benefits,Expenses,"2,230,128"
Affordable Housing Office,200A,Materials & Supplies,Expenses,"12,923"
Affordable Housing Office,300A,Equipment,Expenses,"2,044"
Affordable Housing Office,400A,Service And Rent,Expenses,"171,549"
Affordable Housing Office,510A,Contribution To Reserves/Reserve Funds,Expenses,"4,703"
Affordable Housing Office,700A,Inter-Divisional Charges,Expenses,"321,806"
Arena Boards of Management,100A,Salaries And Benefits,Expenses,"4,185,080"
Arena Boards of Management,200A,Materials & Supplies,Expenses,"2,082,589"
Arena Boards of Management,300A,Equipment,Expenses,"40,085"
Arena Boards of Management,400A,Service And Rent,Expenses,"1,031,929"
Arena Boards of Management,505A,Contribution To Capital,Expenses,"562,023"
Arena Boards of Management,510A,Contribution To Reserves/Reserve Funds,Expenses,"265,888"
Association of Community Centres,100A,Salaries And Benefits,Expenses,"6,372,022"
Association of Community Centres,200A,Materials & Supplies,Expenses,"436,597"
Association of Community Centres,300A,Equipment,Expenses,"3,337"
Association of Community Centres,400A,Service And Rent,Expenses,"947,771"
Association of Community Centres,510A,Contribution To Reserves/Reserve Funds,Expenses,"25,850"
Association of Community Centres,650A,Other Expenditures,Expenses,"7,000"
Auditor General's Office,100A,Salaries And Benefits,Expenses,"4,541,766"
Auditor General's Office,200A,Materials & Supplies,Expenses,"15,708"
Auditor General's Office,300A,Equipment,Expenses,"7,954"
Auditor General's Office,400A,Service And Rent,Expenses,"90,542"
Auditor General's Office,510A,Contribution To Reserves/Reserve Funds,Expenses,"6,841"
Auditor General's Office,700A,Inter-Divisional Charges,Expenses,"22,272"
Capital & Corporate Financing,505A,Contribution To Capital,Expenses,"240,366,500"
Capital & Corporate Financing,510A,Contribution To Reserves/Reserve Funds,Expenses,"18,911,638"
Capital & Corporate Financing,650A,Other Expenditures,Expenses,"428,586,000"
Capital & Corporate Financing,700A,Inter-Divisional Charges,Expenses,"470,223"
Children's Services,100A,Salaries And Benefits,Expenses,"80,237,542"
Children's Services,200A,Materials & Supplies,Expenses,"2,591,699"
Children's Services,300A,Equipment,Expenses,"630,320"
Children's Services,400A,Service And Rent,Expenses,"332,816,718"
Children's Services,510A,Contribution To Reserves/Reserve Funds,Expenses,"1,178,949"
Children's Services,650A,Other Expenditures,Expenses,"694,500"
Children's Services,700A,Inter-Divisional Charges,Expenses,"3,583,460"
City Clerk's Office,100A,Salaries And Benefits,Expenses,"44,062,666"
City Clerk's Office,200A,Materials & Supplies,Expenses,"1,821,760"
City Clerk's Office,300A,Equipment,Expenses,"561,685"
City Clerk's Office,400A,Service And Rent,Expenses,"11,241,987"
City Clerk's Office,510A,Contribution To Reserves/Reserve Funds,Expenses,"448,899"
City Clerk's Office,650A,Other Expenditures,Expenses,"40,917"
City Clerk's Office,700A,Inter-Divisional Charges,Expenses,"2,297,219"
City Council,100A,Salaries And Benefits,Expenses,"20,208,462"
City Council,200A,Materials & Supplies,Expenses,"1,259,607"
City Council,300A,Equipment,Expenses,"92,000"
City Council,400A,Service And Rent,Expenses,"391,500"
City Council,510A,Contribution To Reserves/Reserve Funds,Expenses,"91,630"
City Council,700A,Inter-Divisional Charges,Expenses,"244,219"
City Manager's Office,100A,Salaries And Benefits,Expenses,"51,314,727"
City Manager's Office,200A,Materials & Supplies,Expenses,"199,003"
City Manager's Office,300A,Equipment,Expenses,"144,562"
City Manager's Office,400A,Service And Rent,Expenses,"3,394,518"
City Manager's Office,510A,Contribution To Reserves/Reserve Funds,Expenses,"91,307"
City Manager's Office,700A,Inter-Divisional Charges,Expenses,"257,552"
City Planning,100A,Salaries And Benefits,Expenses,"37,314,374"
City Planning,200A,Materials & Supplies,Expenses,"187,729"
City Planning,300A,Equipment,Expenses,"163,544"
City Planning,400A,Service And Rent,Expenses,"2,544,238"
City Planning,510A,Contribution To Reserves/Reserve Funds,Expenses,"64,117"
City Planning,650A,Other Expenditures,Expenses,"400,700"
City Planning,700A,Inter-Divisional Charges,Expenses,"932,666"
Court Services,100A,Salaries And Benefits,Expenses,"20,371,616"
Court Services,200A,Materials & Supplies,Expenses,"177,396"
Court Services,300A,Equipment,Expenses,"67,525"
Court Services,400A,Service And Rent,Expenses,"9,413,638"
Court Services,510A,Contribution To Reserves/Reserve Funds,Expenses,"70,642"
Court Services,650A,Other Expenditures,Expenses,"1,920,187"
Court Services,700A,Inter-Divisional Charges,Expenses,"21,793,288"
Economic Development & Culture,100A,Salaries And Benefits,Expenses,"26,601,861"
Economic Development & Culture,200A,Materials & Supplies,Expenses,"1,435,530"
Economic Development & Culture,300A,Equipment,Expenses,"157,604"
Economic Development & Culture,400A,Service And Rent,Expenses,"11,554,427"
Economic Development & Culture,510A,Contribution To Reserves/Reserve Funds,Expenses,"930,061"
Economic Development & Culture,650A,Other Expenditures,Expenses,"31,285,057"
Economic Development & Culture,700A,Inter-Divisional Charges,Expenses,"429,545"
Engineering & Construction Services,100A,Salaries And Benefits,Expenses,"56,977,632"
Engineering & Construction Services,200A,Materials & Supplies,Expenses,"399,613"
Engineering & Construction Services,300A,Equipment,Expenses,"251,416"
Engineering & Construction Services,400A,Service And Rent,Expenses,"3,458,165"
Engineering & Construction Services,510A,Contribution To Reserves/Reserve Funds,Expenses,"778,686"
Engineering & Construction Services,700A,Inter-Divisional Charges,Expenses,"3,736,390"
Exhibition Place,100A,Salaries And Benefits,Expenses,"31,992,202"
Exhibition Place,200A,Materials & Supplies,Expenses,"4,273,093"
Exhibition Place,300A,Equipment,Expenses,"176,840"
Exhibition Place,400A,Service And Rent,Expenses,"18,367,044"
Exhibition Place,505A,Contribution To Capital,Expenses,"500,000"
Exhibition Place,510A,Contribution To Reserves/Reserve Funds,Expenses,"1,921,856"
Exhibition Place,650A,Other Expenditures,Expenses,"(12,792,981)"
"Facilities, Real Estate, Environment & Energy",100A,Salaries And Benefits,Expenses,"83,140,161"
"Facilities, Real Estate, Environment & Energy",200A,Materials & Supplies,Expenses,"28,359,696"
"Facilities, Real Estate, Environment & Energy",300A,Equipment,Expenses,"530,964"
"Facilities, Real Estate, Environment & Energy",400A,Service And Rent,Expenses,"65,559,316"
"Facilities, Real Estate, Environment & Energy",510A,Contribution To Reserves/Reserve Funds,Expenses,"1,827,633"
"Facilities, Real Estate, Environment & Energy",650A,Other Expenditures,Expenses,"7,593,960"
"Facilities, Real Estate, Environment & Energy",700A,Inter-Divisional Charges,Expenses,"1,735,168"
Fire Services,100A,Salaries And Benefits,Expenses,"393,961,314"
Fire Services,200A,Materials & Supplies,Expenses,"8,027,000"
