Program,Service,Activity,Category,Category Name,Expense/Revenue,Sum - 2016
311 Toronto,311 Performance Reporting,311 Performance Reporting,100A,Salaries And Benefits,Expenses,"240,032"
311 Toronto,311 Performance Reporting,311 Performance Reporting,200A,Materials & Supplies,Expenses,20
311 Toronto,311 Performance Reporting,311 Performance Reporting,400A,Service And Rent,Expenses,37
311 Toronto,311 Service Delivery,311 Service Delivery,100A,Salaries And Benefits,Expenses,"10,903,058"
311 Toronto,311 Service Delivery,311 Service Delivery,200A,Materials & Supplies,Expenses,"8,229"
311 Toronto,311 Service Delivery,311 Service Delivery,300A,Equipment,Expenses,"25,357"
311 Toronto,311 Service Delivery,311 Service Delivery,400A,Service And Rent,Expenses,"1,621,425"
311 Toronto,311 Service Delivery,311 Service Delivery,700A,Inter-Divisional Charges,Expenses,"194,277"
311 Toronto,TO-311 Development,311 PMO,100A,Salaries And Benefits,Expenses,"2,922,847"
311 Toronto,TO-311 Development,311 PMO,200A,Materials & Supplies,Expenses,"1,239"
311 Toronto,TO-311 Development,311 PMO,400A,Service And Rent,Expenses,"10,455"
311 Toronto,TO-311 Development,311 PMO,510A,Contribution To Reserves/Reserve Funds,Expenses,"25,905"
311 Toronto,TO-311 Information & Business Processing,311 Business Processing,100A,Salaries And Benefits,Expenses,"440,114"
311 Toronto,TO-311 Information & Business Processing,311 Information/ Content Management,100A,Salaries And Benefits,Expenses,"906,748"
311 Toronto,TO-311 Information & Business Processing,311 Information/ Content Management,200A,Materials & Supplies,Expenses,100
311 Toronto,TO-311 Information & Business Processing,311 Information/ Content Management,400A,Service And Rent,Expenses,794
Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,100A,Salaries And Benefits,Expenses,"719,130"
Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,200A,Materials & Supplies,Expenses,"3,848"
Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,300A,Equipment,Expenses,834
Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,400A,Service And Rent,Expenses,"55,559"
Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,510A,Contribution To Reserves/Reserve Funds,Expenses,"1,881"
Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,700A,Inter-Divisional Charges,Expenses,"162,884"
Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,100A,Salaries And Benefits,Expenses,"718,913"
Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,200A,Materials & Supplies,Expenses,"3,850"
Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,300A,Equipment,Expenses,833
Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,400A,Service And Rent,Expenses,"55,562"
Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,510A,Contribution To Reserves/Reserve Funds,Expenses,"1,881"
Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,700A,Inter-Divisional Charges,Expenses,"162,884"
Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,100A,Salaries And Benefits,Expenses,"844,968"
Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,200A,Materials & Supplies,Expenses,"3,853"
Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,300A,Equipment,Expenses,834
Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,400A,Service And Rent,Expenses,"54,091"
Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,510A,Contribution To Reserves/Reserve Funds,Expenses,"1,886"
Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,700A,Inter-Divisional Charges,Expenses,"162,884"
Arena Boards of Management,Community Ice & Facility Booking,Community Ice & Facility Booking,100A,Salaries And Benefits,Expenses,"4,478,873"
Arena Boards of Management,Community Ice & Facility Booking,Community Ice & Facility Booking,200A,Materials & Supplies,Expenses,"2,224,298"
Arena Boards of Management,Community Ice & Facility Booking,Community Ice & Facility Booking,300A,Equipment,Expenses,"44,733"
Arena Boards of Management,Community Ice & Facility Booking,Community Ice & Facility Booking,400A,Service And Rent,Expenses,"1,079,405"
Arena Boards of Management,Community Ice & Facility Booking,Community Ice & Facility Booking,505A,Contribution To Capital,Expenses,"546,370"
Arena Boards of Management,Community Ice & Facility Booking,Community Ice & Facility Booking,510A,Contribution To Reserves/Reserve Funds,Expenses,"270,175"
Association of Community Centres,Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,100A,Salaries And Benefits,Expenses,"6,787,008"
Association of Community Centres,Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,200A,Materials & Supplies,Expenses,"464,950"
Association of Community Centres,Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,300A,Equipment,Expenses,"3,406"
Association of Community Centres,Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,400A,Service And Rent,Expenses,"628,436"
Association of Community Centres,Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,510A,Contribution To Reserves/Reserve Funds,Expenses,"29,231"
Association of Community Centres,Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,650A,Other Expenditures,Expenses,"7,000"
Auditor General's Office,Auditor General's Office,Auditor General's Office,100A,Salaries And Benefits,Expenses,"4,572,464"
Auditor General's Office,Auditor General's Office,Auditor General's Office,200A,Materials & Supplies,Expenses,"16,189"
Auditor General's Office,Auditor General's Office,Auditor General's Office,300A,Equipment,Expenses,"47,126"
Auditor General's Office,Auditor General's Office,Auditor General's Office,400A,Service And Rent,Expenses,"96,833"
Auditor General's Office,Auditor General's Office,Auditor General's Office,510A,Contribution To Reserves/Reserve Funds,Expenses,"7,681"
Auditor General's Office,Auditor General's Office,Auditor General's Office,700A,Inter-Divisional Charges,Expenses,"22,272"
Capital & Corporate Financing,Corporate Accounts,Corporate Accounts,505A,Contribution To Capital,Expenses,"216,379,465"
Capital & Corporate Financing,Corporate Accounts,Corporate Accounts,510A,Contribution To Reserves/Reserve Funds,Expenses,"18,911,638"
Capital & Corporate Financing,Corporate Accounts,Corporate Accounts,650A,Other Expenditures,Expenses,"486,164,265"
Capital & Corporate Financing,Corporate Accounts,Corporate Accounts,700A,Inter-Divisional Charges,Expenses,"978,187"
Children's Services,Child Care Delivery,Child Care Delivery,100A,Salaries And Benefits,Expenses,"78,439,654"
Children's Services,Child Care Delivery,Child Care Delivery,200A,Materials & Supplies,Expenses,"2,596,160"
Children's Services,Child Care Delivery,Child Care Delivery,300A,Equipment,Expenses,"686,870"
Children's Services,Child Care Delivery,Child Care Delivery,400A,Service And Rent,Expenses,"275,537,224"
Children's Services,Child Care Delivery,Child Care Delivery,510A,Contribution To Reserves/Reserve Funds,Expenses,"952,319"
Children's Services,Child Care Delivery,Child Care Delivery,650A,Other Expenditures,Expenses,"733,870"
Children's Services,Child Care Delivery,Child Care Delivery,700A,Inter-Divisional Charges,Expenses,"4,626,704"
Children's Services,Child Care System Management,Child Care System Management,100A,Salaries And Benefits,Expenses,"5,884,060"
Children's Services,Child Care System Management,Child Care System Management,200A,Materials & Supplies,Expenses,"42,949"
Children's Services,Child Care System Management,Child Care System Management,300A,Equipment,Expenses,"54,642"
Children's Services,Child Care System Management,Child Care System Management,400A,Service And Rent,Expenses,"80,919,808"
Children's Services,Child Care System Management,Child Care System Management,510A,Contribution To Reserves/Reserve Funds,Expenses,"328,430"
Children's Services,Child Care System Management,Child Care System Management,650A,Other Expenditures,Expenses,"(7,270)"
Children's Services,Child Care System Management,Child Care System Management,700A,Inter-Divisional Charges,Expenses,"169,688"
City Clerk's Office,GV-Elect Government,Elections,100A,Salaries And Benefits,Expenses,"4,288,942"
City Clerk's Office,GV-Elect Government,Elections,200A,Materials & Supplies,Expenses,"22,004"
City Clerk's Office,GV-Elect Government,Elections,300A,Equipment,Expenses,"7,000"
City Clerk's Office,GV-Elect Government,Elections,400A,Service And Rent,Expenses,"953,001"
City Clerk's Office,GV-Elect Government,Elections,650A,Other Expenditures,Expenses,254
City Clerk's Office,GV-Elect Government,Elections,700A,Inter-Divisional Charges,Expenses,"308,962"
City Clerk's Office,GV-Make Government Work,Deliver Provincially Delegated Services,100A,Salaries And Benefits,Expenses,"1,987,131"
City Clerk's Office,GV-Make Government Work,Deliver Provincially Delegated Services,200A,Materials & Supplies,Expenses,"17,707"
City Clerk's Office,GV-Make Government Work,Deliver Provincially Delegated Services,300A,Equipment,Expenses,"1,250"
City Clerk's Office,GV-Make Government Work,Deliver Provincially Delegated Services,400A,Service And Rent,Expenses,"31,884"
City Clerk's Office,GV-Make Government Work,Deliver Provincially Delegated Services,650A,Other Expenditures,Expenses,"31,017"
City Clerk's Office,GV-Make Government Work,Deliver Provincially Delegated Services,700A,Inter-Divisional Charges,Expenses,"8,500"
City Clerk's Office,GV-Make Government Work,Government & Official Services,100A,Salaries And Benefits,Expenses,"8,821,775"
City Clerk's Office,GV-Make Government Work,Government & Official Services,200A,Materials & Supplies,Expenses,"66,883"
City Clerk's Office,GV-Make Government Work,Government & Official Services,300A,Equipment,Expenses,"37,292"
City Clerk's Office,GV-Make Government Work,Government & Official Services,400A,Service And Rent,Expenses,"166,592"
City Clerk's Office,GV-Make Government Work,Government & Official Services,510A,Contribution To Reserves/Reserve Funds,Expenses,"187,709"
City Clerk's Office,GV-Make Government Work,Government & Official Services,700A,Inter-Divisional Charges,Expenses,"54,711"
