311 Toronto,311 Performance Reporting,311 Performance Reporting,100A,Salaries And Benefits,Expenses,240032
311 Toronto,311 Performance Reporting,311 Performance Reporting,200A,Materials & Supplies,Expenses,20
311 Toronto,311 Performance Reporting,311 Performance Reporting,400A,Service And Rent,Expenses,37
311 Toronto,311 Service Delivery,311 Service Delivery,100A,Salaries And Benefits,Expenses,10903058
311 Toronto,311 Service Delivery,311 Service Delivery,200A,Materials & Supplies,Expenses,8229
311 Toronto,311 Service Delivery,311 Service Delivery,300A,Equipment,Expenses,25357
311 Toronto,311 Service Delivery,311 Service Delivery,400A,Service And Rent,Expenses,1621425
311 Toronto,311 Service Delivery,311 Service Delivery,700A,Inter-Divisional Charges,Expenses,194277
311 Toronto,TO-311 Development,311 PMO,100A,Salaries And Benefits,Expenses,2922847
311 Toronto,TO-311 Development,311 PMO,200A,Materials & Supplies,Expenses,1239
311 Toronto,TO-311 Development,311 PMO,400A,Service And Rent,Expenses,10455
311 Toronto,TO-311 Development,311 PMO,510A,Contribution To Reserves/Reserve Funds,Expenses,25905
311 Toronto,TO-311 Information & Business Processing,311 Business Processing,100A,Salaries And Benefits,Expenses,440114
311 Toronto,TO-311 Information & Business Processing,311 Information/ Content Management,100A,Salaries And Benefits,Expenses,906748
311 Toronto,TO-311 Information & Business Processing,311 Information/ Content Management,200A,Materials & Supplies,Expenses,100
311 Toronto,TO-311 Information & Business Processing,311 Information/ Content Management,400A,Service And Rent,Expenses,794
Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,100A,Salaries And Benefits,Expenses,719130
Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,200A,Materials & Supplies,Expenses,3848
Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,300A,Equipment,Expenses,834
Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,400A,Service And Rent,Expenses,55559
Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,510A,Contribution To Reserves/Reserve Funds,Expenses,1881
Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,700A,Inter-Divisional Charges,Expenses,162884
Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,100A,Salaries And Benefits,Expenses,718913
Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,200A,Materials & Supplies,Expenses,3850
Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,300A,Equipment,Expenses,833
Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,400A,Service And Rent,Expenses,55562
Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,510A,Contribution To Reserves/Reserve Funds,Expenses,1881
Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,700A,Inter-Divisional Charges,Expenses,162884
Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,100A,Salaries And Benefits,Expenses,844968
Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,200A,Materials & Supplies,Expenses,3853
Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,300A,Equipment,Expenses,834
Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,400A,Service And Rent,Expenses,54091
Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,510A,Contribution To Reserves/Reserve Funds,Expenses,1886
Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,700A,Inter-Divisional Charges,Expenses,162884
Arena Boards of Management,Community Ice & Facility Booking,Community Ice & Facility Booking,100A,Salaries And Benefits,Expenses,4478873
Arena Boards of Management,Community Ice & Facility Booking,Community Ice & Facility Booking,200A,Materials & Supplies,Expenses,2224298
Arena Boards of Management,Community Ice & Facility Booking,Community Ice & Facility Booking,300A,Equipment,Expenses,44733
Arena Boards of Management,Community Ice & Facility Booking,Community Ice & Facility Booking,400A,Service And Rent,Expenses,1079405
Arena Boards of Management,Community Ice & Facility Booking,Community Ice & Facility Booking,505A,Contribution To Capital,Expenses,546370
Arena Boards of Management,Community Ice & Facility Booking,Community Ice & Facility Booking,510A,Contribution To Reserves/Reserve Funds,Expenses,270175
Association of Community Centres,Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,100A,Salaries And Benefits,Expenses,6787008
Association of Community Centres,Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,200A,Materials & Supplies,Expenses,464950
Association of Community Centres,Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,300A,Equipment,Expenses,3406
Association of Community Centres,Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,400A,Service And Rent,Expenses,628436
Association of Community Centres,Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,510A,Contribution To Reserves/Reserve Funds,Expenses,29231
Association of Community Centres,Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,650A,Other Expenditures,Expenses,7000
Auditor General's Office,Auditor General's Office,Auditor General's Office,100A,Salaries And Benefits,Expenses,4572464
Auditor General's Office,Auditor General's Office,Auditor General's Office,200A,Materials & Supplies,Expenses,16189
Auditor General's Office,Auditor General's Office,Auditor General's Office,300A,Equipment,Expenses,47126
Auditor General's Office,Auditor General's Office,Auditor General's Office,400A,Service And Rent,Expenses,96833
Auditor General's Office,Auditor General's Office,Auditor General's Office,510A,Contribution To Reserves/Reserve Funds,Expenses,7681
Auditor General's Office,Auditor General's Office,Auditor General's Office,700A,Inter-Divisional Charges,Expenses,22272
Capital & Corporate Financing,Corporate Accounts,Corporate Accounts,505A,Contribution To Capital,Expenses,216379465
Capital & Corporate Financing,Corporate Accounts,Corporate Accounts,510A,Contribution To Reserves/Reserve Funds,Expenses,18911638
Capital & Corporate Financing,Corporate Accounts,Corporate Accounts,650A,Other Expenditures,Expenses,486164265
Capital & Corporate Financing,Corporate Accounts,Corporate Accounts,700A,Inter-Divisional Charges,Expenses,978187
Children's Services,Child Care Delivery,Child Care Delivery,100A,Salaries And Benefits,Expenses,78439654
Children's Services,Child Care Delivery,Child Care Delivery,200A,Materials & Supplies,Expenses,2596160
Children's Services,Child Care Delivery,Child Care Delivery,300A,Equipment,Expenses,686870
Children's Services,Child Care Delivery,Child Care Delivery,400A,Service And Rent,Expenses,275537224
Children's Services,Child Care Delivery,Child Care Delivery,510A,Contribution To Reserves/Reserve Funds,Expenses,952319
Children's Services,Child Care Delivery,Child Care Delivery,650A,Other Expenditures,Expenses,733870
Children's Services,Child Care Delivery,Child Care Delivery,700A,Inter-Divisional Charges,Expenses,4626704
Children's Services,Child Care System Management,Child Care System Management,100A,Salaries And Benefits,Expenses,5884060
Children's Services,Child Care System Management,Child Care System Management,200A,Materials & Supplies,Expenses,42949
Children's Services,Child Care System Management,Child Care System Management,300A,Equipment,Expenses,54642
Children's Services,Child Care System Management,Child Care System Management,400A,Service And Rent,Expenses,80919808
Children's Services,Child Care System Management,Child Care System Management,510A,Contribution To Reserves/Reserve Funds,Expenses,328430
Children's Services,Child Care System Management,Child Care System Management,650A,Other Expenditures,Expenses,-7270
Children's Services,Child Care System Management,Child Care System Management,700A,Inter-Divisional Charges,Expenses,169688
City Clerk's Office,GV-Elect Government,Elections,100A,Salaries And Benefits,Expenses,4288942
City Clerk's Office,GV-Elect Government,Elections,200A,Materials & Supplies,Expenses,22004
City Clerk's Office,GV-Elect Government,Elections,300A,Equipment,Expenses,7000
City Clerk's Office,GV-Elect Government,Elections,400A,Service And Rent,Expenses,953001
City Clerk's Office,GV-Elect Government,Elections,650A,Other Expenditures,Expenses,254
City Clerk's Office,GV-Elect Government,Elections,700A,Inter-Divisional Charges,Expenses,308962
City Clerk's Office,GV-Make Government Work,Deliver Provincially Delegated Services,100A,Salaries And Benefits,Expenses,1987131
City Clerk's Office,GV-Make Government Work,Deliver Provincially Delegated Services,200A,Materials & Supplies,Expenses,17707
City Clerk's Office,GV-Make Government Work,Deliver Provincially Delegated Services,300A,Equipment,Expenses,1250
City Clerk's Office,GV-Make Government Work,Deliver Provincially Delegated Services,400A,Service And Rent,Expenses,31884
City Clerk's Office,GV-Make Government Work,Deliver Provincially Delegated Services,650A,Other Expenditures,Expenses,31017
City Clerk's Office,GV-Make Government Work,Deliver Provincially Delegated Services,700A,Inter-Divisional Charges,Expenses,8500
City Clerk's Office,GV-Make Government Work,Government & Official Services,100A,Salaries And Benefits,Expenses,8821775
City Clerk's Office,GV-Make Government Work,Government & Official Services,200A,Materials & Supplies,Expenses,66883
City Clerk's Office,GV-Make Government Work,Government & Official Services,300A,Equipment,Expenses,37292
City Clerk's Office,GV-Make Government Work,Government & Official Services,400A,Service And Rent,Expenses,166592
City Clerk's Office,GV-Make Government Work,Government & Official Services,510A,Contribution To Reserves/Reserve Funds,Expenses,187709
City Clerk's Office,GV-Make Government Work,Government & Official Services,700A,Inter-Divisional Charges,Expenses,54711
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,100A,Salaries And Benefits,Expenses,7086927
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,200A,Materials & Supplies,Expenses,23184
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,300A,Equipment,Expenses,3444
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,400A,Service And Rent,Expenses,608954
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,700A,Inter-Divisional Charges,Expenses,632349
City Clerk's Office,GV-Open Government,Corporate Information Production Services,100A,Salaries And Benefits,Expenses,6510987
