311 Toronto,Interdivisional Recoveries,5107.9,
311 Toronto,Provincial Subsidies,,
311 Toronto,Federal Subsidies,,
311 Toronto,Other Subsidies,,
311 Toronto,User Fees & Donations,,
311 Toronto,Transfers from Capital Fund,4358.7,
311 Toronto,Contribution from Reserve Funds,,
311 Toronto,Contribution from Reserve ,,
311 Toronto,Sundry Revenues,,
Association of Community Centres,Interdivisional Recoveries, ,
Association of Community Centres,Provincial Subsidies,,
Association of Community Centres,Federal Subsidies,,
Association of Community Centres,Other Subsidies,,
Association of Community Centres,User Fees & Donations,192.4,
Association of Community Centres,Transfers from Capital Fund, ,
Association of Community Centres,Contribution from Reserve Funds,,
Association of Community Centres,Contribution from Reserve ,9.3,
Association of Community Centres,Sundry Revenues, ,
Affordable Housing Office,Interdivisional Recoveries,238.3,
Affordable Housing Office,Provincial Subsidies,625,
Affordable Housing Office,Federal Subsidies,,
Affordable Housing Office,Other Subsidies,,
Affordable Housing Office,User Fees & Donations,300,
Affordable Housing Office,Transfers from Capital Fund,,
Affordable Housing Office,Contribution from Reserve Funds,444.5,
Affordable Housing Office,Contribution from Reserve ,,
Affordable Housing Office,Sundry Revenues,,
Arena Boards of Management,Interdivisional Recoveries (Leaside Pool),259.624,
Arena Boards of Management,Provincial Subsidies,,
Arena Boards of Management,Federal Subsidies,,
Arena Boards of Management,Other Subsidies,,
Arena Boards of Management,User Fees & Donations,5315.492,
Arena Boards of Management,Transfers from Capital Fund,,
Arena Boards of Management,Contribution from Reserve Funds,,
Arena Boards of Management,Contribution from Reserve ,,
Arena Boards of Management,Sundry Revenues,966.944,
Auditor General's Office,Salaries and Benefits,3749.1,
Auditor General's Office,Materials and Supplies,14.96,
Auditor General's Office,Equipment,7.5,
Auditor General's Office,Services & Rents,393.5,
Auditor General's Office,Contributions to Capital,,
Auditor General's Office,Contributions to Reserve/Res Funds,6.5,
Auditor General's Office,Other Expenditures,,
Auditor General's Office,Interdivisional Charges,22.27,
Children's Services,Interdivisional Recoveries,10300,
Children's Services,Provincial Subsidies,267449.3,
Children's Services,Federal Subsidies,,
Children's Services,Other Subsidies,,
Children's Services,User Fees & Donations,15871.5,
Children's Services,Transfers from Capital Fund,,
Children's Services,Contribution from Reserve Funds,20008.8,
Children's Services,Contribution from Reserve ,,
Children's Services,Sundry Revenues,,
Office of the Chief Financial Officer,Interdivisional Recoveries,2052.8,
Office of the Chief Financial Officer,Provincial Subsidies,,
Office of the Chief Financial Officer,Federal Subsidies,,
Office of the Chief Financial Officer,Other Subsidies,,
