311 Toronto,Interdivisional Recoveries,2609.9,3898.3,4291.7,4291.7,5107.9
312 Toronto,Provincial Subsidies,62,20,,,
313 Toronto,Federal Subsidies,,,,,
314 Toronto,Other Subsidies,,,,,
315 Toronto,User Fees & Donations,0.7,0.1,,,
316 Toronto,Transfers from Capital Fund,1639.5,2170.2,4056.3,2064.6,4358.7
317 Toronto,Contribution from Reserve Funds,,,,,
318 Toronto,Contribution from Reserve ,,,,,
319 Toronto,Sundry Revenues,,,,,
Association of Community Centres,Interdivisional Recoveries, , , , , 
Association of Community Centres,Provincial Subsidies, , ,,,
Association of Community Centres,Federal Subsidies,,,,,
Association of Community Centres,Other Subsidies,,,,,
Association of Community Centres,User Fees & Donations,201.7,220.1,179.8,179.8,192.4
Association of Community Centres,Transfers from Capital Fund, , , , , 
Association of Community Centres,Contribution from Reserve Funds,,,,,
Association of Community Centres,Contribution from Reserve ,8.5,8.6,9.3,9.3,9.3
Association of Community Centres,Sundry Revenues, , , , , 
Affordable Housing Office,Interdivisional Recoveries,210.7,153.8,221.8,193.6,238.3
Affordable Housing Office,Provincial Subsidies,484.8,475,676,500.1,625
Affordable Housing Office,Federal Subsidies,,,,,
Affordable Housing Office,Other Subsidies,,,,,
Affordable Housing Office,User Fees & Donations,433.1,397.3,300,338.3,300
Affordable Housing Office,Transfers from Capital Fund,,270,270,232.9,
Affordable Housing Office,Contribution from Reserve Funds,169.6,141.1,420.4,,444.5
Affordable Housing Office,Contribution from Reserve ,,,,,
Affordable Housing Office,Sundry Revenues,,,,,
Arena Boards of Management,Interdivisional Recoveries (Leaside Pool),196.471,200.211,250.192,207.096,259.624
Arena Boards of Management,Provincial Subsidies,,,,,
Arena Boards of Management,Federal Subsidies,,,,,
Arena Boards of Management,Other Subsidies,,,,,
Arena Boards of Management,User Fees & Donations,4862.103,5094.938,5176.211,5263.798,5315.492
Arena Boards of Management,Transfers from Capital Fund,,,,,
Arena Boards of Management,Contribution from Reserve Funds,,,,,
Arena Boards of Management,Contribution from Reserve ,,,,,
Arena Boards of Management,Sundry Revenues,965.537,958.346,975.306,919.253,966.944
Auditor General's Office,Salaries and Benefits,3566.5,3815.4,3844.5,3826.1,3749.1
Auditor General's Office,Materials and Supplies,9.861,8.7,15.7,6.1,14.96
Auditor General's Office,Equipment,6.5,8.8,7.8,5.4,7.5
Auditor General's Office,Services & Rents,534.86,548,386.6,332.2,393.5
Auditor General's Office,Contributions to Capital,,,,,
Auditor General's Office,Contributions to Reserve/Res Funds,7.95,6.4,6.4,6.5,6.5
Auditor General's Office,Other Expenditures,,,,,
Auditor General's Office,Interdivisional Charges,23,23.1,22.1,21.4,22.27
Children's Services,Interdivisional Recoveries,8202.4,14021.6,10400,9887.6,10300
Children's Services,Provincial Subsidies,262478.5,262540.3,264448.1,264345.3,267449.3
Children's Services,Federal Subsidies,,,,,
Children's Services,Other Subsidies,,,,,
