311 Toronto, Interdivisional Recoveries ,5260.8
311 Toronto, Provincial Subsidies ,
311 Toronto, Federal Subsidies ,
311 Toronto, Other Subsidies ,
311 Toronto, User Fees & Donations ,
311 Toronto, Transfers from Capital Fund ,3158.6
311 Toronto, Contribution from Reserve Funds ,
311 Toronto, Contribution from Reserve  ,
311 Toronto, Sundry Revenues ,
Accountability Offices - Auditor General, Interdivisional Recoveries ,0
Accountability Offices - Auditor General, Provincial Subsidies ,0
Accountability Offices - Auditor General, Federal Subsidies ,0
Accountability Offices - Auditor General, Other Subsidies ,0
Accountability Offices - Auditor General, User Fees & Donations ,0
Accountability Offices - Auditor General, Transfers from Capital Fund ,0
Accountability Offices - Auditor General, Contribution from Reserve Funds ,0
Accountability Offices - Auditor General, Contribution from Reserve  ,0
Accountability Offices - Auditor General, Sundry Revenues ,0
Accountability Offices - Integrity Commissioner, Interdivisional Recoveries ,0
Accountability Offices - Integrity Commissioner, Provincial Subsidies ,0
Accountability Offices - Integrity Commissioner, Federal Subsidies ,0
Accountability Offices - Integrity Commissioner, Other Subsidies ,0
Accountability Offices - Integrity Commissioner, User Fees & Donations ,0
Accountability Offices - Integrity Commissioner, Transfers from Capital Fund ,0
Accountability Offices - Integrity Commissioner, Contribution from Reserve Funds ,0
Accountability Offices - Integrity Commissioner, Contribution from Reserve  ,0
Accountability Offices - Integrity Commissioner, Sundry Revenues ,0
Accountability Offices - Lobbyist Registrar, Interdivisional Recoveries ,0
Accountability Offices - Lobbyist Registrar, Provincial Subsidies ,0
Accountability Offices - Lobbyist Registrar, Federal Subsidies ,0
Accountability Offices - Lobbyist Registrar, Other Subsidies ,0
Accountability Offices - Lobbyist Registrar, User Fees & Donations ,0
Accountability Offices - Lobbyist Registrar, Transfers from Capital Fund ,0
Accountability Offices - Lobbyist Registrar, Contribution from Reserve Funds ,0
Accountability Offices - Lobbyist Registrar, Contribution from Reserve  ,0
Accountability Offices - Lobbyist Registrar, Sundry Revenues ,9
Association of Community Centres, Interdivisional Recoveries ,
Association of Community Centres, Provincial Subsidies ,
Association of Community Centres, Federal Subsidies ,
Association of Community Centres, Other Subsidies ,
Association of Community Centres, User Fees & Donations ,254.7
Association of Community Centres, Transfers from Capital Fund ,
Association of Community Centres, Contribution from Reserve Funds ,
Association of Community Centres, Contribution from Reserve  ,
Association of Community Centres, Sundry Revenues ,9.3
Affordable Housing Office,Interdivisional Recoveries,121.044
Affordable Housing Office,Provincial Subsidies,735
Affordable Housing Office,Federal Subsidies,250
Affordable Housing Office,Other Subsidies,0
Affordable Housing Office,User Fees & Donations,0
Affordable Housing Office,Transfers from Capital Fund,0
Affordable Housing Office,Contribution from Reserve/Res Funds,327.4
Affordable Housing Office,Other Revenues,0
Association of Community Centres,Interdivisional Recoveries,
Association of Community Centres,Provincial Subsidies,
Association of Community Centres,Federal Subsidies,
Association of Community Centres,Other Subsidies,
Association of Community Centres,User Fees & Donations,254.7
Association of Community Centres,Transfers from Capital Fund,
Association of Community Centres,Contribution from Reserve Funds,
Association of Community Centres,Contribution from Reserve ,
Association of Community Centres,Sundry Revenues,9.3
Arena Boards of Management, Interdivisional Recoveries ,0
Arena Boards of Management, Provincial Subsidies ,0
Arena Boards of Management, Federal Subsidies ,0
Arena Boards of Management, Other Subsidies ,0
Arena Boards of Management, User Fees & Donations ,5699.7
Arena Boards of Management, Transfers from Capital Fund ,0
Arena Boards of Management, Contribution from Reserve Funds ,43.6
Arena Boards of Management, Contribution from Reserve  ,0
Arena Boards of Management, Sundry Revenues ,994.9
Children's Services,Interdivisional Recoveries,10200
Children's Services,Provincial Subsidies,268976.7
Children's Services,Federal Subsidies,0
Children's Services,Other Subsidies,0
Children's Services,User Fees & Donations,16844.5
Children's Services,Transfers from Capital Fund,1027
Children's Services,Contribution from Reserve/Res Funds,19641
Children's Services,Other Revenues,0
City Clerk's Office,Interdivisional Recoveries,11757.7
City Clerk's Office,Provincial Subsidies,
City Clerk's Office,Federal Subsidies,5
City Clerk's Office,Other Subsidies,
City Clerk's Office,User Fees & Donations,847.4
City Clerk's Office,Transfers from Capital Fund,1210
City Clerk's Office,Contribution from Reserve Funds,4587.7
City Clerk's Office,Contribution from Reserve ,
City Clerk's Office,Sundry Revenues,387.7
City Council,Interdivisional Recoveries,
City Council,Provincial Subsidies,
City Council,Federal Subsidies,
City Council,Other Subsidies,
City Council,User Fees & Donations,
City Council,Transfers from Capital Fund,
City Council,Contribution from Reserve Funds,
City Council,Contribution from Reserve ,
City Council,Sundry Revenues,
City Manager's Office,Interdivisional Recoveries,5117.887
City Manager's Office,Provincial Subsidies,
City Manager's Office,Federal Subsidies,
City Manager's Office,Other Subsidies,
City Manager's Office,User Fees & Donations,15.9
City Manager's Office,Transfers from Capital Fund,2990.433
City Manager's Office,Contribution from Reserve Funds,
City Manager's Office,Contribution from Reserve ,
City Manager's Office,Sundry Revenues,373.6
City Planning,Interdivisional Recoveries,
City Planning,Provincial Subsidies,
City Planning,Federal Subsidies,
City Planning,Other Subsidies,
City Planning,User Fees & Donations,21725.35
City Planning,Transfers from Capital Fund,2544.487
City Planning,Contribution from Reserve / Reserve Funds,150
City Planning,Sundry Revenues,1013.011
Court Services,Interdivisional Recoveries,5149.09693
Court Services,Provincial Subsidies,
Court Services,Federal Subsidies,
Court Services,Other Subsidies,
Court Services,User Fees & Donations,432
Court Services,Transfers from Capital Fund,
Court Services,Contribution from Reserve Funds,338.78299
Court Services,Contribution from Reserve ,
Court Services,Sundry Revenues,60309.16594
Economic Development & Culture,Interdivisional Recoveries,
Economic Development & Culture,Provincial Subsidies,482.7
Economic Development & Culture,Federal Subsidies,139.2
Economic Development & Culture,Other Subsidies,92.5
Economic Development & Culture,User Fees & Donations,1890.944
Economic Development & Culture,Transfers from Capital Fund,1036
Economic Development & Culture,Contribution from Reserve Funds,650
Economic Development & Culture,Contribution from Reserve ,
Economic Development & Culture,Sundry Revenues,5173.736
Emergency Medical Services,Interdivisional Recoveries,836.1
Emergency Medical Services,Provincial Subsidies,101949.8
Emergency Medical Services,Federal Subsidies,
Emergency Medical Services,Other Subsidies,
Emergency Medical Services,User Fees & Donations,572.58
Emergency Medical Services,Transfers from Capital Fund,159.5
Emergency Medical Services,Contribution from Reserve Funds,
Emergency Medical Services,Contribution from Reserve ,
Emergency Medical Services,Sundry Revenues,987.5
Exhibition Place,Interdivisional Recoveries,
Exhibition Place,Grants from others,
Exhibition Place,Other Subsidies,
Exhibition Place,User Fees & Donations,62293.3
Exhibition Place,Transfers from Capital Fund,
Exhibition Place,Contribution from Reserve Funds,129
Exhibition Place,Contrib. from CCRF (Sportsman Show),100
Exhibition Place,Contrib. from CCRF (Allstream)),1080
Exhibition Place,Naming Rights (CCRF),1168
Facilities Management and Real Estate,Interdivisional Recoveries,52991.713
Facilities Management and Real Estate,Provincial Subsidies, 
Facilities Management and Real Estate,Federal Subsidies,220.5
Facilities Management and Real Estate,Other Subsidies, 
Facilities Management and Real Estate,User Fees & Donations,39659.636
Facilities Management and Real Estate,Transfers from Capital Fund,10992.81
Facilities Management and Real Estate,Contribution from Reserve Funds,9890.16
Facilities Management and Real Estate,Contribution from Reserve , 
Facilities Management and Real Estate,Sundry Revenues,9229.318
Fire Services,Interdivisional Recoveries,369.64
Fire Services,Provincial Subsidies,400
Fire Services,Federal Subsidies,0
Fire Services,Other Subsidies,0
Fire Services,User Fees & Donations,14354.24
Fire Services,Transfers from Capital Fund,0
Fire Services,Contribution from Reserve Funds,0
Fire Services,Contribution from Reserve ,0
Fire Services,Sundry Revenues,8
Fleet Services,Interdivisional Recoveries,45941.4
Fleet Services,Provincial Subsidies,
Fleet Services,Federal Subsidies,
Fleet Services,Other Subsidies,
Fleet Services,User Fees & Donations,
Fleet Services,Transfers from Capital Fund,136.3
Fleet Services,Contribution from Reserve Funds,
Fleet Services,Contribution from Reserve ,
Fleet Services,Sundry Revenues,1390.6
Heritage Toronto,Interdivisional Recoveries,
Heritage Toronto,Provincial Subsidies,
Heritage Toronto,Federal Subsidies,147
Heritage Toronto,Other Subsidies,
Heritage Toronto,User Fees & Donations,270.4
Heritage Toronto,Transfers from Capital Fund,
Heritage Toronto,Contribution from Reserve Funds,
Heritage Toronto,Contribution from Reserve ,
Heritage Toronto,Sundry Revenues,151.6
Heritage Toronto,Required Adjustments,
Information and Technology,Interdivisional Recoveries,13457.02458
Information and Technology,Provincial Subsidies,
Information and Technology,Federal Subsidies,
Information and Technology,Other Subsidies,
Information and Technology,User Fees & Donations,170.4
Information and Technology,Transfers from Capital Fund,16462.73246
Information and Technology,Contribution from Reserve Funds,
Information and Technology,Contribution from Reserve ,2388
Information and Technology,Sundry Revenues,721.21113
Legal Services,Interdivisional Recoveries,18380.27045
Legal Services,Provincial Subsidies,
Legal Services,Federal Subsidies,
Legal Services,Other Subsidies,
Legal Services,User Fees & Donations,1740.4
Legal Services,Transfers from Capital Fund,607.69166
Legal Services,Contribution from Reserve Funds,300
Legal Services,Contribution from Reserve ,
Legal Services,Legal Fee Rec - 3rd Party,165.4
Legal Services,Other Revenues,2023.673
Long Term Care Homes and Services,Interdivisional Recoveries,127.9
Long Term Care Homes and Services,Provincial Subsidies,130316.2
Long Term Care Homes and Services,Federal Subsidies,
Long Term Care Homes and Services,Other Subsidies,
Long Term Care Homes and Services,User Fees & Donations,48631.2
Long Term Care Homes and Services,Transfers from Capital Fund,260
Long Term Care Homes and Services,Contribution from Reserve Funds,
Long Term Care Homes and Services,Contribution from Reserve ,
Long Term Care Homes and Services,Sundry Revenues,150
Municipal Licensing and Standards,Interdivisional Recoveries,1595.1
Municipal Licensing and Standards,Provincial Subsidies,
Municipal Licensing and Standards,Federal Subsidies,
Municipal Licensing and Standards,Other Subsidies,
Municipal Licensing and Standards,User Fees & Donations,3171.1
Municipal Licensing and Standards,Transfers from Capital Fund,
