Program,Category,Category Name,Expense/Revenue,Sum - 2014
311 Toronto,750A,Inter-Divisional Recoveries,Revenues,"(5,046,320)"
311 Toronto,920A,Transfers From Capital,Revenues,"(2,469,287)"
311 Toronto,940A,Sundry and Other Revenues,Revenues,0
Affordable Housing Office,750A,Inter-Divisional Recoveries,Revenues,"(122,653)"
Affordable Housing Office,805A,Provincial Subsidies,Revenues,"(1,026,700)"
Affordable Housing Office,930A,Contribution From Reserves/Reserve Funds,Revenues,"(399,000)"
Arena Boards of Management,850A,User Fees & Donations,Revenues,"(7,271,235)"
Arena Boards of Management,940A,Sundry and Other Revenues,Revenues,"(992,168)"
Association of Community Centres,850A,User Fees & Donations,Revenues,"(281,700)"
Association of Community Centres,930A,Contribution From Reserves/Reserve Funds,Revenues,"(339,489)"
Association of Community Centres,940A,Sundry and Other Revenues,Revenues,"(1,500)"
Capital & Corporate Financing,750A,Inter-Divisional Recoveries,Revenues,"(2,874,457)"
Capital & Corporate Financing,805A,Provincial Subsidies,Revenues,"(1,431,000)"
Capital & Corporate Financing,930A,Contribution From Reserves/Reserve Funds,Revenues,"(29,570,000)"
Capital & Corporate Financing,940A,Sundry and Other Revenues,Revenues,"(2,319,222)"
Children's Services,750A,Inter-Divisional Recoveries,Revenues,"(10,200,000)"
Children's Services,805A,Provincial Subsidies,Revenues,"(298,298,770)"
Children's Services,850A,User Fees & Donations,Revenues,"(19,037,500)"
Children's Services,920A,Transfers From Capital,Revenues,"(1,561,500)"
Children's Services,930A,Contribution From Reserves/Reserve Funds,Revenues,"(15,919,025)"
City Clerk's Office,750A,Inter-Divisional Recoveries,Revenues,"(9,846,652)"
City Clerk's Office,850A,User Fees & Donations,Revenues,"(572,888)"
City Clerk's Office,920A,Transfers From Capital,Revenues,"(1,154,000)"
City Clerk's Office,930A,Contribution From Reserves/Reserve Funds,Revenues,"(15,580,192)"
City Clerk's Office,940A,Sundry and Other Revenues,Revenues,"(910,782)"
City Council,930A,Contribution From Reserves/Reserve Funds,Revenues,"(2,330,000)"
City Manager's Office,750A,Inter-Divisional Recoveries,Revenues,"(3,707,520)"
City Manager's Office,810A,Federal Subsidies,Revenues,"(17,850)"
City Manager's Office,850A,User Fees & Donations,Revenues,"(15,900)"
City Manager's Office,920A,Transfers From Capital,Revenues,"(4,151,873)"
City Manager's Office,930A,Contribution From Reserves/Reserve Funds,Revenues,"(698,000)"
City Manager's Office,940A,Sundry and Other Revenues,Revenues,"(158,633)"
City Planning,850A,User Fees & Donations,Revenues,"(21,898,094)"
City Planning,920A,Transfers From Capital,Revenues,"(2,278,563)"
City Planning,930A,Contribution From Reserves/Reserve Funds,Revenues,"(924,032)"
City Planning,940A,Sundry and Other Revenues,Revenues,"(898,350)"
Court Services,750A,Inter-Divisional Recoveries,Revenues,"(5,445,342)"
Court Services,850A,User Fees & Donations,Revenues,"(378,291)"
Court Services,940A,Sundry and Other Revenues,Revenues,"(61,773,822)"
Economic Development & Culture,805A,Provincial Subsidies,Revenues,"(3,050,200)"
Economic Development & Culture,810A,Federal Subsidies,Revenues,"(1,181,672)"
Economic Development & Culture,820A,Other Subsidies,Revenues,"(37,000)"
Economic Development & Culture,850A,User Fees & Donations,Revenues,"(2,437,664)"
Economic Development & Culture,860A,Licences & Permits Revenue,Revenues,"(613,366)"
Economic Development & Culture,920A,Transfers From Capital,Revenues,"(1,036,000)"
Economic Development & Culture,930A,Contribution From Reserves/Reserve Funds,Revenues,"(10,520,934)"
Economic Development & Culture,940A,Sundry and Other Revenues,Revenues,"(4,824,329)"
Engineering & Construction Services,850A,User Fees & Donations,Revenues,"(6,305,601)"
Engineering & Construction Services,860A,Licences & Permits Revenue,Revenues,"(2,301,756)"
Engineering & Construction Services,920A,Transfers From Capital,Revenues,"(46,271,564)"
Engineering & Construction Services,940A,Sundry and Other Revenues,Revenues,"(3,118,647)"
Exhibition Place,850A,User Fees & Donations,Revenues,"(41,946,518)"
