_META_START_,,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OuQUx6TGRpb2trRFE,,,,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuM0VvWDZnRDRVcGc,,,,,
SOURCE_DOCUMENT_TITLE,Budget - Operating Budget Program Summary by Expenditure Category,,,,,
SOURCE_DOCUMENT_TABLE_LOCATION,Data Download,,,,,
SOURCE_DOCUMENT_TABLE_TITLE,Approved Operating Budget Summary 2015,,,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuTVg1aHRKUXFZQVU,,,,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,,,,
YEAR,2015,,,,,
VERSION,PBFT,,,,,
ASPECT,Revenues,,,,,
NOTES_CONTENT,,,,,,
NOTES_SEVERITY,,,,,,
UNITS_NAME,DOLLAR,,,,,
UNITS_MULTIPLIER,0.001,,,,,
INTAKE_DATETIME,,,,,,
INTAKE_OPERATOR_ID,Henrik,,,,,
COLUMNS_CATEGORIES,"Program:NAME, Service:NAME, Activity:NAME, Revenue:CODE, Revenue:NAME",,,,,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE",,,,,
_META_END_,,,,,,
311 Toronto,311 Service Delivery,,750A,Inter-Divisional Recoveries,5293589,
311 Toronto,TO-311 Development,311 PMO,920A,Transfers From Capital,2550477,
Affordable Housing Office,Housing Improvement Loans & Grants,,930A,Contribution From Reserves/Reserve Funds,133000,
Affordable Housing Office,Housing Improvement Loans & Grants,,805A,Provincial Subsidies,348131,
Affordable Housing Office,Housing Policy & Partnerships,,930A,Contribution From Reserves/Reserve Funds,133000,
Affordable Housing Office,Housing Policy & Partnerships,,805A,Provincial Subsidies,349158,
Affordable Housing Office,New Affordable Housing Development,,930A,Contribution From Reserves/Reserve Funds,133000,
Affordable Housing Office,New Affordable Housing Development,,750A,Inter-Divisional Recoveries,125076,
Affordable Housing Office,New Affordable Housing Development,,805A,Provincial Subsidies,348131,
Arena Boards of Management,Community Ice & Facility Booking,,940A,Sundry and Other Revenues,1024225,
Arena Boards of Management,Community Ice & Facility Booking,,850A,User Fees & Donations,7382943,
Association of Community Centres,Public Space - Community Access,,930A,Contribution From Reserves/Reserve Funds,25000,
Association of Community Centres,Social Economic & Neighbourhood Development,,930A,Contribution From Reserves/Reserve Funds,144000,
Association of Community Centres,Social Economic & Neighbourhood Development,,940A,Sundry and Other Revenues,1500,
Association of Community Centres,Social Economic & Neighbourhood Development,,850A,User Fees & Donations,252713,
Capital & Corporate Financing,Corporate Accounts,,930A,Contribution From Reserves/Reserve Funds,51873000,
Capital & Corporate Financing,Corporate Accounts,,750A,Inter-Divisional Recoveries,2777457,
Capital & Corporate Financing,Corporate Accounts,,805A,Provincial Subsidies,1431000,
Capital & Corporate Financing,Corporate Accounts,,940A,Sundry and Other Revenues,2324441,
Children's Services,Child Care Delivery,,930A,Contribution From Reserves/Reserve Funds,12920931,
Children's Services,Child Care Delivery,,750A,Inter-Divisional Recoveries,9475000,
Children's Services,Child Care Delivery,,805A,Provincial Subsidies,253533514,
Children's Services,Child Care Delivery,,920A,Transfers From Capital,1371181,
Children's Services,Child Care Delivery,,850A,User Fees & Donations,19143532,
Children's Services,Child Care System Management,,930A,Contribution From Reserves/Reserve Funds,2718515,
Children's Services,Child Care System Management,,805A,Provincial Subsidies,76136256,
Children's Services,Child Care System Management,,920A,Transfers From Capital,393181,
Children's Services,Child Care System Management,,850A,User Fees & Donations,26068,
City Clerk's Office,GV-Elect Government,Elections,930A,Contribution From Reserves/Reserve Funds,4890510,
City Clerk's Office,GV-Elect Government,Elections,920A,Transfers From Capital,379000,
City Clerk's Office,GV-Make Government Work,Government & Official Services,930A,Contribution From Reserves/Reserve Funds,889000,
City Clerk's Office,GV-Make Government Work,Government & Official Services,750A,Inter-Divisional Recoveries,76249,
City Clerk's Office,GV-Make Government Work,Government & Official Services,920A,Transfers From Capital,714000,
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,750A,Inter-Divisional Recoveries,87500,
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,940A,Sundry and Other Revenues,32556,
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,920A,Transfers From Capital,100000,
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,850A,User Fees & Donations,348938,
City Clerk's Office,GV-Open Government,Corporate Information Production Services,750A,Inter-Divisional Recoveries,8130133,
City Clerk's Office,GV-Open Government,Corporate Information Production Services,940A,Sundry and Other Revenues,625302,
City Clerk's Office,GV-Open Government,Corporate Information Production Services,850A,User Fees & Donations,220010,
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,750A,Inter-Divisional Recoveries,472618,
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,940A,Sundry and Other Revenues,280063,
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,920A,Transfers From Capital,158000,
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,850A,User Fees & Donations,11340,
City Council,,,930A,Contribution From Reserves/Reserve Funds,130000,
City Manager's Office,"CM-Equity, Diversity & Human Rights",Equity & Accessibility,750A,Inter-Divisional Recoveries,2500,
City Manager's Office,CM-Internal Auditing,Audit Reporting,750A,Inter-Divisional Recoveries,568900,
City Manager's Office,CM-Internal Auditing,Audit Reporting,940A,Sundry and Other Revenues,35789,
City Manager's Office,CM-Internal Auditing,Business Risk & Consulting,940A,Sundry and Other Revenues,6316,
City Manager's Office,CM-Strategic & Corporate Policy,Intergovernmental & Agency Relations,750A,Inter-Divisional Recoveries,475192,
City Manager's Office,CM-Strategic & Corporate Policy,Strategic Planning & Policy Development,930A,Contribution From Reserves/Reserve Funds,376342,
City Manager's Office,CM-Strategic Communications,Advertising / Corporate Identity Management,930A,Contribution From Reserves/Reserve Funds,49500,
City Manager's Office,CM-Strategic Communications,Advertising / Corporate Identity Management,750A,Inter-Divisional Recoveries,1142884,
City Manager's Office,CM-Strategic Communications,Internal Communications,930A,Contribution From Reserves/Reserve Funds,49500,
City Manager's Office,CM-Strategic Communications,Media Relations,930A,Contribution From Reserves/Reserve Funds,82500,
City Manager's Office,CM-Strategic Communications,Public Communications,930A,Contribution From Reserves/Reserve Funds,253291,
City Manager's Office,HR Employee & Labour Relations,,750A,Inter-Divisional Recoveries,576876,
City Manager's Office,HR Employee & Labour Relations,,940A,Sundry and Other Revenues,146641,
City Manager's Office,HR Employee & Labour Relations,,920A,Transfers From Capital,413479,
City Manager's Office,HR Employment Services,,750A,Inter-Divisional Recoveries,1565191,
City Manager's Office,HR Employment Services,,920A,Transfers From Capital,413479,
City Manager's Office,HR Organizational & Employee Effectiveness,,930A,Contribution From Reserves/Reserve Funds,190000,
City Manager's Office,HR Organizational & Employee Effectiveness,,750A,Inter-Divisional Recoveries,293177,
City Manager's Office,HR Organizational & Employee Effectiveness,,920A,Transfers From Capital,1082956,
City Manager's Office,HR Safe & Healthy Workplaces,,750A,Inter-Divisional Recoveries,237688,
City Manager's Office,HR Safe & Healthy Workplaces,,920A,Transfers From Capital,413479,
City Planning,City Building & Policy Development,,940A,Sundry and Other Revenues,810300,
City Planning,City Building & Policy Development,,920A,Transfers From Capital,2372893,
City Planning,City Building & Policy Development,,850A,User Fees & Donations,127640,
City Planning,"Development Review, Decision & Implementation",,940A,Sundry and Other Revenues,88050,
City Planning,"Development Review, Decision & Implementation",,850A,User Fees & Donations,24078338,
Court Services,Court Case Management,,750A,Inter-Divisional Recoveries,5280777,
Court Services,Court Case Management,,940A,Sundry and Other Revenues,47168700,
Court Services,Court Case Management,,850A,User Fees & Donations,234059,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,750A,Inter-Divisional Recoveries,874571,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,940A,Sundry and Other Revenues,63000,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,850A,User Fees & Donations,14102,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,750A,Inter-Divisional Recoveries,127248,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,940A,Sundry and Other Revenues,25200,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,850A,User Fees & Donations,5639,
Court Services,Default Fine Collection Management,,750A,Inter-Divisional Recoveries,636238,
Court Services,Default Fine Collection Management,,940A,Sundry and Other Revenues,126000,
Court Services,Default Fine Collection Management,,850A,User Fees & Donations,28200,
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,930A,Contribution From Reserves/Reserve Funds,639623,
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,805A,Provincial Subsidies,192500,
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,940A,Sundry and Other Revenues,2667893,
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,850A,User Fees & Donations,5000,
Economic Development & Culture,EC-Business Services,Filming Activity,860A,Licences & Permits Revenue,407000,
Economic Development & Culture,EC-Cultural Services,Arts Programming,930A,Contribution From Reserves/Reserve Funds,200000,
Economic Development & Culture,EC-Cultural Services,Arts Programming,860A,Licences & Permits Revenue,148640,
Economic Development & Culture,EC-Cultural Services,Arts Programming,940A,Sundry and Other Revenues,20900,
Economic Development & Culture,EC-Cultural Services,Arts Programming,850A,User Fees & Donations,242049,
